4e65620a9a6e74ade0176fd3d72edfd79a7975917024e4ed8c8c0f9c970e7251,fd0c53f7381d7d63ee0f772b20ed394a5650506a5125b8acfb0b5faf344d933d,e048e1ba3a855f8c48881c19693e84219f7d57a1ea03b41ce3325e7e59146e9e,3506d47c7edef25ac7b5159550cc89ff4135035a678247f020e3780e030dae3b,41f8c0eafbc2a2d0836d314ab6dcf54df5ed0b1b3584886ebdfd8e032edd6952
"100","91002","8","1","30109001"
"10","20002","2","2","30109001"
"100","91002","8","3","30109002"
"40000","94002","12","4","30109002"
"300","91002","8","5","30109003"
"500","91002","8","6","30109004"
"500","91002","8","7","30109005"
"1000000","94002","12","8","30109005"
"500","91002","8","9","30109006"
"500000","94002","12","10","30109006"
"600","91002","8","11","30110001"
"200000","94002","12","12","30110006"
