f5f9046d27e2bc597d9b600959870b1a914d01232e696b1367c5dd631ed1b581,d781a90aff962baee896a6e1dfa66bf14d3626f4a0bf978408ff4dc872014379,4872f634bcab809bc70af71b24fcd248fa8983725704c65fe99754f70cb2ead7,fd5d77506b6df2039bd1ef74e8111db018c1804b979f6ba327c0501905631125,9da6b191434c11179badd7808ea2d6d7b7d3b476403bc3bb0eaf36f6939bb26d,a0264a850e41a0472ab8468b5ed7f1ffb4652fc5ded668c4beed47c7a88acf8c
"10101001","58002001","1","1001","15","1"
"10101002","58002002","1","1002","15","2"
"10101003","58002003","1","1003","15","3"
"10201001","56011001","1","1001","15","4"
"10201002","56011002","1","1002","15","5"
"10201003","56011003","1","1003","15","6"
"91002","56011003","50","0","8","7"
"10201004","56011004","1","1001","15","8"
"10201005","56011005","1","1002","15","9"
"10201006","56011006","1","1003","15","10"
"91002","56011006","50","0","8","11"
"10201007","56011007","1","1001","15","12"
"10201008","56011008","1","1002","15","13"
"10201009","56011009","1","1003","15","14"
"91002","56011009","50","0","8","15"
"10201010","56011010","1","1001","15","16"
"10201011","56011011","1","1002","15","17"
"10201012","56011012","1","1003","15","18"
"91002","56011012","50","0","8","19"
"10201013","56011013","1","1001","15","20"
"10201014","56011014","1","1002","15","21"
"10201015","56011015","1","1003","15","22"
"91002","56011015","50","0","8","23"
"10201016","56011016","1","1001","15","24"
"10201017","56011017","1","1002","15","25"
"10201018","56011018","1","1003","15","26"
"91002","56011018","50","0","8","27"
"10201019","56011019","1","1001","15","28"
"10201020","56011020","1","1002","15","29"
"10201021","56011021","1","1003","15","30"
"91002","56011021","50","0","8","31"
"10201022","56011022","1","1001","15","32"
"10201023","56011023","1","1002","15","33"
"10201024","56011024","1","1003","15","34"
"91002","56011024","50","0","8","35"
"10201025","56011025","1","1001","15","36"
"10201026","56011026","1","1002","15","37"
"10201027","56011027","1","1003","15","38"
"91002","56011027","50","0","8","39"
"10201028","56011028","1","1001","15","40"
"10201029","56011029","1","1002","15","41"
"10201030","56011030","1","1003","15","42"
"91002","56011030","50","0","8","43"
"10201031","56011031","1","1001","15","44"
"10201032","56011032","1","1002","15","45"
"10201033","56011033","1","1003","15","46"
"91002","56011033","50","0","8","47"
"10201034","56011034","1","1001","15","48"
"10201035","56011035","1","1002","15","49"
"10201036","56011036","1","1003","15","50"
"91002","56011036","50","0","8","51"
"10201037","56011037","1","1001","15","52"
"10201038","56011038","1","1002","15","53"
"10201039","56011039","1","1003","15","54"
"91002","56011039","50","0","8","55"
"10201040","56011040","1","1001","15","56"
"10201041","56011041","1","1002","15","57"
"10201042","56011042","1","1003","15","58"
"91002","56011042","50","0","8","59"
"10201043","56011043","1","1001","15","60"
"10201044","56011044","1","1002","15","61"
"10201045","56011045","1","1003","15","62"
"91002","56011045","50","0","8","63"
"10201046","56011046","1","1001","15","64"
"10201047","56011047","1","1002","15","65"
"10201048","56011048","1","1003","15","66"
"91002","56011048","50","0","8","67"
"10201049","56011049","1","1001","15","68"
"10201050","56011050","1","1002","15","69"
"10201051","56011051","1","1003","15","70"
"91002","56011051","50","0","8","71"
"10201052","56011052","1","1001","15","72"
"10201053","56011053","1","1002","15","73"
"10201054","56011054","1","1003","15","74"
"91002","56011054","50","0","8","75"
"10201055","56011055","1","1001","15","76"
"10201056","56011056","1","1002","15","77"
"10201057","56011057","1","1003","15","78"
"91002","56011057","50","0","8","79"
"10201058","56011058","1","1001","15","80"
"10201059","56011059","1","1002","15","81"
"10201060","56011060","1","1003","15","82"
"91002","56011060","50","0","8","83"
"10201061","56011061","1","1001","15","84"
"10201062","56011062","1","1002","15","85"
"10201063","56011063","1","1003","15","86"
"91002","56011063","50","0","8","87"
"10201064","56011064","1","1001","15","88"
"10201065","56011065","1","1002","15","89"
"10201066","56011066","1","1003","15","90"
"91002","56011066","50","0","8","91"
"10201067","56011067","1","1001","15","92"
"10201068","56011068","1","1002","15","93"
"10201069","56011069","1","1003","15","94"
"91002","56011069","50","0","8","95"
"10201070","56011070","1","1001","15","96"
"10201071","56011071","1","1002","15","97"
"10201072","56011072","1","1003","15","98"
"91002","56011072","50","0","8","99"
"10201073","56011073","1","1001","15","100"
"10201074","56011074","1","1002","15","101"
"10201075","56011075","1","1003","15","102"
"91002","56011075","50","0","8","103"
"10201076","56011076","1","1001","15","104"
"10201077","56011077","1","1002","15","105"
"10201078","56011078","1","1003","15","106"
"91002","56011078","50","0","8","107"
"10201079","56011079","1","1001","15","108"
"10201080","56011080","1","1002","15","109"
"10201081","56011081","1","1003","15","110"
"91002","56011081","50","0","8","111"
"10201082","56011082","1","1001","15","112"
"10201083","56011083","1","1002","15","113"
"10201084","56011084","1","1003","15","114"
"91002","56011084","50","0","8","115"
"10201085","56011085","1","1001","15","116"
"10201086","56011086","1","1002","15","117"
"10201087","56011087","1","1003","15","118"
"91002","56011087","50","0","8","119"
"10201088","56011088","1","1001","15","120"
"10201089","56011089","1","1002","15","121"
"10201090","56011090","1","1003","15","122"
"91002","56011090","50","0","8","123"
"10201091","56011091","1","1001","15","124"
"10201092","56011092","1","1002","15","125"
"10201093","56011093","1","1003","15","126"
"91002","56011093","50","0","8","127"
"10201094","56011094","1","1001","15","128"
"10201095","56011095","1","1002","15","129"
"10201096","56011096","1","1003","15","130"
"91002","56011096","50","0","8","131"
"10201097","56011097","1","1001","15","132"
"10201098","56011098","1","1002","15","133"
"10201099","56011099","1","1003","15","134"
"91002","56011099","50","0","8","135"
"10201100","56011100","1","1001","15","136"
"10201101","56011101","1","1002","15","137"
"10201102","56011102","1","1003","15","138"
"91002","56011102","50","0","8","139"
"10201103","56011103","1","1001","15","140"
"10201104","56011104","1","1002","15","141"
"10201105","56011105","1","1003","15","142"
"91002","56011105","50","0","8","143"
"10201106","56011106","1","1001","15","144"
"10201107","56011107","1","1002","15","145"
"10201108","56011108","1","1003","15","146"
"91002","56011108","50","0","8","147"
"10201109","56011109","1","1001","15","148"
"10201110","56011110","1","1002","15","149"
"10201111","56011111","1","1003","15","150"
"91002","56011111","50","0","8","151"
"10201112","56011112","1","1001","15","152"
"10201113","56011113","1","1002","15","153"
"10201114","56011114","1","1003","15","154"
"91002","56011114","50","0","8","155"
"10201115","56011115","1","1001","15","156"
"10201116","56011116","1","1002","15","157"
"10201117","56011117","1","1003","15","158"
"91002","56011117","50","0","8","159"
"10201118","56011118","1","1001","15","160"
"10201119","56011119","1","1002","15","161"
"10201120","56011120","1","1003","15","162"
"91002","56011120","50","0","8","163"
"10201121","56011121","1","1001","15","164"
"10201122","56011122","1","1002","15","165"
"10201123","56011123","1","1003","15","166"
"91002","56011123","50","0","8","167"
"10201124","56011124","1","1001","15","168"
"10201125","56011125","1","1002","15","169"
"10201126","56011126","1","1003","15","170"
"91002","56011126","50","0","8","171"
"10201127","56011127","1","1001","15","172"
"10201128","56011128","1","1002","15","173"
"10201129","56011129","1","1003","15","174"
"91002","56011129","50","0","8","175"
"10201130","56011130","1","1001","15","176"
"10201131","56011131","1","1002","15","177"
"10201132","56011132","1","1003","15","178"
"91002","56011132","50","0","8","179"
"10201133","56011133","1","1001","15","180"
"10201134","56011134","1","1002","15","181"
"10201135","56011135","1","1003","15","182"
"91002","56011135","50","0","8","183"
"10201136","56011136","1","1001","15","184"
"10201137","56011137","1","1002","15","185"
"10201138","56011138","1","1003","15","186"
"91002","56011138","50","0","8","187"
"10201139","56011139","1","1001","15","188"
"10201140","56011140","1","1002","15","189"
"10201141","56011141","1","1003","15","190"
"91002","56011141","50","0","8","191"
"10201142","56011142","1","1001","15","192"
"10201143","56011143","1","1002","15","193"
"10201144","56011144","1","1003","15","194"
"91002","56011144","50","0","8","195"
"10201145","56011145","1","1001","15","196"
"10201146","56011146","1","1002","15","197"
"10201147","56011147","1","1003","15","198"
"91002","56011147","50","0","8","199"
"10201148","56011148","1","1001","15","200"
"10201149","56011149","1","1002","15","201"
"10201150","56011150","1","1003","15","202"
"91002","56011150","50","0","8","203"
"10201151","56011151","1","1001","15","204"
"10201152","56011152","1","1002","15","205"
"10201153","56011153","1","1003","15","206"
"91002","56011153","50","0","8","207"
"10201154","56011154","1","1001","15","208"
"10201155","56011155","1","1002","15","209"
"10201156","56011156","1","1003","15","210"
"91002","56011156","50","0","8","211"
"10201157","56011157","1","1001","15","212"
"10201158","56011158","1","1002","15","213"
"10201159","56011159","1","1003","15","214"
"91002","56011159","50","0","8","215"
"10201160","56011160","1","1001","15","216"
"10201161","56011161","1","1002","15","217"
"10201162","56011162","1","1003","15","218"
"91002","56011162","50","0","8","219"
"10201163","56011163","1","1001","15","220"
"10201164","56011164","1","1002","15","221"
"10201165","56011165","1","1003","15","222"
"91002","56011165","50","0","8","223"
"10201166","56011166","1","1001","15","224"
"10201167","56011167","1","1002","15","225"
"10201168","56011168","1","1003","15","226"
"91002","56011168","50","0","8","227"
"10201169","56011169","1","1001","15","228"
"10201170","56011170","1","1002","15","229"
"10201171","56011171","1","1003","15","230"
"91002","56011171","50","0","8","231"
"10201172","56011172","1","1001","15","232"
"10201173","56011173","1","1002","15","233"
"10201174","56011174","1","1003","15","234"
"91002","56011174","50","0","8","235"
"10201175","56011175","1","1001","15","236"
"10201176","56011176","1","1002","15","237"
"10201177","56011177","1","1003","15","238"
"91002","56011177","50","0","8","239"
"10201178","56011178","1","1001","15","240"
"10201179","56011179","1","1002","15","241"
"10201180","56011180","1","1003","15","242"
"91002","56011180","50","0","8","243"
"10201181","56011181","1","1001","15","244"
"10201182","56011182","1","1002","15","245"
"10201183","56011183","1","1003","15","246"
"91002","56011183","50","0","8","247"
"10201184","56011184","1","1001","15","248"
"10201185","56011185","1","1002","15","249"
"10201186","56011186","1","1003","15","250"
"91002","56011186","50","0","8","251"
"10201187","56011187","1","1001","15","252"
"10201188","56011188","1","1002","15","253"
"10201189","56011189","1","1003","15","254"
"91002","56011189","50","0","8","255"
"10201190","56011190","1","1001","15","256"
"10201191","56011191","1","1002","15","257"
"10201192","56011192","1","1003","15","258"
"91002","56011192","50","0","8","259"
"10201193","56011193","1","1001","15","260"
"10201194","56011194","1","1002","15","261"
"10201195","56011195","1","1003","15","262"
"91002","56011195","50","0","8","263"
"10201196","56011196","1","1001","15","264"
"10201197","56011197","1","1002","15","265"
"10201198","56011198","1","1003","15","266"
"91002","56011198","50","0","8","267"
"10201199","56011199","1","1001","15","268"
"10201200","56011200","1","1002","15","269"
"10201201","56011201","1","1003","15","270"
"91002","56011201","50","0","8","271"
"10201202","56011202","1","1001","15","272"
"10201203","56011203","1","1002","15","273"
"10201204","56011204","1","1003","15","274"
"91002","56011204","50","0","8","275"
"10201205","56011205","1","1001","15","276"
"10201206","56011206","1","1002","15","277"
"10201207","56011207","1","1003","15","278"
"91002","56011207","50","0","8","279"
"10201208","56011208","1","1001","15","280"
"10201209","56011209","1","1002","15","281"
"10201210","56011210","1","1003","15","282"
"91002","56011210","50","0","8","283"
"10201211","56011211","1","1001","15","284"
"10201212","56011212","1","1002","15","285"
"10201213","56011213","1","1003","15","286"
"91002","56011213","50","0","8","287"
"10201214","56011214","1","1001","15","288"
"10201215","56011215","1","1002","15","289"
"10201216","56011216","1","1003","15","290"
"91002","56011216","50","0","8","291"
"10201217","56011217","1","1001","15","292"
"10201218","56011218","1","1002","15","293"
"10201219","56011219","1","1003","15","294"
"91002","56011219","50","0","8","295"
"10201220","56011220","1","1001","15","296"
"10201221","56011221","1","1002","15","297"
"10201222","56011222","1","1003","15","298"
"91002","56011222","50","0","8","299"
"10201223","56011223","1","1001","15","300"
"10201224","56011224","1","1002","15","301"
"10201225","56011225","1","1003","15","302"
"91002","56011225","50","0","8","303"
"10201226","56011226","1","1001","15","304"
"10201227","56011227","1","1002","15","305"
"10201228","56011228","1","1003","15","306"
"91002","56011228","50","0","8","307"
"10201229","56011229","1","1001","15","308"
"10201230","56011230","1","1002","15","309"
"10201231","56011231","1","1003","15","310"
"91002","56011231","50","0","8","311"
"10201232","56011232","1","1001","15","312"
"10201233","56011233","1","1002","15","313"
"10201234","56011234","1","1003","15","314"
"91002","56011234","50","0","8","315"
"10202001","56012001","1","1003","15","316"
"10202002","56012002","1","1003","15","317"
"10202003","56012003","1","1003","15","318"
"10202004","56012004","1","1003","15","319"
"10202005","56012005","1","1003","15","320"
"10202006","56012006","1","1003","15","321"
"10202007","56012007","1","1003","15","322"
"10202008","56012008","1","1003","15","323"
"10202009","56012009","1","1003","15","324"
"10202010","56012010","1","1003","15","325"
"10202011","56012011","1","1003","15","326"
"10202012","56012012","1","1003","15","327"
"10202013","56012013","1","1003","15","328"
"10202014","56012014","1","1003","15","329"
"10202015","56012015","1","1003","15","330"
"10501001","54002001","1","1001","15","447"
"91002","54002001","50","0","8","448"
"10501002","54002002","1","1002","15","449"
"91002","54002002","50","0","8","450"
"10501003","54002003","1","1003","15","451"
"91002","54002003","50","0","8","452"
"10502001","54004001","1","1001","15","453"
"91002","54004001","50","0","8","454"
"10502002","54004002","1","1002","15","455"
"91002","54004002","50","0","8","456"
"10502003","54004003","1","1003","15","457"
"91002","54004003","50","0","8","458"
"10601001","55006001","1","1001","15","459"
"91002","55006001","10","0","8","460"
"10601002","55006002","1","1002","15","461"
"91002","55006002","30","0","8","462"
"10601003","55006003","1","1003","15","463"
"91002","55006003","50","0","8","464"
"10201235","56011235","1","1001","15","465"
"10201236","56011236","1","1002","15","466"
"10201237","56011237","1","1003","15","467"
"91002","56011237","50","0","8","468"
"10201238","56011238","1","1001","15","469"
"10201239","56011239","1","1002","15","470"
"10201240","56011240","1","1003","15","471"
"91002","56011240","50","0","8","472"
"10201241","56011241","1","1001","15","473"
"10201242","56011242","1","1002","15","474"
"10201243","56011243","1","1003","15","475"
"91002","56011243","50","0","8","476"
"10201244","56011244","1","1001","15","477"
"10201245","56011245","1","1002","15","478"
"10201246","56011246","1","1003","15","479"
"91002","56011246","50","0","8","480"
"10201247","56011247","1","1001","15","481"
"10201248","56011248","1","1002","15","482"
"10201249","56011249","1","1003","15","483"
"91002","56011249","50","0","8","484"
"10201250","56011250","1","1001","15","485"
"10201251","56011251","1","1002","15","486"
"10201252","56011252","1","1003","15","487"
"91002","56011252","50","0","8","488"
"10201253","56011253","1","1001","15","489"
"10201254","56011254","1","1002","15","490"
"10201255","56011255","1","1003","15","491"
"91002","56011255","50","0","8","492"
"10201256","56011256","1","1001","15","493"
"10201257","56011257","1","1002","15","494"
"10201258","56011258","1","1003","15","495"
