e3ccd5e76e5a1560d5cf4c5949234619b6e61361990d4cde1c5075964345f56c,5011c42adc05d6d7590e34608f73a09ca5c5c27722f99c7f80a210084a0d70cb,585359c4df19658daa3654fd9ddbad26345bb55d31527b3911020e764245a7dc,fcd18a9edc0b3d9cbae7118ad94c9f2971867cc1dcdb31f59caa5654226d0ba2,7cd87c1b8b3055f1f17077929d2d5be9b34c8fe93e63b19abd6ff59b7a513088,cd0c29630ea116c0734b4a3cb16f218aa468ae5e2246bcc60474f155ab44f048,ae4ada4b32a0616e022b76fe6a71e2e51a8af4bb985b43670367e7687821aec1
"105","105","2","105","1","1","3"
"120","105","2","120","1","2","3"
"120","100","2","100","1","3","3"
"120","105","2","120","1","4","3"
"120","105","2","105","1","5","3"
"105","100","2","100","1","6","3"
"105","120","2","100","1","7","3"
"105","100","2","100","1","8","3"
"120","105","2","120","1","9","3"
"105","120","2","100","1","10","3"
"100","100","2","105","1","11","3"
"120","105","2","120","1","12","3"
"105","105","2","105","1","13","3"
"105","105","2","120","1","14","3"
"120","120","2","120","1","15","3"
"100","100","2","100","1","16","3"
"120","120","2","105","1","17","3"
"105","120","2","120","1","18","3"
"100","105","2","105","1","19","3"
"105","100","2","105","1","20","3"
"100","100","2","105","1","21","3"
"120","120","2","120","1","22","3"
"100","105","2","100","1","23","3"
"120","120","2","120","1","24","3"
"120","105","2","105","1","25","3"
"100","100","2","100","1","26","3"
"100","100","2","100","1","27","3"
"100","100","2","100","1","28","3"
"120","120","2","120","1","29","3"
"105","105","2","120","1","30","3"
