6cc542a958a9d8efcb9cd0307d492ed231f7f57f2a6721f965b39ce7a5794dbd,5e75ec9a0aec3b935b377406308cf0e2cefb216c6d6a7dd36b57ad5e17c791de,157e40704259f315d11479012ed9bf5b1b46d74b96024edc630233c03a225fdc,f6131e3357273c13762293a9a69df6b6cdd20fd7108ef09fcd5fc66cb2af35bd,f98765940b2364bbbbd835653e4246874ea725fc770bfaaf6e802234996681da,c680f9850d2965458872b489a26c4774c7a80c669df8a887e147eb6d71b585c7,7d4d4a904c6c2016a25183fdf4e1c505cde2217a5d37ce06afb3ab88dccf1dea
"0","1","81001105","1001101","0","1","306700"
"0","1","81001106","1001102","0","1","306700"
"0","1","81001205","1001201","0","1","306800"
"0","1","81001206","1001202","0","1","306800"
"0","1","81001305","1001301","0","1","307000"
"0","1","81001306","1001302","0","1","307000"
"0","1","81001405","1001401","0","1","307500"
"0","1","81001406","1001402","0","1","307500"
"0","1","81001505","1001501","0","1","307300"
"0","1","81001506","1001502","0","1","307300"
"0","1","81001605","1001601","0","1","307700"
"0","1","81001606","1001602","0","1","307700"
"0","1","81001705","1001701","0","1","307400"
"0","1","81001706","1001702","0","1","307400"
"0","1","81001805","1001801","0","1","307900"
"0","1","81001806","1001802","0","1","307900"
"0","1","81001905","1001901","0","1","307800"
"0","1","81001906","1001902","0","1","307800"
"0","1","81002005","1002001","0","1","308100"
"0","1","81002006","1002002","0","1","308100"
"0","1","81002101","1002101","0","1","308000"
"0","1","81002102","1002102","0","1","308000"
"0","1","81002205","1002201","0","1","308300"
"0","1","81002206","1002202","0","1","308300"
"0","1","81002301","1002301","0","1","308200"
"0","1","81002302","1002302","0","1","308200"
"0","1","81002405","1002401","0","1","304705"
"0","1","81002406","1002402","0","1","304705"
"0","1","81002501","1002501","0","1","308400"
"0","1","81002502","1002502","0","1","308400"
"0","1","81002605","1002601","0","1","305004"
"0","1","81002606","1002602","0","1","305004"
"0","1","81002701","1002701","0","1","308600"
"0","1","81002702","1002702","0","1","308600"
"0","1","81002805","1002801","0","1","305205"
"0","1","81002806","1002802","0","1","305205"
"0","1","81002901","1002901","0","1","309300"
"0","1","81002902","1002902","0","1","309300"
"0","1","81003005","1003001","0","1","305500"
"0","1","81003006","1003002","0","1","305500"
"0","1","81003101","1003101","0","1","310000"
"0","1","81003102","1003102","0","1","310000"
"0","1","81003205","1003201","0","1","306000"
"0","1","81003206","1003202","0","1","306000"
"0","1","81000605","1003301","0","1","310300"
"0","1","81003301","1003302","0","1","310300"
"0","1","81001105","1003401","0","1","306700"
"0","1","81001106","1003402","0","1","306700"
"0","2.5","100021","1003501","0","2.5","310500"
"0","2.5","100531","1003502","0","2.5","310500"
"0","0.4","81003601","1003601","0","0.4","310600"
"0","0.4","81003602","1003602","0","0.4","310600"
"0","1","81001205","1003701","0","1","306800"
"0","1","81001206","1003702","0","1","306800"
"0","1.2","81003801","1003801","0","1.2","310700"
"0","1.2","81003802","1003802","0","1.2","310700"
"0","1","81001305","1003901","0","1","307000"
"0","1","81001306","1003902","0","1","307000"
"0","1","81004001","1004001","0","1","310800"
"0","1","81004002","1004002","0","1","310800"
"0","1","81001505","1004101","0","1","307300"
"0","1","81001506","1004102","0","1","307300"
"0","1","81004201","1004201","0","1","311100"
"0","1","81004202","1004202","0","1","311100"
"0","1","81001905","1004301","0","1","307800"
"0","1","81001906","1004302","0","1","307800"
"0","1","81004401","1004401","0","1","311300"
"0","1","81004402","1004402","0","1","311300"
"0","1","81002101","1004501","0","1","308000"
"0","1","81002102","1004502","0","1","308000"
"0","1","81004601","1004601","0","1","311400"
"0","1","81004602","1004602","0","1","311400"
"0","1","81002301","1004701","0","1","308200"
"0","1","81002302","1004702","0","1","308200"
"0","1","81002405","1004801","0","1","311500"
"0","1","81002406","1004802","0","1","311500"
"0","1","81002501","1004901","0","1","308400"
"0","1","81002502","1004902","0","1","308400"
"-28","1.4","81005001","1005001","0","1.4","311600"
"-28","1.4","81005002","1005002","0","1.4","311600"
"0","1","81002701","1005101","0","1","308600"
"0","1","81002702","1005102","0","1","308600"
"0","1","81000605","1005201","0","1","312100"
"0","1","81003301","1005202","0","1","312100"
"0","1","81001705","1005301","0","1","307400"
"0","1","81001706","1005302","0","1","307400"
"0","1","81003005","1005401","0","1","312200"
"0","1","81003006","1005402","0","1","312200"
"0","1","81002901","1005501","0","1","309300"
"0","1","81002902","1005502","0","1","309300"
"0","1","81005601","1005601","0","1","312300"
"0","1","81005602","1005602","0","1","312302"
"0","1","81003101","1005701","0","1","310000"
"0","1","81003102","1005702","0","1","310000"
"0","1.75","100021","1005801","0","1.75","312600"
"0","1.75","100531","1005802","0","1.75","312600"
"0","1","101821","1005901","0","1","312700"
"0","1","101841","1005902","0","1","312700"
"0","1","81000605","1006001","0","1","310300"
"0","1","81003301","1006002","0","1","310300"
"-27","0.65","81006101","1006101","0","0.65","312800"
"-27","0.65","81006102","1006102","0","0.65","312800"
"0","2.5","100021","1006201","0","2.5","310500"
"0","2.5","100531","1006202","0","2.5","310500"
"0","0.4","81003601","1006301","0","0.4","310600"
"0","0.4","81003602","1006302","0","0.4","310600"
"-30","1","81006401","1006401","0","1","313200"
"-30","1","81006402","1006402","0","1","313200"
"0","1.2","81003801","1006501","0","1.2","310700"
"0","1.2","81003802","1006502","0","1.2","310700"
"-25","0.7","81006601","1006601","0","0.7","313100"
"-25","0.7","81006602","1006602","0","0.7","313100"
"0","1","81004001","1006701","0","1","310800"
"0","1","81004002","1006702","0","1","310800"
"-26","1.25","81006801","1006801","0","1.25","313300"
