330c7278dd1080fd9beabab65fed921bd1fd4e3ff4f74a1c51594d49990cf52d,c803573edfb000ec66b51064d1dcb11d718ca7a4272f259ebe0696a138cf61bc,180e3e4e542d8a9b8cbe37b10602fb68e8186996d2bf26d2c88a66d3f39b08a1,724046ba916081d65183510c080baf849375a2ccdf2363133f441ed16186ee23,e451f7b3997723f728a28369e2841e87245fe9ea2e8ee438200aaf9538ea6342,d17fab8b9dc6ca0c36573b4c60e86861068d9cee7dfe38af6f8fea53abb9ddfa,824413f10c277c8056a82a1ecc1835554c5d5fdfedd64bb62e35c847f816ec78,3d0052a2a9da40451decf73b571a0ad61f994b49b1c2ae5c2ca4dcbfccf8e0c6,4a61efb8ad649e374d96357c6660e13a05084186106c2f19af758195438f8083,8dc58893533d5d951db56a66e098035feba4e5629f5cc2a7049b1fa849568281,1c225ccc74631e5a7110a0fa5626324ad1444a4ebb5e8ca79ca7cad3b0196e81
"11010001","0","-209.3","1.35","1","110931","nyx_idle_normal","-421","1","110","101"
"11010002","0","-182.5","1.35","1","104831","nyx_idle_normal","121.8","1","110","101"
"11010003","0","-182.5","1.35","1","104631","nyx_idle_normal","227.7","1","110","101"
"11010004","1","-182.5","1.35","1","103231","nyx_talk_normal","340.3","1","110","101"
"11010005","1","-182.5","1.35","1","103431","nyx_idle_normal","449.6","1","110","101"
"11010006","0","-209.3","1.35","5","2","NoItem","-421","2","120","101"
"11010007","","1","1","31","1","","0","1","0","101"
"11010008","","1","0","31","3","","0","15","-300","101"
"11010009","","1.5","0","31","4","","0","15","-300","101"
"11010010","","","","25","bgm_M347","","","bgm_M347","","101"
"11010011","","","","93","","","","2","","101"
"11010012","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","2","0","101"
"11010013","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","110931","0","101"
"11010014","","","","11","ちぇる～ん♪\n最初はとにかく\nインパクト！","","","110931","10","101"
"11010015","","","","93","","","","0.4","","101"
"11010016","","","","32","0","","","3","","101"
"11010017","","","","32","1","","","3","","101"
"11010018","","","","91","","","","11010014","","101"
"11010019","","","","11","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","","110931","10","101"
"11010020","","","","93","","","","1","","101"
"11010021","","","0.2","3","nyx_idle_joy1","","","103231","1","101"
"11010022","","","0.2","3","nyx_cmn_05","","","104631","1","101"
"11010023","","","","91","","","","11010019","","101"
"11010024","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","2","0","101"
"11010025","","1","0.2","3","nyx_101_chieru_01","","nyx_101_chieru_loop","110931","0","101"
