f586eeb44ac159ef127eeaeb9c5a2ad04e1b9731273b07e2353b1b5ef4ace83e,f6c1b598372da11150b2e92b1483a1f3a2a6cf499ba9b24acc2ea6d7f594fc1a,cbfe58f2e0a6d29ec60c51e7cd52677dad050779f07626d0f5bd1be696bb49c3,7a220b363abfa0cfc56170e5a58c6609574653b006e5ed8f6d86a70dc731e035,0ababcc2eb7bd8e85045812e2cd5292f84e3c6e4cb5e045079a9ebf5722d4c01
"12","火属性ボーナス特大アップ","92407010","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","1"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407010","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","2"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407010","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","3"
"17","ＴＰ上昇上限付与","92407010","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","4"
"9","ＨＰ吸収ダウン","92407010","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","5"
"12","火属性ボーナス特大アップ","92407020","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","6"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407020","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","7"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407020","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","8"
"17","ＴＰ上昇上限付与","92407020","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","9"
"9","ＨＰ吸収ダウン","92407020","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","10"
"12","火属性ボーナス特大アップ","92407030","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","11"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407030","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","12"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407030","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","13"
"17","ＴＰ上昇上限付与","92407030","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","14"
"9","ＨＰ吸収ダウン","92407030","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","15"
"12","火属性ボーナス特大アップ","92407110","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","16"
"18","ダメージ減衰","92407110","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","17"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","92407110","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","18"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","92407110","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","19"
