6c435e6daff3921d634f698d48cf1191dd52b8561ba17f5646a6cf6978699dfa,dc3d627653b9f510d8151b107625759d7dda985638591ef1e71f4675211fd3cf,aa7ad53db97f8e42e730976311a9aba5e90ca16469da3927aa2d08a94c410dd7,446890f16dc2a1b4d53bbdc6a8a7bf7a9e0172e38ea56a02185cff4396b9b79e,a0582e69356d557807743b153e7a62008a406e334def9b30a8f43bbd9f10615e,554c4dd1312aa65b238459234dfb5986bfb5e63c0c32d23e1aa287496da577d3
"1","15","1","1001","10101001","58002001"
"2","15","1","1002","10101002","58002002"
"3","15","1","1003","10101003","58002003"
"4","15","1","1001","10201001","56011001"
"5","15","1","1002","10201002","56011002"
"6","15","1","1003","10201003","56011003"
"7","8","50","0","91002","56011003"
"8","15","1","1001","10201004","56011004"
"9","15","1","1002","10201005","56011005"
"10","15","1","1003","10201006","56011006"
"11","8","50","0","91002","56011006"
"12","15","1","1001","10201007","56011007"
"13","15","1","1002","10201008","56011008"
"14","15","1","1003","10201009","56011009"
"15","8","50","0","91002","56011009"
"16","15","1","1001","10201010","56011010"
"17","15","1","1002","10201011","56011011"
"18","15","1","1003","10201012","56011012"
"19","8","50","0","91002","56011012"
"20","15","1","1001","10201013","56011013"
"21","15","1","1002","10201014","56011014"
"22","15","1","1003","10201015","56011015"
"23","8","50","0","91002","56011015"
"24","15","1","1001","10201016","56011016"
"25","15","1","1002","10201017","56011017"
"26","15","1","1003","10201018","56011018"
"27","8","50","0","91002","56011018"
"28","15","1","1001","10201019","56011019"
"29","15","1","1002","10201020","56011020"
"30","15","1","1003","10201021","56011021"
"31","8","50","0","91002","56011021"
"32","15","1","1001","10201022","56011022"
"33","15","1","1002","10201023","56011023"
"34","15","1","1003","10201024","56011024"
"35","8","50","0","91002","56011024"
"36","15","1","1001","10201025","56011025"
"37","15","1","1002","10201026","56011026"
"38","15","1","1003","10201027","56011027"
"39","8","50","0","91002","56011027"
"40","15","1","1001","10201028","56011028"
"41","15","1","1002","10201029","56011029"
"42","15","1","1003","10201030","56011030"
"43","8","50","0","91002","56011030"
"44","15","1","1001","10201031","56011031"
"45","15","1","1002","10201032","56011032"
"46","15","1","1003","10201033","56011033"
"47","8","50","0","91002","56011033"
"48","15","1","1001","10201034","56011034"
"49","15","1","1002","10201035","56011035"
"50","15","1","1003","10201036","56011036"
"51","8","50","0","91002","56011036"
"52","15","1","1001","10201037","56011037"
"53","15","1","1002","10201038","56011038"
"54","15","1","1003","10201039","56011039"
"55","8","50","0","91002","56011039"
"56","15","1","1001","10201040","56011040"
"57","15","1","1002","10201041","56011041"
"58","15","1","1003","10201042","56011042"
"59","8","50","0","91002","56011042"
"60","15","1","1001","10201043","56011043"
"61","15","1","1002","10201044","56011044"
"62","15","1","1003","10201045","56011045"
"63","8","50","0","91002","56011045"
"64","15","1","1001","10201046","56011046"
"65","15","1","1002","10201047","56011047"
"66","15","1","1003","10201048","56011048"
"67","8","50","0","91002","56011048"
"68","15","1","1001","10201049","56011049"
"69","15","1","1002","10201050","56011050"
"70","15","1","1003","10201051","56011051"
"71","8","50","0","91002","56011051"
"72","15","1","1001","10201052","56011052"
"73","15","1","1002","10201053","56011053"
"74","15","1","1003","10201054","56011054"
"75","8","50","0","91002","56011054"
"76","15","1","1001","10201055","56011055"
"77","15","1","1002","10201056","56011056"
"78","15","1","1003","10201057","56011057"
"79","8","50","0","91002","56011057"
"80","15","1","1001","10201058","56011058"
"81","15","1","1002","10201059","56011059"
"82","15","1","1003","10201060","56011060"
"83","8","50","0","91002","56011060"
"84","15","1","1001","10201061","56011061"
"85","15","1","1002","10201062","56011062"
"86","15","1","1003","10201063","56011063"
"87","8","50","0","91002","56011063"
"88","15","1","1001","10201064","56011064"
"89","15","1","1002","10201065","56011065"
"90","15","1","1003","10201066","56011066"
"91","8","50","0","91002","56011066"
"92","15","1","1001","10201067","56011067"
"93","15","1","1002","10201068","56011068"
"94","15","1","1003","10201069","56011069"
"95","8","50","0","91002","56011069"
"96","15","1","1001","10201070","56011070"
"97","15","1","1002","10201071","56011071"
"98","15","1","1003","10201072","56011072"
"99","8","50","0","91002","56011072"
"100","15","1","1001","10201073","56011073"
"101","15","1","1002","10201074","56011074"
"102","15","1","1003","10201075","56011075"
"103","8","50","0","91002","56011075"
"104","15","1","1001","10201076","56011076"
"105","15","1","1002","10201077","56011077"
"106","15","1","1003","10201078","56011078"
"107","8","50","0","91002","56011078"
"108","15","1","1001","10201079","56011079"
"109","15","1","1002","10201080","56011080"
"110","15","1","1003","10201081","56011081"
"111","8","50","0","91002","56011081"
"112","15","1","1001","10201082","56011082"
"113","15","1","1002","10201083","56011083"
"114","15","1","1003","10201084","56011084"
"115","8","50","0","91002","56011084"
"116","15","1","1001","10201085","56011085"
"117","15","1","1002","10201086","56011086"
"118","15","1","1003","10201087","56011087"
"119","8","50","0","91002","56011087"
"120","15","1","1001","10201088","56011088"
"121","15","1","1002","10201089","56011089"
"122","15","1","1003","10201090","56011090"
"123","8","50","0","91002","56011090"
"124","15","1","1001","10201091","56011091"
"125","15","1","1002","10201092","56011092"
"126","15","1","1003","10201093","56011093"
"127","8","50","0","91002","56011093"
"128","15","1","1001","10201094","56011094"
"129","15","1","1002","10201095","56011095"
"130","15","1","1003","10201096","56011096"
"131","8","50","0","91002","56011096"
"132","15","1","1001","10201097","56011097"
"133","15","1","1002","10201098","56011098"
"134","15","1","1003","10201099","56011099"
"135","8","50","0","91002","56011099"
"136","15","1","1001","10201100","56011100"
"137","15","1","1002","10201101","56011101"
"138","15","1","1003","10201102","56011102"
"139","8","50","0","91002","56011102"
"140","15","1","1001","10201103","56011103"
"141","15","1","1002","10201104","56011104"
"142","15","1","1003","10201105","56011105"
"143","8","50","0","91002","56011105"
"144","15","1","1001","10201106","56011106"
"145","15","1","1002","10201107","56011107"
"146","15","1","1003","10201108","56011108"
"147","8","50","0","91002","56011108"
"148","15","1","1001","10201109","56011109"
"149","15","1","1002","10201110","56011110"
"150","15","1","1003","10201111","56011111"
"151","8","50","0","91002","56011111"
"152","15","1","1001","10201112","56011112"
"153","15","1","1002","10201113","56011113"
"154","15","1","1003","10201114","56011114"
"155","8","50","0","91002","56011114"
"156","15","1","1001","10201115","56011115"
"157","15","1","1002","10201116","56011116"
"158","15","1","1003","10201117","56011117"
"159","8","50","0","91002","56011117"
"160","15","1","1001","10201118","56011118"
"161","15","1","1002","10201119","56011119"
"162","15","1","1003","10201120","56011120"
"163","8","50","0","91002","56011120"
