dac1117be3672de21cde288c0c8909ceee6e158d74f1e0633e53bc5b4e4db9d0,955625ebc8a43315befb845763777b94311c4b89b139909729dd0ea41af417b8,2a77e489c1353aa3122273f85adfb13233d6be3f99d1aa9641dc8b1a408f01a5,eda21a3681d2edc4cd122ab7166958c146495f68ff8e810ff4761665b158229d,fd570f060ce73c65acdbcca963a80a28f70b0f98b4d353a5154760793b093ea8
"1","101","1","13000001","25"
"1","102","1","40001","26"
"1","103","1000","99012","28"
"2","201","1","13000002","25"
"2","202","1","40002","26"
"2","203","1000","99012","28"
"3","301","1","13000004","25"
"3","302","1","40006","26"
"3","303","1000","99012","28"
"4","401","1","13000011","25"
"4","402","1","40008","26"
"4","403","1000","99012","28"
"5","501","1","13000007","25"
"5","502","1","40007","26"
"5","503","1000","99012","28"
"6","601","1","13000005","25"
"6","602","1","40011","26"
"6","603","1000","99012","28"
"7","701","1","13000009","25"
"7","702","1","40003","26"
"7","703","1000","99012","28"
"8","801","1","13000010","25"
"8","802","1","40012","26"
"8","803","1000","99012","28"
"9","901","1","13000013","25"
"9","902","1","40010","26"
"9","903","1000","99012","28"
"10","1001","1","13000006","25"
"10","1002","1","40013","26"
"10","1003","1000","99012","28"
"11","1101","1","13000008","25"
"11","1102","1","40004","26"
"11","1103","1000","99012","28"
"13","1301","1","13000012","25"
"13","1302","1","40009","26"
"13","1303","1000","99012","28"
"14","1401","1","13000014","25"
"14","1402","1","40014","26"
"14","1403","1000","99012","28"
"15","1501","1","13000003","25"
"15","1502","1","40005","26"
"15","1503","1000","99012","28"
