c259d33ab2c868da4785556640792d240eaa6739ed2fe11d18c50f1ea51ba5b0,58f8bcdcb173b2afb4bd06688f4e30fab34f33bcb4b1332a017a230e13b428b1,da0a148510816ed4825a304e431f2b4e125ffdce2c21936f81d646e3e66e3188,4a4b13953bb93d27e94b082badd4c41c451bcf5c5dbf645e732c66a13a533b0e,a8879ea31b18009a3f4bf9773bbc44690c782177f4142ddcc9a97d5becae3330,068d63fec0070b959a2cec5fe508ace7fd6fdc2ce46ebe4e17a82884c4e9bb11,7704279bce607235ef49880d54589926923fee843ce526c1027f068567de7710,e4f2f3767509ac304e1e44c98adb4453b2715e8fd4a31fcd22fc3243166c6acc
"11001","101","1.ジュノー平野","2015/12/17 15:00:00","bgm_M61","2030/12/17 14:59:59","bgm_M61","1.ジュノー平野"
"11002","101","2.パラス高原","2015/12/17 15:00:00","bgm_M61_02","2030/12/17 14:59:59","bgm_M61","2.パラス高原"
"11003","101","3.ヘーベ丘陵","2015/12/17 15:00:00","bgm_M61_03","2030/12/17 14:59:59","bgm_M61","3.ヘーベ丘陵"
"11004","101","4.ベスタ渓谷","2015/12/17 15:00:00","bgm_M61_04","2030/12/17 14:59:59","bgm_M61","4.ベスタ渓谷"
"11005","101","5.ケレス森林","2015/12/17 15:00:00","bgm_M62_01","2030/12/17 14:59:59","bgm_M62","5.ケレス森林"
"11006","101","6.フローラ湖畔","2015/12/17 15:00:00","bgm_M62_02","2030/12/17 14:59:59","bgm_M62","6.フローラ湖畔"
"11007","101","7.メティス大瀑布","2015/12/17 15:00:00","bgm_M62_03","2030/12/17 14:59:59","bgm_M62","7.メティス大瀑布"
"11008","101","8.イリス樹海","2015/12/17 15:00:00","bgm_M42_02","2030/12/17 14:59:59","bgm_M42","8.イリス樹海"
"11009","101","9.フリガ雪原","2015/12/17 15:00:00","bgm_M58","2030/12/17 14:59:59","bgm_M58","9.フリガ雪原"
"11010","101","10.ロレッタ海岸","2015/12/17 15:00:00","bgm_M101","2030/12/17 14:59:59","bgm_M101","10.ロレッタ海岸"
"11011","101","11.ゲヌア砂漠","2015/12/17 15:00:00","bgm_M93","2030/12/17 14:59:59","bgm_M93","11.ゲヌア砂漠"
"11012","101","12.ボノニア砂丘","2015/12/17 15:00:00","bgm_M94","2030/12/17 14:59:59","bgm_M94","12.ボノニア砂丘"
"11013","101","13.ドロテア湿地","2015/12/17 15:00:00","bgm_M118","2030/12/17 14:59:59","bgm_M118","13.ドロテア湿地"
