9eb0592f3f3fd9f228e0a3aad5379a93f94b5677cd22ed009fdee9052456f036,d74a5143679836ea1d6b18ba951513fbb017c24fa82ba040cc53e0cbdfdaed0e,1377d5750511ccd1829e24a450c561364ecb3d2acb5153e4f0e308631c88ca77,eed8e980c009bc12e68540ad20275d990e20fbd386d9acc53e0772086ea26abe,33b5acf2c2c08c4f5482e113e537ca41f775fac8ed08d5fb0db6a22fc147d2ca,9deef9fce40209b1646656a3e733245982484953d46c49bb1d8556b9c7fca9d4
"3001","803100263","211","212","1","2146041"
"3002","803100263","211","212","1","2146042"
"3003","803100263","211","212","1","2146043"
"3004","803100263","211","212","1","2146044"
"3006","803100272","213","212","1","2147041"
"3007","803100272","213","212","1","2147042"
"30011","803100253","202","313","1","2145039"
"30012","803100253","105","302","0","2145040"
"30021","803100256","204","311","1","2145069"
"30022","803100256","205","312","1","2145070"
"30031","803100259","212","310","1","2145099"
"30032","803100259","107","301","0","2145100"
"30041","803100262","110","307","0","2146039"
"30042","803100262","105","302","0","2146040"
"30051","803100267","203","314","1","2146081"
"30061","803100269","205","312","1","2147019"
"30062","803100269","106","303","0","2147020"
"30071","803100271","202","313","1","2147039"
"30072","803100271","212","310","1","2147040"
"300101","803100251","104","100","0","2145011"
"300102","803100251","104","100","0","2145012"
"300103","803100251","105","102","0","2145013"
"300104","803100251","104","100","0","2145014"
"300105","803100251","105","102","0","2145015"
"300106","803100251","106","103","0","2145016"
"300107","803100251","105","102","0","2145017"
"300108","803100251","106","103","0","2145018"
"300109","803100251","204","111","1","2145019"
"300110","803100251","104","100","0","2145020"
"300111","803100252","104","100","0","2145021"
"300112","803100252","105","102","0","2145022"
"300113","803100252","104","100","0","2145023"
"300114","803100252","105","102","0","2145024"
"300115","803100252","106","103","0","2145025"
"300116","803100252","105","102","0","2145026"
"300117","803100252","106","103","0","2145027"
"300118","803100252","204","111","1","2145028"
"300119","803100252","104","100","0","2145029"
"300120","803100252","104","100","0","2145030"
"300121","803100253","105","102","0","2145031"
"300122","803100253","104","100","0","2145032"
"300123","803100253","105","102","0","2145033"
"300124","803100253","208","112","1","2145034"
"300125","803100253","212","110","1","2145035"
"300126","803100253","104","100","0","2145036"
"300127","803100253","105","102","0","2145037"
"300128","803100253","106","103","0","2145038"
"300201","803100254","107","101","0","2145041"
"300202","803100254","107","101","0","2145042"
"300203","803100254","105","102","0","2145043"
"300204","803100254","106","103","0","2145044"
"300205","803100254","202","113","1","2145045"
"300206","803100254","203","114","1","2145046"
"300207","803100254","107","101","0","2145047"
"300208","803100254","202","113","1","2145048"
"300209","803100254","203","114","1","2145049"
"300210","803100254","107","101","0","2145050"
"300211","803100255","107","101","0","2145051"
"300212","803100255","105","102","0","2145052"
"300213","803100255","106","103","0","2145053"
"300214","803100255","202","113","1","2145054"
"300215","803100255","203","114","1","2145055"
"300216","803100255","107","101","0","2145056"
"300217","803100255","202","113","1","2145057"
"300218","803100255","203","114","1","2145058"
"300219","803100255","107","101","0","2145059"
"300220","803100255","107","101","0","2145060"
"300221","803100256","105","102","0","2145061"
"300222","803100256","106","103","0","2145062"
"300223","803100256","107","101","0","2145063"
"300224","803100256","208","112","1","2145064"
"300225","803100256","212","110","1","2145065"
"300226","803100256","105","102","0","2145066"
"300227","803100256","106","103","0","2145067"
"300228","803100256","107","101","0","2145068"
"300301","803100257","104","100","0","2145071"
"300302","803100257","107","101","0","2145072"
"300303","803100257","107","101","0","2145073"
"300304","803100257","202","113","1","2145074"
"300305","803100257","203","114","1","2145075"
"300306","803100257","104","100","0","2145076"
"300307","803100257","107","101","0","2145077"
"300308","803100257","204","111","1","2145078"
"300309","803100257","205","112","1","2145079"
"300310","803100257","104","100","0","2145080"
"300311","803100258","107","101","0","2145081"
"300312","803100258","107","101","0","2145082"
"300313","803100258","202","113","1","2145083"
"300314","803100258","203","114","1","2145084"
"300315","803100258","104","100","0","2145085"
"300316","803100258","107","101","0","2145086"
"300317","803100258","204","111","1","2145087"
"300318","803100258","205","112","1","2145088"
"300319","803100258","104","100","0","2145089"
"300320","803100258","107","101","0","2145090"
"300321","803100259","104","100","0","2145091"
"300322","803100259","107","101","0","2145092"
"300323","803100259","202","113","1","2145093"
"300324","803100259","208","112","1","2145094"
"300325","803100259","104","100","0","2145095"
"300326","803100259","107","101","0","2145096"
