ad8fddb66c50edc8dee0eae582be90593badf278bf0605e490cbad25572c35ba,eec5f509bb55ae531bc126a463dc00f9d471f1f0bf3dd0554f142d1a45a6e5ae,d80305462bc5b2bb08a5f30bc06abf1f59ae5fdaff1fe2417e8e8f192aa6460e,8ed73cfc3569c01d09649e44db5ba09e27d685dffc460208c4dd01e16d41dbe3,cad09595a1e21f5b231f9a3ed7ea79673817381633e73acd1a72ca5b21c4f5f4
"100001011","94002","12","150000","10000101"
"100001012","22003","2","6","10000101"
"100001021","94002","12","500000","10000102"
"100001022","22003","2","6","10000102"
"100001031","94002","12","500000","10000103"
"100001032","140001","4","3","10000103"
"100001033","25001","2","3","10000103"
"100001041","94002","12","500000","10000104"
"100001042","22003","2","6","10000104"
"100001051","94002","12","500000","10000105"
"100001052","140001","4","4","10000105"
"100001053","25001","2","4","10000105"
"100001061","94002","12","500000","10000106"
"100001062","22003","2","6","10000106"
"100001071","94002","12","500000","10000107"
"100001072","140001","4","4","10000107"
"100001073","25001","2","4","10000107"
"100001081","94002","12","500000","10000108"
"100001082","22003","2","6","10000108"
"100001091","94002","12","500000","10000109"
"100001092","140001","4","4","10000109"
"100001093","25001","2","4","10000109"
"100505011","94002","12","120000","10050501"
"100505012","22003","2","3","10050501"
"100505021","94002","12","120000","10050502"
"100505022","22003","2","4","10050502"
"100505031","94002","12","120000","10050503"
"100505032","22003","2","4","10050503"
"100505111","94002","12","120000","10050511"
"100505112","22003","2","3","10050511"
"100505121","94002","12","160000","10050512"
"100505122","22003","2","4","10050512"
"100606011","94002","12","120000","10060601"
"100606012","22003","2","3","10060601"
"100606021","94002","12","120000","10060602"
"100606022","22003","2","4","10060602"
"100606031","94002","12","120000","10060603"
"100606032","22003","2","4","10060603"
"100606111","94002","12","120000","10060611"
"100606112","22003","2","3","10060611"
"100606121","94002","12","160000","10060612"
"100606122","22003","2","4","10060612"
"100707011","94002","12","120000","10070701"
"100707012","22003","2","3","10070701"
"100707021","94002","12","120000","10070702"
"100707022","22003","2","4","10070702"
"100707031","94002","12","120000","10070703"
"100707032","22003","2","4","10070703"
"100707111","94002","12","120000","10070711"
"100707112","22003","2","3","10070711"
"100707121","94002","12","160000","10070712"
"100707122","22003","2","4","10070712"
"100808011","94002","12","120000","10080801"
"100808012","22003","2","3","10080801"
"100808021","94002","12","120000","10080802"
"100808022","22003","2","4","10080802"
"100808031","94002","12","120000","10080803"
"100808032","22003","2","4","10080803"
"100808111","94002","12","120000","10080811"
"100808112","22003","2","3","10080811"
"100808121","94002","12","160000","10080812"
"100808122","22003","2","4","10080812"
