9e45dd3c97f09f939be46ce8153a582c8938caf82356d7a0e51ec62bced10d89,57f8fc8a130a8d26c9ab1f015b05a6fb59fee1df077da918f57c191e54442d75,e7cd0c7bdcc1a4f68eede58202c9e6b6aeeac50047699357a2ca88dc3d083405,44db7c59f6598fda7ee41ee76d3c423a173eb1b55acbd29456cdac485ecc2d1e,78a2eda0eae84276ed4c17008231dbc97126ab8068014d3babeba738322ca82a
"6114101","10141","信頼度","1","10141107"
"6144101","10144","信頼度","1","10144102"
"6124101","10151","信頼度","1","10151110"
"6017101","10153","信頼度","1","10153102"
"0","20015","信頼度","1","0"
"0","20017","信頼度","1","0"
"0","20018","信頼度","1","0"
"0","20019","信頼度","1","0"
"0","20020","信頼度","1","0"
"0","20022","信頼度","1","0"
"0","20023","信頼度","1","0"
"0","20024","信頼度","1","0"
"0","20025","信頼度","1","0"
"0","20026","信頼度","1","0"
"0","20028","信頼度","1","0"
"0","20029","信頼度","1","0"
"0","20030","信頼度","1","0"
"0","20031","信頼度","1","0"
"0","20032","信頼度","1","0"
"0","20035","信頼度","1","0"
"0","20037","信頼度","1","0"
"0","20038","信頼度","1","0"
"0","20042","信頼度","1","0"
"0","20043","信頼度","1","0"
"0","20048","信頼度","1","0"
"0","20049","信頼度","1","0"
"0","20051","信頼度","1","0"
"0","20054","信頼度","1","0"
"0","20055","信頼度","1","0"
"0","20056","信頼度","1","0"
