eb6e7750dc446f4291c400cee6d51a5e8c2462fb01af95665865415cc862340c,9eabad062c254f3855757fa9b941cf7d9f809e1fb9c5baf3dc51f77daf33d3cb,ffe50351f3ad21c9290c8f724e18b184860e5952651828a99c753e407ca14171,a1e9ce345ceca192cd7cd3418b815555fdceff727bfeeca8bbeff4a64fde47e6,0f7482aad0114b5773514be1cca3ef4b79f62c5f04607eb2069fae5226569747,dd3bfdf5db77425de5d097130bf4bae3fec6a531836c0c4f5b4afe1f3c8a64d0
"11","-1480","2816","1","1","-1480"
"21","-1302","2816","1","1","-1400"
"31","-1263","2816","1","1","-1302"
"41","-1224","2816","1","1","-1263"
"51","-1185","2816","1","1","-1224"
"61","-1146","2816","1","1","-1185"
"71","-1146","2816","1","1","-1146"
"81","-1146","2816","1","1","-1146"
"91","-1107","2816","1","1","-1146"
"101","-1068","2816","1","1","-1107"
"111","-1029","2816","1","1","-1068"
"121","-1029","2816","1","1","-1029"
"131","-1029","2816","1","1","-1029"
"141","-1029","2816","1","1","-1029"
"151","-988","2816","1","1","-1029"
"161","-947","2816","1","1","-988"
"171","-906","2816","1","1","-947"
"181","-865","2816","1","1","-906"
"191","-865","2816","1","1","-865"
"201","-865","2816","1","1","-865"
"211","-824","2816","1","1","-865"
"221","-783","2816","1","1","-824"
"231","-742","2816","1","1","-783"
"241","-701","2816","1","1","-742"
"251","-660","2816","1","1","-701"
"261","-619","2816","1","1","-660"
"271","-619","2816","1","1","-619"
"281","-619","2816","1","1","-619"
"291","-619","2816","1","1","-619"
"301","-578","2816","1","1","-619"
"311","-537","2816","1","1","-578"
"321","-496","2816","1","1","-537"
"331","-496","2816","1","1","-496"
"341","-496","2816","1","1","-496"
"351","-496","2816","1","1","-496"
"361","-455","2816","1","1","-496"
"371","-414","2816","1","1","-455"
"381","-373","2816","1","1","-414"
"391","-332","2816","1","1","-373"
"401","-332","2816","1","1","-332"
"411","-332","2816","1","1","-332"
"421","-200","2816","1","1","-332"
"431","-1181","2816","2","2","-1246"
"441","-1152","2816","2","2","-1181"
"451","-1152","2816","2","2","-1152"
"461","-1123","2816","2","2","-1152"
"471","-1094","2816","2","2","-1123"
"481","-1094","2816","2","2","-1094"
"491","-1065","2816","2","2","-1094"
"501","-1065","2816","2","2","-1065"
"511","-1036","2816","2","2","-1065"
"521","-1036","2816","2","2","-1036"
"531","-1007","2816","2","2","-1036"
"541","-978","2816","2","2","-1007"
"551","-978","2816","2","2","-978"
"561","-949","2816","2","2","-978"
"571","-920","2816","2","2","-949"
"581","-891","2816","2","2","-920"
"591","-862","2816","2","2","-891"
"601","-862","2816","2","2","-862"
"611","-862","2816","2","2","-862"
"621","-862","2816","2","2","-862"
"631","-833","2816","2","2","-862"
"641","-804","2816","2","2","-833"
"651","-775","2816","2","2","-804"
"661","-746","2816","2","2","-775"
"671","-717","2816","2","2","-746"
"681","-688","2816","2","2","-717"
"691","-659","2816","2","2","-688"
"701","-630","2816","2","2","-659"
"711","-601","2816","2","2","-630"
"721","-572","2816","2","2","-601"
"731","-543","2816","2","2","-572"
"741","-514","2816","2","2","-543"
"751","-449","2816","2","2","-514"
"761","-1153","2816","2","3","-1226"
"771","-1115","2816","2","3","-1153"
"781","-1115","2816","2","3","-1115"
"791","-1077","2816","2","3","-1115"
"801","-1077","2816","2","3","-1077"
"811","-1039","2816","2","3","-1077"
"821","-1001","2816","2","3","-1039"
