08963bdf9be2e6a1edae8d7498b9223ff1ca379788ad15ea82384a7fc7c0686b,29bc892eb4056b018213a612ecdd907812740f8608c2f60a43fb3d2666d1f423,64eb2b2710f9f5880d93e447b6dc2c4bc1dcb04aa2b78b04690cde28f5a8a7fe,77b2f5b54f5adc030b9faac22de5da18e7b26ab3bbd03ff79daeeae527aa8334,f9b7a4e7d0f9a27a783ca76dbe98a67b2880da25956a34635844667ef798182d,d0993b2bb20bd2b22173bc32a93069b9e3ce6f599d7fe8f9b827301e1ed4ad14,94c732f0c1e2d116f7ef066ab4d6d8330899e3692da2ff881ce41b2fde9aea06,efbd37cbff941ec197890e2e4acf29ef621cbbebfc452f8bb630a3bd53f9d24f,bdd18c9ecea50ca6d975f1ae048bc9f348964e0e34839286afe17b3235ecf26a
"7008","1","1010","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","32000101","500000","32000101","1002","1"
"7008","1","1010","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","32000102","750000","32000102","1002","2"
"7008","1","1010","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","32000103","1000000","32000103","1002","3"
"7008","1","1010","全プレイヤーでフレイヤを合計500,000回倒そう","32000104","500000","32000104","1003","4"
"7008","1","1010","全プレイヤーでフレイヤを合計750,000回倒そう","32000105","750000","32000105","1003","5"
"7008","1","1010","全プレイヤーでフレイヤを合計1,000,000回倒そう","32000106","1000000","32000106","1003","6"
"7008","0","1010","全プレイヤーでアラクネを合計1,000,000回倒そう","32000107","1000000","32000107","1004","7"
"7008","0","1010","全プレイヤーでアラクネを合計1,500,000回倒そう","32000108","1500000","32000108","1004","8"
"7008","0","1010","全プレイヤーでアラクネを合計2,000,000回倒そう","32000109","2000000","32000109","1004","9"
"7007","1","1009","宝石蜘蛛の群れに1回挑戦しよう","32000110","1","32000110","1001","10"
"7007","1","1009","バンディ・シスターズを1回倒そう","32000111","1","32000111","1002","11"
"7007","1","1009","フレイヤを1回倒そう","32000112","1","32000112","1003","12"
"7007","0","1009","アラクネを1回倒そう","32000113","1","32000113","1004","13"
