8f1d2a69eacf96e74bf5dd05d07b1e45f2e00976943755ff73fcd6a1c2aa4d82,89175031fb37dec2323c7519a6098a1609a546826e72adf4a0cf03445c2b3759,9849cd9765e9127bc1d0ba40354d5222133767eb141dd15c8ef649364f0a1a65,eadf1bd750b44dbd36e1fa9e6548ef7942879e5e4cbb01e8f2040becb3463143
"-354","100101","938","1.6"
"-499","100201","952","1.6"
"-523","100301","1014","1.6"
"-488","100401","894","1.6"
"-628","100601","980","1.6"
"-573","100701","983","1.6"
"-544","100801","1019","1.6"
"-510","100901","985","1.6"
"-660","101001","1115","1.6"
"-415","101101","1128","1.6"
"-589","101201","1042","1.6"
"-501","101601","1050","1.6"
"-598","101701","1038","1.6"
"-356","101801","985","1.6"
"-494","102001","1114","1.6"
"-392","102101","1003","1.6"
"-407","102201","1057","1.6"
"-388","102501","997","1.6"
"-490","102701","1090","1.6"
"-554","102801","987","1.6"
"-526","102901","976","1.6"
"-879","103001","994","1.6"
"-560","103101","1056","1.6"
"-453","103301","1018","1.6"
"-345","103401","1017","1.6"
"-674","103801","961","1.6"
"-499","104001","1095","1.6"
"-521","104201","955","1.6"
"-581","104301","1079","1.6"
"-538","104501","980","1.6"
"-364","104601","954","1.6"
"-777","104801","1107","1.6"
"-795","104901","973","1.6"
"-492","105001","1122","1.6"
"-607","105201","1035","1.6"
"-490","105301","885","1.6"
