ade9ca84c9e7d46c52a1aa997175c7a23a32fd9a50087e07ac8214a55e6b01ef,f881138c67387403c130b7e4705fdbaa97de6db578feee4998a1b0fd8173e881,31eaccd7326ee87f63e616691cb2eb32a6d91dade04744bb162361c7e9146850,05656b298c16376f1d27cfefb265b73145f16e0fc2838c41c3baf9a923e6a56e,de85eafad428132f60cb0ce2908f7da1029c5763a6bcd81e0cb1927b9cbbc1dd
"101","1","31008000","25","1"
"101","2","31001000","25","1"
"101","6","31002000","25","1"
"101","8","31001000","25","1"
"101","7","31006000","25","1"
"101","11","31007000","25","1"
"101","3","31002000","25","1"
"101","12","31007000","25","1"
"101","10","31005000","25","1"
"101","13","31007000","25","1"
"101","4","31006000","25","1"
"101","9","31004000","25","1"
"101","14","31007000","25","1"
"101","5","31008000","25","1"
