01b2f16d4e4206b0db5f59815048d5a7b3deac031dae157219692f282850977a,172d9741af886e41901325b13406c5467cadb98953950df29662069ac9cb42a7,d960089d7d2a19697c6c1b96d5825c0719ab0e8991d3c19f891da5ca376964ff,ce765a66f7743ecb70fe2c9c0c82473c21c9f423f4485819ee652e6a7702e110,5e15b3822a18c4ffa2fcd914e2b9d99ba802bed12577fd538d1159929efc1385,62f15f7a55f3be2e3807adc2b9419c35dc97855cf0e4e1debb38efe558240177,faf491fa8e6e41233c6e759eb7e5ab67a44aa7e87e3979afbdd5977362b703c0,c4afd85b32773ce2e90b9f1687d75f0599d65804dd48d205fdb04983a9925823,c679d5e10b725480b4fe1300b58ca17700b6a1e7cd851569909e1564d9382526,d6e9e2522ed49882e5a10a46e2834c9e574d496e49c6815d2c98a44319bedf5d,cab2d5b02ff3982484c1ac0da4f06ba2a33272666947464194619127e4d2b001,3a4550fba59ad5a7a9a85333b2d86a94a695b624eb09ea411a60af0f4c4cb92a
"1回バトルしよう","7003","31000101","31000101","1","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"5回バトルしよう","7003","31000102","31000102","5","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"10回バトルしよう","7003","31000103","31000103","10","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"15回バトルしよう","7003","31000104","31000104","15","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"20回バトルしよう","7003","31000105","31000105","20","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"25回バトルしよう","7003","31000106","31000106","25","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"30回バトルしよう","7003","31000107","31000107","30","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"35回バトルしよう","7003","31000108","31000108","35","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"40回バトルしよう","7003","31000109","31000109","40","3","2022/12/23 11:59:59","0","2022/12/16 12:00:00","0","1000","10"
"黒の王ジャバウォックに累積500万ダメージ与えよう","7004","31001101","31001101","5000000","3","2022/12/23 11:59:59","3001","2022/12/16 12:00:00","0","1001","10"
"黒の王ジャバウォックに累積750万ダメージ与えよう","7004","31001102","31001102","7500000","3","2022/12/23 11:59:59","3001","2022/12/16 12:00:00","0","1001","10"
"黒の王ジャバウォックに累積1000万ダメージ与えよう","7004","31001103","31001103","10000000","3","2022/12/23 11:59:59","3001","2022/12/16 12:00:00","0","1001","10"
"黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","7005","31001111","31001111","1","3","2022/12/23 11:59:59","3001","2022/12/16 12:00:00","2500000","1001","11"
"黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","7005","31001112","31001112","1","3","2022/12/23 11:59:59","3001","2022/12/16 12:00:00","5000000","1001","11"
"暴走のイノセントボウに累積500万ダメージ与えよう","7004","31001201","31001201","5000000","3","2022/12/23 11:59:59","3002","2022/12/16 12:00:00","0","1001","20"
"暴走のイノセントボウに累積750万ダメージ与えよう","7004","31001202","31001202","7500000","3","2022/12/23 11:59:59","3002","2022/12/16 12:00:00","0","1001","20"
"暴走のイノセントボウに累積1000万ダメージ与えよう","7004","31001203","31001203","10000000","3","2022/12/23 11:59:59","3002","2022/12/16 12:00:00","0","1001","20"
"暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","7005","31001211","31001211","1","3","2022/12/23 11:59:59","3002","2022/12/16 12:00:00","2500000","1001","21"
"暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","7005","31001212","31001212","1","3","2022/12/23 11:59:59","3002","2022/12/16 12:00:00","5000000","1001","21"
"ファントムバロンに累積500万ダメージ与えよう","7004","31001301","31001301","5000000","3","2022/12/23 11:59:59","3003","2022/12/16 12:00:00","0","1001","30"
"ファントムバロンに累積750万ダメージ与えよう","7004","31001302","31001302","7500000","3","2022/12/23 11:59:59","3003","2022/12/16 12:00:00","0","1001","30"
"ファントムバロンに累積1000万ダメージ与えよう","7004","31001303","31001303","10000000","3","2022/12/23 11:59:59","3003","2022/12/16 12:00:00","0","1001","30"
"ファントムバロンに1度のバトルで250万ダメージ与えよう","7005","31001311","31001311","1","3","2022/12/23 11:59:59","3003","2022/12/16 12:00:00","2500000","1001","31"
"ファントムバロンに1度のバトルで500万ダメージ与えよう","7005","31001312","31001312","1","3","2022/12/23 11:59:59","3003","2022/12/16 12:00:00","5000000","1001","31"
"テンタパスに累積500万ダメージ与えよう","7004","31001401","31001401","5000000","3","2022/12/23 11:59:59","3004","2022/12/16 12:00:00","0","1001","40"
"テンタパスに累積750万ダメージ与えよう","7004","31001402","31001402","7500000","3","2022/12/23 11:59:59","3004","2022/12/16 12:00:00","0","1001","40"
"テンタパスに累積1000万ダメージ与えよう","7004","31001403","31001403","10000000","3","2022/12/23 11:59:59","3004","2022/12/16 12:00:00","0","1001","40"
"テンタパスに1度のバトルで250万ダメージ与えよう","7005","31001411","31001411","1","3","2022/12/23 11:59:59","3004","2022/12/16 12:00:00","2500000","1001","41"
"テンタパスに1度のバトルで500万ダメージ与えよう","7005","31001412","31001412","1","3","2022/12/23 11:59:59","3004","2022/12/16 12:00:00","5000000","1001","41"
"ゴウシンに累積500万ダメージ与えよう","7004","31002101","31002101","5000000","3","2022/12/23 11:59:59","3005","2022/12/16 12:00:00","0","1002","10"
"ゴウシンに累積750万ダメージ与えよう","7004","31002102","31002102","7500000","3","2022/12/23 11:59:59","3005","2022/12/16 12:00:00","0","1002","10"
"ゴウシンに累積1000万ダメージ与えよう","7004","31002103","31002103","10000000","3","2022/12/23 11:59:59","3005","2022/12/16 12:00:00","0","1002","10"
"ゴウシンに累積1億1000万ダメージ与えよう","7004","31002104","31002104","110000000","3","2022/12/23 11:59:59","3005","2022/12/16 12:00:00","0","1002","10"
"ゴウシンに1度のバトルで250万ダメージ与えよう","7005","31002111","31002111","1","3","2022/12/23 11:59:59","3005","2022/12/16 12:00:00","2500000","1002","11"
