d301694cb6c2927fdc348762579ca47bf40ec5e5d94fc9680f75e8e87fcd22eb,c4219e66e90433789ff81d341fe9109604098fca71b7ad81f43cbb87adf73473,f9f0dac3a5a4f8a95c954923ca71f85e9f026528088678bd3822ba1afc9e4cc6,3b78f75e9cd4475b51de4727924bf1cdafac74c592f3aa797845e3894732b0e6,75b9e7993687f2da7360acf4b8a3d4f5896a3a8cd2b37c8572386e514adad32a,24de95161c867d9fceee34859504cc6d38774abf5f669fde72e05c511b4f5c31,da3e694f37218bf1c4ac09aaf7c17ae39c3a740866e9b0ba7c3257007dea72ae,6f725d5d4e0377f09e5d24565a7573141e5db94d316efdc66f29455cede700db,de0f1df3d1292f1e1f1af912e5e2dcb3ac2b9f3fc6ae948538310e0c9d7c62ab,faf8c22239b6e954566b9c257d2b0bc209829a67fb64e2104627cec05175db58,4fe4b319c5c2e8a45a935329826ff588fb048bd6c19edbfd86463f47df749bff
"01_uek_cmn_idol_def_N","105831","1","0","1","-496","1","100","1010001","1.3","-157"
"01_uek_cmn_idol_def_N","105931","1","0","1","-355","1","110","1010002","1.3","-178"
"01_uek_cmn_idol_def_N","112631","1","1","1","410","1","100","1010003","1.3","-124"
"01_uek_cmn_idol_def_N","112531","1","1","1","389","1","110","1010004","1.3","-258"
"01_uek_cmn_idol_def_N","106031","1","0","1","-415","1","120","1010005","1.3","-234"
"01_uek_cmn_idol_def_N","112431","1","1","1","262","1","120","1010006","1.3","-235"
"","01_uek_01_peko","105831","0.2","3","01_uek_cmn_pose03","1","0","1010007","0","1"
"","01_uek_01_kokkoro","105931","0.2","3","01_uek_talk_normal","1","0","1010008","0","1"
"","01_uek_01_kyaru","106031","0.2","3","01_uek_cmn_pose02","1","0","1010009","0","1"
"","01_uek_01_mio","112631","0.2","3","01_uek_cmn_pose03","1","0","1010010","0","1"
"","01_uek_01_rin","112531","0.2","3","01_uek_cmn_pose02","1","0","1010011","0","1"
"","01_uek_01_uduki","112431","0.2","3","01_uek_cmn_pose01","1","0","1010012","0","1"
"","","3","","93","","1","","1010013","",""
"","01_uek_cmn_pose03","112631","","3","","1","1","1010014","0.2","0"
"","01_uek_cmn_pose01","112431","","3","","1","1","1010015","0.2","0"
"","01_uek_cmn_pose03","105831","","3","","1","1","1010016","0.2","0"
"","01_uek_talk_normal","105931","0.1","3","01_uek_cmn_idol_def_N","1","0","1010017","0.2","1"
"","01_uek_cmn_pose02","106031","0.1","3","01_uek_cmn_idol_def_N","1","0","1010018","0.2","1"
"","01_uek_cmn_pose02","112531","0.1","3","01_uek_cmn_idol_def_N","1","0","1010019","0.2","1"
"","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","105831","","11","","1","10","1010020","",""
"","","0","","91","","1","","1010021","",""
"","うえきちゃんが\nどこまで続くのか\n分からないほどです","105931","","11","","1","10","1010022","",""
"","","0","","91","","1","","1010023","",""
"","こういうのってさ\n上がどうなってるか\n見てみたいよね！","112631","","11","","1","10","1010024","",""
"","","0","","91","","1","","1010025","",""
"","確かにね…それに\nこうなった理由も\n分かるかも","112531","","11","","1","10","1010026","",""
"","","0","","91","","1","","1010027","",""
"","ま、興味はあるし\n付き合ってあげるわ","106031","","11","","1","10","1010028","",""
"","","0","","91","","1","","1010029","",""
"","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","112431","","11","","1","10","1010030","",""
"","","0","","91","","1","","1010031","",""
"02_uek_cmn_idol_def_N","104431","1","0","1","0","2","100","1020001","1.3","0"
"","02_uek_02_ilya","104431","","3","02_uek_02_ilya_loop","2","0","1020002","","0"
"","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","104431","","11","0","2","10","1020003","",""
"","","0","","91","","2","","1020004","","0"
"01_uek_cmn_idol_def_N","105831","1","0","1","-140","3","100","1030001","1.3","-10"
"01_uek_cmn_idol_def_N","105931","1","1","1","120","3","100","1030002","1.3","10"
"01_uek_cmn_idol_def_N","106031","1","1","1","0","3","100","1030003","1.3","0"
"","01_uek_03_peko","105831","","3","01_uek_03_peko_loop","3","0","1030004","","0"
"","01_uek_03_kyaru","106031","","3","01_uek_03_kyaru_loop","3","0","1030005","","0"
"","キャルちゃん！\n見てください\nいい景色ですよ☆","105831","","11","0","3","10","1030006","",""
"","","0","","91","","3","","1030007","",""
"","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","106031","","11","0","3","10","1030008","",""
"","","0","","91","","3","","1030009","",""
"","01_uek_03_kokkoro","105931","","3","01_uek_cmn_idol_def_N","3","0","1030010","","1"
"","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","105931","","11","0","3","10","1030011","",""
"02_uek_cmn_idol_def_N","101131","1","0","1","-120","4","100","1040001","1.3","-30"
"02_uek_cmn_idol_def_N","104931","1","1","1","20","4","100","1040002","1.3","-5"
"","02_uek_talk_joy2","101131","","3","","4","1","1040003","",""
"","マスターセンリも\n一発からです！\n頑張りますよ！","101131","","11","0","4","10","1040004","",""
"","","0","","91","","4","","1040005","",""
"","02_uek_cmn_idol_def_N","101131","","3","","4","1","1040006","0.2",""
"","02_uek_04_shizuru","104931","","3","","4","1","1040007","0.2",""
"","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","104931","","11","0","4","10","1040008","",""
"","","0","","91","","4","","1040009","",""
"","02_uek_cmn_idol_def_N","104931","","3","","4","1","1040010","0.2",""
"02_uek_cmn_idol_def_N","105031","1","0","1","-70","5","100","1050001","1.3","0"
