edccab4a77a96f2aa547fef3b25a936c8d7ffd48488fe6c06822d6d8dd280f19,e0db6ba010822d5e6e034aacad2ba1ae4551e29f333307b3e6515edcf5da00b9,3614aac6f0542b9e2855a1c3e101de716d845bae2043e6c3795faf98e2f53246,0961761fc8521f5598f51b5302e0d6dc6d2378640d586cc462ff91e899a52bba,374a3aa7ea7146e6476d8943d70e7bcda3fcd7538dc99fe920cb1412dd76e138
"#D23232","片手剣","red","90009","101"
"#D23232","両手剣","red","90009","102"
"#D23232","短剣","red","90009","103"
"#D23232","槍","red","90009","104"
"#D23232","斧","red","90009","105"
"#D23232","弓","red","90009","106"
"#D23232","拳","red","90009","107"
"#D23232","盾","red","90009","108"
"#D23232","杖","red","90009","109"
"#D23232","本","red","90009","110"
"#476FD8","服","blue","90010","201"
"#476FD8","鎧","blue","90010","202"
"#476FD8","白ローブ","blue","90010","203"
"#476FD8","黒ローブ","blue","90010","204"
"#E5681E","指輪","yellow","90011","301"
"#E5681E","腕輪","yellow","90011","302"
"#E5681E","ネックレス","yellow","90011","303"
"#E5681E","宝珠","yellow","90011","304"
"#E5681E","イヤリング","yellow","90011","305"
