8e12436319c5d9a9601b56f5b98e123dd5ca474df56c44041a798e249df8f95e,c371088f4d28c203e70219c67a770c34efca7e40dfb5371cdb133a0623b3bbf8,9ad8baaf99142bfe4ad5510071667a6814ce40ba5cda28086106acdc2258252c,0869162eb736f4ebd43fe7e20d9f02d85e431ae34bca0ebe124b95bbc6fa4bff,c309e804fffde7ebfe415977f5c0a9053d0365dd323091aea3f2ef79251e9bef,c188d566cbf9bcefbe3ab8fc64f019761248b288ae8303e37fbd157f5dc44a9b,e98870d2ae7e9acdf180b8eab5747aa2fcb29fc01d9ea689740860c64bfcdd7c,0a9e9adc122336fc4e634170b26120b8437b89cb96b4a71f9660588812d2c941
"0","0","600060001","600090001","0","610201001","0","600130001"
"0","0","600090001","600300101","0","610201002","0","600070001"
"0","0","600380001","600050001","0","610201003","600230001","600420001"
"0","0","600090103","600300003","0","610201004","0","600110003"
"0","0","600120001","600300003","0","610201005","0","600390003"
"0","0","600290103","600380102","0","610201006","600340003","600160003"
"0","0","600370004","600060004","0","610201007","0","600440004"
"0","0","600330002","600210104","0","610201008","0","600080004"
"0","0","600270004","600380103","0","610201009","600160004","600420004"
"0","0","600380009","600320010","0","610201010","0","600340010"
"0","0","600050009","600300010","0","610201011","0","600140010"
"0","0","600330008","600290210","0","610201012","600130110","600250010"
"0","0","600030011","600280011","0","610201013","0","600020011"
"0","0","600210111","600010011","0","610201014","0","600280011"
"0","0","600040010","600030011","0","610201015","600210111","600100011"
"0","0","600060013","600090013","0","610201016","0","600130013"
"0","0","600090013","600300113","0","610201017","0","600070013"
"0","0","600380012","600050012","0","610201018","600230013","600420013"
"0","0","600090114","600300014","0","610201019","0","600110014"
"0","0","600120012","600300014","0","610201020","0","600390014"
"0","0","600290114","600380113","0","610201021","600340014","600160014"
"0","0","600370016","600060016","0","610201022","0","600440016"
"0","0","600330014","600210116","0","610201023","0","600080016"
"0","0","600270016","600380115","0","610201024","600160016","600420016"
"0","0","600380016","600320017","0","610201025","0","600340017"
"0","0","600050016","600300017","0","610201026","0","600140017"
"0","0","600330015","600290217","0","610201027","600130117","600250017"
"0","0","600030019","600280019","0","610201028","0","600020019"
"0","0","600210119","600010019","0","610201029","0","600280019"
"0","0","600040018","600030019","0","610201030","600210119","600100019"
"0","0","600030020","600290120","0","610201031","0","600390020"
"0","0","600060020","600230018","0","610201032","0","600300120"
"0","0","600130120","600040020","0","610201033","600020020","600050020"
"0","0","600090022","600400022","0","610201034","0","600110022"
"0","0","600070022","600090122","0","610201035","0","600430022"
"0","0","600120022","600380122","0","610201036","600140022","600420022"
"0","0","600090023","600400023","0","610201037","0","600110023"
"0","0","600280022","600270023","0","610201038","0","600010021"
"0","0","600240023","600380123","0","610201039","600150023","600220023"
"0","0","610201101","0","0","610201101","0","0"
"0","0","610201201","0","0","610201102","0","0"
"0","0","610201202","0","0","610201103","0","0"
"0","0","610201203","0","0","610201104","0","0"
"0","0","610201301","0","0","610201105","0","0"
"0","0","610201302","0","0","610201106","0","0"
"0","0","610201303","0","0","610201107","0","0"
"0","0","610201151","0","0","610201151","0","0"
"0","0","610201251","610201451","0","610201152","610201453","610201452"
"0","0","610201252","0","0","610201153","0","0"
"0","0","610201253","0","0","610201154","0","0"
"0","0","610201351","610201551","0","610201155","610201553","610201552"
"0","0","610201352","0","0","610201156","0","0"
"0","0","610201353","0","0","610201157","0","0"
"0","0","610202101","0","0","610202101","0","0"
"610202404","0","610202201","610202401","0","610202102","610202403","610202402"
"0","0","610202202","0","0","610202103","0","0"
"0","0","610202203","0","0","610202104","0","0"
"610202504","0","610202301","610202501","0","610202105","610202503","610202502"
"0","0","610202302","0","0","610202106","0","0"
"0","0","610202303","0","0","610202107","0","0"
"0","0","610203101","0","0","610203101","0","0"
"610203404","0","610203201","610203401","0","610203102","610203403","610203402"
"0","0","610203202","0","0","610203103","0","0"
"0","0","610203203","0","0","610203104","0","0"
"610203504","0","610203301","610203501","0","610203105","610203503","610203502"
"0","0","610203302","0","0","610203106","0","0"
"0","0","610203303","0","0","610203107","0","0"
"0","0","610204101","0","0","610204101","0","0"
"610204404","0","610204201","610204401","0","610204102","610204403","610204402"
"0","0","610204202","0","0","610204103","0","0"
"0","0","610204203","0","0","610204104","0","0"
"610204504","0","610204301","610204501","0","610204105","610204503","610204502"
"0","0","610204302","0","0","610204106","0","0"
"0","0","610204303","0","0","610204107","0","0"
"0","0","610205101","0","0","610205101","0","0"
"610205404","0","610205201","610205401","0","610205102","610205403","610205402"
"0","0","610205202","0","0","610205103","0","0"
"0","0","610205203","0","0","610205104","0","0"
"610205504","0","610205301","610205501","0","610205105","610205503","610205502"
"0","0","610205302","0","0","610205106","0","0"
"0","0","610205303","0","0","610205107","0","0"
"0","0","610206101","0","0","610206101","0","0"
"610206404","0","610206201","610206401","0","610206102","610206403","610206402"
"610206408","0","610206202","610206405","0","610206103","610206407","610206406"
"0","0","610206203","0","0","610206104","0","0"
"610206504","0","610206301","610206501","0","610206105","610206503","610206502"
"610206508","0","610206302","610206505","0","610206106","610206507","610206506"
"0","0","610206303","0","0","610206107","0","0"
