5f7f1653b7f1e7f26c4c966f1174277a7a0ca6657762206ab9b75b613f34f732,b56c406d2f9cecaa68bcca44dba53a1fb56675e5128374ab22d59d11a2bfe23f,e4b113461e6bbf5f019cec05cd7b23524347de5d61c68069cda8a7aeb10ed973,aded9e6fabf0baaca9928975e92542971b419416e3edc66c571289a69034665f
"0","戦闘不能になったキャラが0人以下で勝利","1001","100101"
"1","戦闘不能になったキャラが1人以下で勝利","1001","100102"
"2","戦闘不能になったキャラが2人以下で勝利","1001","100103"
"74001","バトルの残り時間が1:15以上で勝利","1002","100201"
"69001","バトルの残り時間が1:10以上で勝利","1002","100202"
"59001","バトルの残り時間が1:00以上で勝利","1002","100203"
"49001","バトルの残り時間が0:50以上で勝利","1002","100204"
"44001","バトルの残り時間が0:45以上で勝利","1002","100205"
"39001","バトルの残り時間が0:40以上で勝利","1002","100206"
"29001","バトルの残り時間が0:30以上で勝利","1002","100207"
"1000","味方のTotal HPが100%以上で勝利","1003","100301"
"900","味方のTotal HPが90%以上で勝利","1003","100302"
"800","味方のTotal HPが80%以上で勝利","1003","100303"
"700","味方のTotal HPが70%以上で勝利","1003","100304"
"600","味方のTotal HPが60%以上で勝利","1003","100305"
"500","味方のTotal HPが50%以上で勝利","1003","100306"
"990","味方のTotal HPが99%以上で勝利","1003","100307"
