9267a1c726d212ea05e9f95ba0e8218742e9cab15c510e59dfac2700e5285ccc,8b089da3c6f9e31f2b2fa685b2a70114f093ab325f92626f132f72e1d6e28551,25dff254285d2fca10a8528569ae72bc60bf2e11e7c34b530d0a537e20b53575,4ad65a12f1ced3a65945cd930770fb337fa7480d11074bc928c1ffd1cd3ef87c,6c03b9ad76f32e56f902144913c4dc52e7d74b1562000fdcf822f25fdf8bb689,17fe3246715e3c172509aab807575b5fc3031730a6e3205220ceee54e7a258e1
"10008001","10008","1","1","0","10008103"
"10008002","10008","1","2","0","10008104"
"10008003","10008","1","3","0","10008105"
"10008004","10008","1","4","0","10008107"
"10008005","10008","1","5","0","10008111"
"10008006","10008","2","201","0","0"
"10008201","10008","201","101","0","10008105"
"10008202","10008","201","102","0","10008107"
"10008203","10008","201","103","0","10008111"
"10008204","10008","202","111","0","10008115"
"10008301","10008","101","105601","0","0"
"10008302","10008","101","100901","0","10008103"
"10008303","10008","101","101301","0","10008104"
"10008304","10008","101","105601","0","10008105"
"10008305","10008","101","101301","0","10008107"
"10008306","10008","101","100901","0","10008111"
"10008307","10008","102","105601","0","0"
"10010001","10010","2","201","0","0"
"10010002","10010","1","2","0","10010112"
"10010003","10010","1","3","0","10010115"
"10010004","10010","1","4","0","10010103"
"10010005","10010","1","5","0","10010105"
"10010006","10010","1","6","0","10010107"
"10010007","10010","1","7","0","10010109"
"10010201","10010","211","101","0","10010112"
"10010202","10010","211","0","0","10010115"
"10010501","10010","501","101461","101471","10010110"
"10010502","10010","501","101462","101472","10010110"
"10010503","10010","501","101463","101473","10010110"
"10010531","10010","3","211","0","1001004"
"10012001","10012","4","1","0","1001201"
"10012002","10012","4","2","0","1001202"
"10012003","10012","4","3","0","1001203"
"10012004","10012","4","4","0","1001204"
"10012301","10012","5","101","0","1001201"
"10012302","10012","5","101","0","1001202"
"10012303","10012","5","101","0","1001203"
"10012401","10012","6","501","0","0"
"10012531","10012","3","211","0","1001204"
"10013531","10013","3","211","0","1001304"
"10015531","10015","3","211","0","1001504"
"10017001","10017","1","1","0","10017102"
"10017002","10017","1","2","0","10017108"
"10017003","10017","1","3","0","10017115"
"10017301","10017","101","105801","0","0"
"10017302","10017","101","109901","0","10017102"
"10017303","10017","102","109901","0","0"
"10017531","10017","3","211","0","1001704"
"10021001","10021","501","101921","101931","10021112"
"10021002","10021","501","101922","101932","10021112"
"10021003","10021","501","101923","101933","10021112"
"10021004","10021","501","100011","100351","10021112"
"10021005","10021","501","100012","100352","10021112"
"10021006","10021","501","100013","100353","10021112"
"10021007","10021","501","100014","100354","10021112"
"10021008","10021","501","100015","100355","10021112"
"10021009","10021","501","100016","100356","10021112"
"10021010","10021","501","100017","100357","10021112"
"10021011","10021","501","100018","100358","10021112"
"10021012","10021","501","100019","100359","10021112"
"10039531","10039","3","211","0","1003904"
"10053001","10053","1","1","0","10053102"
"10053002","10053","1","2","0","10053108"
"10053003","10053","1","3","0","10053115"
"10053301","10053","101","105801","0","0"
"10053302","10053","101","109901","0","10053102"
"10053303","10053","102","109901","0","0"
"10053531","10053","3","211","0","1005304"
"10084001","10084","1","1","0","10084102"
"10084002","10084","1","2","0","10084112"
"10084003","10084","1","3","0","10084115"
"10085001","10085","1","1","0","10085102"
"10085002","10085","1","2","0","10085108"
"10085003","10085","1","3","0","10085115"
"10112001","10112","1","1","0","10112102"
"10112002","10112","1","2","0","10112112"
"10112003","10112","1","3","0","10112115"
"10113001","10113","1","1","0","10113102"
"10113002","10113","1","2","0","10113108"
"10113003","10113","1","3","0","10113115"
"10153001","10153","1","1","0","10153102"
"10153002","10153","1","2","0","10153108"
"10153003","10153","1","3","0","10153115"
"10153301","10153","101","105801","0","0"
"10153302","10153","101","109901","0","10153102"
"10153303","10153","102","109901","0","0"
"10153531","10153","3","211","0","1015304"
"20008001","20008","1","1","0","20008103"
"20008002","20008","1","2","0","20008104"
"20008003","20008","1","3","0","20008105"
"20008004","20008","1","4","0","20008107"
"20008005","20008","1","5","0","20008111"
"20008006","20008","2","201","0","0"
"20008201","20008","201","101","0","20008105"
"20008202","20008","201","102","0","20008107"
"20008203","20008","201","103","0","20008111"
"20008204","20008","202","111","0","20008115"
"20008301","20008","101","105601","0","0"
"20008302","20008","101","100901","0","20008103"
"20008303","20008","101","101301","0","20008104"
"20008304","20008","101","105601","0","20008105"
"20008305","20008","101","101301","0","20008107"
"20008306","20008","101","100901","0","20008111"
"20008307","20008","102","105601","0","0"
"20010001","20010","2","201","0","0"
"20010002","20010","1","1","0","20010110"
