20b422ec0ee84c72a26a7ca20e0c9ad44e64f2c0dc05203f1a00b9d9b217dcb6,a23b4f91c60f19721c6a8435f5c6b282beeb3fc5f25812f80cc9252187fa115d,517c950ae4db53ca1a15f14e887352c17dbd93c021e65276de6026f2bcf2e2dd,0734972f2115b563a62f4ed2e01a029916509c69b69735b8e1819b6bfd89c409,47d34c812e46d2c0b182e5f2107d46dd5463a88ae6c1ead019b3cb9cc6ebc8f4,4efae257dd56980ed87e5570ffc2addc809682cf2533c778da941ac1f17f8a90,eabcb6aea9f6ce40d19bbb1ad98631d3e8670d85cb6c0d3fc0d04967087e8bc3,4462288687fe2b6a208a8bfcedf279681080f2c5066540f516cbe9f16af303fb,8e2a8c0e10c55f61c24e1cacc6b957425a66b42179151fd04f43fa32e9c445cb,f43378a879ef241174c614eaba2b567853e9e00636638ec2cd3a583b94794a45,c001588b9d7e25ee906632ce433913e987bf5d2e88fbf766cb4717fe7959b88b,ae21c5c42925250197877f6d1759fe776d25735ac8f1357cd810e51bbc045382,7a5df7945ec58d9df10ec7d825f97246263ddc7f9f7c9e8417ef201e3f13c7f9
"0","ヤマト","2210101","0","100001","2","130011","攻撃力を15％アップさせ、攻撃速度を10％\nアップさせる。","攻撃力と攻撃速度を小アップ","0","0","0","10000101"
"0","ワカナ","2210201","0","100002","2","130111","最大HPを15％アップさせ、攻撃速度を10％\nアップさせる。","最大HPと攻撃速度を小アップ","0","0","0","10000201"
"0","フブキ","2210301","0","100003","2","130211","バトル開始から３秒間、敵の移動速度と攻撃\n速度を15%ダウンさせる。","敵の移動速度と攻撃速度を小ダウン","0","0","0","0"
"0","ペコリーヌ","0","0","100004","2","105811","最大HPを25％アップさせる。","最大HPを中アップ","0","0","1","10000401"
"0","キャル","2210501","0","100005","2","106011","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","敵の移動速度を中ダウン","0","0","2","0"
"0","コッコロ","0","0","100006","2","105911","コスト上限を50％アップさせる。","コスト上限を大アップ","0","0","3","10000601"
"0","シェフィ","2210701","0","100007","3","106411","移動速度を25％アップさせる。","移動速度を中アップ","0","0","4","0"
"0","リリ","2210801","0","100008","2","131311","攻撃力を15％アップさせ、移動速度を10％\nアップさせる。","攻撃力と移動速度を小アップ","0","0","5","10000801"
"0","クリア","2210901","0","100009","2","131411","最大HPを15％アップさせ、移動速度を10％\nアップさせる。","最大HPと移動速度を小アップ","0","0","6","10000901"
"0","プレシア","2211001","0","100010","2","131511","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","コスト上限と移動速度を小アップ","0","0","7","10001001"
"0","クローチェ","2211101","0","100011","2","126411","攻撃力を10％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","攻撃力と攻撃速度を小アップ","0","0","8","10001101"
"0","ライラエル","2211201","0","100012","3","126511","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","攻撃力を中アップ","0","0","9","0"
"0","リンド","2211301","0","100013","2","127711","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を25％アップさせる。","攻撃速度と攻撃力をアップ","0","0","10","0"
"0","ヴルム","2211401","0","100014","2","127811","バトル開始から３秒間、自分の攻撃速度を\n10％ダウンさせ、その後、敵の攻撃力を25％\nダウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","0","0","11","0"
"0","クルル","0","0","100015","3","130911","コスト上限を25％アップさせ、HPを15％\nアップさせる。","コスト上限とHPを小アップ","10001502","0","12","10001501"
