a1a983b0be45c09f0f0ec49d570b2e45ba19c91f06b6fc7ede19dc68439bcb6e,80b02dd22f8fc3b6ee083fd651e5f09fa3489e115873ccfbdef28289bca98d11,99ce0c5819fdcbc69a43fb936896f476e9910a12bf14c470cf912c2f3709659c,239a8e69954f4642772caeb69f6ccea82b3bdf09ef6b3fd0f3b2aab60a18db96,11858521fab67f1b651364bf9dd6c4ce07f1e18641930becf134e0983fe35b07,5c733c517b2302f5744b19808e4b891fc362d1868a494a8f410c257ba06a68e0,8c46e36ffa2d6dd0b01b8914687f65a3a587ccacff583294a1ea329837fed79f,ed1b69420400c3b39dc5e3736b432a6a726d28055f806f96b61095be2406b126,cf98ce7d6ff4cf0857960678be4505f406f2df5300714e4108ab67da03d9d5b8,dc4459cfb181ae671dbf65b34696362e5fb11c393cf132a2f46f4524a8e94567,cd9985da9b67293ed06cce87338b0ad4f0745e780c85e002313507a7ae106b9d,565c444ee92f011064e6f40e1bb888319c082b382a132dbbc68108c8e35e8300,426a7c6b380231787e45ddfd6d13d26331bff5af216fb34abf31b492e5945630,6b2f7e2e3803eab6b7cc7e0e5eb1bd988c574e7319a6a4d165584812b26b1631,b97bbbf2d21dfdb1e2ee52c140a0e3341184af29655f6a17f147ad096aee8625,b774a8ffb76c11c1b53ff44b64720f9cb733b69aec7767e7b9b0ae63d2032a48,b8ae707590641fc43b0c5517faaa812d6dfbbf603bfddfa7c53206dc865869d8,30f6821131ca9858bd08dba3e54d986fe1a77acaa11b309c80cdb89ca64ae645
"500","0","91002","0","0","0","8","0","0","0","0","0","1","1","0","0","0","10"
"50","0","91002","0","0","0","8","0","0","0","0","0","2","11","0","0","0","100"
"30","0","91002","0","0","0","8","0","0","0","0","0","3","101","0","0","0","200"
"10","0","91002","0","0","0","8","0","0","0","0","0","4","201","0","0","0","500"
"5","0","91002","0","0","0","8","0","0","0","0","0","5","501","0","0","0","1000"
"3","0","91002","0","0","0","8","0","0","0","0","0","6","1001","0","0","0","2000"
"2","0","91002","0","0","0","8","0","0","0","0","0","7","2001","0","0","0","4000"
"1","0","91002","0","0","0","8","0","0","0","0","0","8","4001","0","0","0","7999"
"30","0","91002","0","0","0","8","0","0","0","0","0","9","8000","0","0","0","8000"
"30","0","91002","0","0","0","8","0","0","0","0","0","10","8100","0","0","0","8100"
"30","0","91002","0","0","0","8","0","0","0","0","0","11","8200","0","0","0","8200"
"30","0","91002","0","0","0","8","0","0","0","0","0","12","8300","0","0","0","8300"
"30","0","91002","0","0","0","8","0","0","0","0","0","13","8400","0","0","0","8400"
"30","0","91002","0","0","0","8","0","0","0","0","0","14","8500","0","0","0","8500"
"30","0","91002","0","0","0","8","0","0","0","0","0","15","8600","0","0","0","8600"
"30","0","91002","0","0","0","8","0","0","0","0","0","16","8700","0","0","0","8700"
"30","0","91002","0","0","0","8","0","0","0","0","0","17","8800","0","0","0","8800"
"30","0","91002","0","0","0","8","0","0","0","0","0","18","8900","0","0","0","8900"
"30","0","91002","0","0","0","8","0","0","0","0","0","19","9000","0","0","0","9000"
