a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111
"1","1","1.8","omp_talk_worry","1","-140","112511","0","1500","-190","1010001"
"1","1","1.8","omp_idle_normal","1","140","112411","1","1500","-190","1010002"
"1","1","1","","31","0","1","","0","1","1010003"
"1","1","","","93","","","","","","1010004"
"vo_omp_7001","1","","","21","0","vo_omp_7001_000","","0","","1010005"
"112511","1","","","11","1","ウヅキ、大丈夫？\n夜営続きで疲れてない？","","10","1","1010006"
"0","1","","","91","","","","","","1010007"
"112511","1","0","","3","","omp_idle_worry","","1","","1010008"
"112411","1","0","","3","","omp_talk_joy1","","1","","1010009"
"vo_omp_7001","1","","","21","0","vo_omp_7001_001","","0","","1010010"
"112411","1","","","11","1","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","","10","1","1010011"
"0","1","","","91","","","","","","1010012"
"112411","1","0","","3","","omp_psn_20","","1","","1010013"
"112511","1","0","","3","","omp_talk_normal","","1","","1010014"
"vo_omp_7001","1","","","21","0","vo_omp_7001_002","","0","","1010015"
"112511","1","","","11","1","そっか\nウヅキはどんなときも楽しそうだよね","","10","1","1010016"
"0","1","","","91","","","","","","1010017"
"112511","1","0","","3","","omp_idle_normal","","1","","1010018"
"112411","1","0","","3","","omp_talk_sad","","1","","1010019"
"vo_omp_7001","1","","","21","0","vo_omp_7001_003","","0","","1010020"
"112411","1","","","11","1","もしかして…\nリンちゃんは楽しくないですか？","","10","1","1010021"
"0","1","","","91","","","","","","1010022"
"112411","1","0","","3","","omp_idle_sad","","1","","1010023"
"112511","1","0","","3","omp_idle_surprise1","omp_surprise","0.1","0","1","1010024"
"vo_omp_7001","1","","","21","0","vo_omp_7001_004","","0","","1010025"
"112511","1","","","11","1","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","","10","1","1010026"
"2.5","1","","","93","","1","","","","1010027"
"112511","1","0.2","","3","","omp_talk_normal","","1","","1010028"
"1010026","1","","","91","","","","","","1010029"
"112511","1","0","","3","","omp_idle_normal","","1","","1010030"
"112411","1","0","","3","","omp_talk_joy2","","1","","1010031"
"vo_omp_7001","1","","","21","0","vo_omp_7001_005","","0","","1010032"
"112411","1","","","11","1","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","","10","1","1010033"
"0","1","","","91","","","","","","1010034"
"112511","1","","","4","","0","","1","","1010035"
"112411","1","0","","3","","omp_psn_20","","1","","1010036"
"112511","1","0","","3","","omp_idle_normal","","1","","1010037"
"vo_omp_7001","1","","","21","0","vo_omp_7001_006","","0","","1010038"
"112511","1","","","11","1","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","","10","1","1010039"
"0","1","","","91","","","","","","1010040"
"0.4","1","","","93","","","","","","1010041"
"1","2","1.8","omp_idle_normal","1","-180","112511","0","1600","-195","1020001"
"1","2","1.8","omp_talk_normal","1","20","112411","1","1500","-190","1020002"
"1","2","1.8","omp_idle_normal","1","220","112611","1","1600","-205","1020003"
"1","2","1","","31","0","1","","0","1","1020004"
"1","2","","","93","","","","","","1020005"
"vo_omp_7002","2","","","21","0","vo_omp_7002_000","","0","","1020006"
"112411","2","","","11","1","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","","10","1","1020007"
"0","2","","","91","","","","","","1020008"
"112411","2","","","4","","0","","","","1020009"
"112411","2","0","","3","","omp_idle_normal","","1","","1020010"
"112611","2","0","","3","","omp_talk_joy1","","1","","1020011"
"vo_omp_7002","2","","","21","0","vo_omp_7002_001","","0","","1020012"
"112611","2","","","11","1","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","","10","1","1020013"
"0","2","","","91","","","","","","1020014"
"112611","2","0","","3","","omp_idle_joy1","","1","","1020015"
"112411","2","0","","3","","omp_talk_surprise1","","1","","1020016"
"vo_omp_7002","2","","","21","0","vo_omp_7002_002","","0","","1020017"
"112411","2","","","11","1","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","","10","1","1020018"
"0","2","","","91","","","","","","1020019"
"112411","2","","","4","","1","","","","1020020"
"112411","2","0","","3","","omp_idle_surprise1","","1","","1020021"
"112511","2","0","","3","","omp_talk_normal","","1","","1020022"
"vo_omp_7002","2","","","21","0","vo_omp_7002_003","","0","","1020023"
"112511","2","","","11","1","全然想像できない味だったね\nいい意味で","","10","1","1020024"
"0","2","","","91","","","","","","1020025"
"112511","2","0","","3","","omp_talk_sad","","1","","1020026"
"vo_omp_7002","2","","","21","0","vo_omp_7002_004","","0","","1020027"
"112511","2","","","11","1","でも魔物が調理されてるところは\nまあ、何て言うか…","","10","1","1020028"
"0","2","","","91","","","","","","1020029"
"112511","2","0","","3","","omp_idle_sad","","1","","1020030"
"112411","2","0","","3","","omp_talk_bitter","","1","","1020031"
"vo_omp_7002","2","","","21","0","vo_omp_7002_005","","0","","1020032"
"112411","2","","","11","1","…す、すごかったですよね","","10","1","1020033"
"0","2","","","91","","","","","","1020034"
"112411","2","0","","3","","omp_idle_bitter","","1","","1020035"
"112611","2","0","","3","","omp_talk_joy1","","1","","1020036"
"vo_omp_7002","2","","","21","0","vo_omp_7002_006","","0","","1020037"
"112611","2","","","11","1","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","","10","1","1020038"
"0","2","","","91","","","","","","1020039"
"112611","2","0","","3","","omp_idle_joy1","","1","","1020040"
"112511","2","0","","3","","omp_talk_bitter","","1","","1020041"
"vo_omp_7002","2","","","21","0","vo_omp_7002_007","","0","","1020042"
"112511","2","","","11","1","冒険って、奥が深いね…","","10","1","1020043"
"0","2","","","91","","","","","","1020044"
"0.4","2","","","93","","","","","","1020045"
"1","3","1.8","omp_talk_joy1","1","-140","112411","0","1500","-190","1030001"
"1","3","1.8","omp_idle_normal","1","140","112611","1","1500","-190","1030002"
"1","3","1","","31","0","1","","0","1","1030003"
"1","3","","","93","","","","","","1030004"
"vo_omp_7003","3","","","21","0","vo_omp_7003_000","","0","","1030005"
"112411","3","","","11","1","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","","10","1","1030006"
"0","3","","","91","","","","","","1030007"
"112411","3","0","","3","","omp_psn_20","","1","","1030008"
"112611","3","0","","3","","omp_psn_19","","1","","1030009"
"vo_omp_7003","3","","","21","0","vo_omp_7003_001","","0","","1030010"
"112611","3","","","11","1","た、楽しいかな～？","","10","1","1030011"
"0","3","","","91","","","","","","1030012"
"112611","3","0","","3","","omp_psn_18","","1","","1030013"
"112411","3","0","","3","","omp_talk_joy1","","1","","1030014"
"vo_omp_7003","3","","","21","0","vo_omp_7003_002","","0","","1030015"
"112411","3","","","11","1","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","","10","1","1030016"
"0","3","","","91","","","","","","1030017"
"112411","3","0","","3","","omp_psn_20","","1","","1030018"
"112611","3","0","","3","","omp_talk_joy1","","1","","1030019"
"vo_omp_7003","3","","","21","0","vo_omp_7003_003","","0","","1030020"
"112611","3","","","11","1","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","","10","1","1030021"
"1.5","3","","","93","","1","","","","1030022"
"112611","3","0.2","","3","","omp_psn_19","","1","","1030023"
"1030021","3","","","91","","","","","","1030024"
"112611","3","0","","3","","omp_psn_18","","1","","1030025"
"112411","3","0","","3","","omp_talk_joy1","","1","","1030026"
"vo_omp_7003","3","","","21","0","vo_omp_7003_004","","0","","1030027"
"112411","3","","","11","1","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","","10","1","1030028"
"0","3","","","91","","","","","","1030029"
"112411","3","0","","3","","omp_psn_20","","1","","1030030"
"112611","3","0","","3","","omp_psn_19","","1","","1030031"
"vo_omp_7003","3","","","21","0","vo_omp_7003_005","","0","","1030032"
"112611","3","","","11","1","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","","10","1","1030033"
"0","3","","","91","","","","","","1030034"
"112611","3","0","","3","","omp_psn_18","","1","","1030035"
"112411","3","0","","3","","omp_talk_joy2","","1","","1030036"
"vo_omp_7003","3","","","21","0","vo_omp_7003_006","","0","","1030037"
"112411","3","","","11","1","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","","10","1","1030038"
"0","3","","","91","","","","","","1030039"
"112411","3","0","","3","","omp_psn_20","","1","","1030040"
"112611","3","0","","3","","omp_talk_sad","","1","","1030041"
"vo_omp_7003","3","","","21","0","vo_omp_7003_007","","0","","1030042"
