88cba045137d4c67298a38fc2ae83b0b02faf3cd9125880f74b3d99c6312c42f,74f959d585bf2a27225a998fc05b8f1a1696a79b00b9520fd019677c6ad8e66f,086bb360a7ee93618b77b2326557f3ce07c3f9acdba94d9241a59400f0df15e2,1f496ca399e29e9353c6d433fdcd1d91117b720c45ab1a4d8fae06fa6e52b019,6aa4763d5a28facd9f754184d349b92804601528f06ee32eed26558cfda27e25,47069704ec31b550ade940db1b31223dd4c8a3a8c973ab0ad9bc0e64590fb130,f8a5336747ff1f055562a6136a0e416d8b98cc4e8a90f33187e72b58336b4557
"1","1","3","2","105","105","105"
"2","1","3","2","105","120","120"
"3","1","3","2","100","120","100"
"4","1","3","2","105","120","120"
"5","1","3","2","105","120","105"
"6","1","3","2","100","105","100"
"7","1","3","2","120","105","100"
"8","1","3","2","100","105","100"
"9","1","3","2","105","120","120"
"10","1","3","2","120","105","100"
"11","1","3","2","100","100","105"
"12","1","3","2","105","120","120"
"13","1","3","2","105","105","105"
"14","1","3","2","105","105","120"
"15","1","3","2","120","120","120"
"16","1","3","2","100","100","100"
"17","1","3","2","120","120","105"
"18","1","3","2","120","105","120"
"19","1","3","2","105","100","105"
"20","1","3","2","100","105","105"
"21","1","3","2","100","100","105"
"22","1","3","2","120","120","120"
"23","1","3","2","105","100","100"
"24","1","3","2","120","120","120"
"25","1","3","2","105","120","105"
"26","1","3","2","100","100","100"
"27","1","3","2","100","100","100"
"28","1","3","2","100","100","100"
"29","1","3","2","120","120","120"
"30","1","3","2","105","105","120"
