b578f0fd06b9b78ce6e0e8a7f6211f07487211addeaa62e9611f377692399dd8,b55380b2c7e7465a240897669b3fb3ef29218ae475f79b9bae4ee5712ce99faf,e13dfbd3b095421330d2628ed6645531663a0166c558628d055f952ac05ed9a6,e29193c0b7227524932f6bf1bfa6523c00d9eb1831d3fe61670416b1be543c17,b348b873c560d558139fd9656f0bd526bdff3ed9800feb94ec3faa4deb28c822,bb9a411a1d1576372d74999ee7a9b994b9357e5a3f23ccf63d7c85588453d34a,44a7262f9f2ea49f20dd07b3a25865c8d31118d9ddbbda84d3c76780d5744c71,81a564678a4bdb738bec69180645f432a6eaf053c392c89965dbd7c72c04cc46
"71","1","-401","170","1","1","-90","182"
"81","1","-401","170","2","2","-90","182"
"121","1","-255","255","3","3","90","182"
"131","1","-255","255","4","4","90","182"
"141","1","-255","255","5","5","90","182"
"191","1","-107","229","6","6","-80","176"
"201","1","-107","229","7","7","-80","176"
"271","1","136","218","8","8","-85","151"
"281","1","136","218","9","9","-85","151"
"291","1","136","218","10","10","-85","151"
"331","1","280","156","11","11","80","219"
"341","1","280","156","12","12","80","219"
"351","1","280","156","13","13","80","219"
"401","1","417","213","14","14","-97","183"
"411","1","417","213","15","15","-97","183"
"451","2","-259","242","1","2","-73","229"
"481","2","-222","226","2","4","124","179"
"501","2","-101","219","3","6","-67","192"
"521","2","-26","168","4","8","-27","190"
"551","2","117","192","5","11","-50","260"
"601","2","241","159","6","14","120","138"
"611","2","241","159","7","14","120","138"
"621","2","243","224","8","14","-71","229"
"781","3","-353","71","1","1","32","43"
"801","3","-228","235","2","2","-30","268"
"831","3","-243","80","3","3","144","45"
"851","3","20","221","4","4","-76","225"
"861","3","230","211","5","5","-74","222"
"891","3","-100","115","6","6","44","136"
"901","3","-100","115","7","7","44","136"
"991","3","116","306","8","8","76","250"
"1001","3","116","306","9","9","76","250"
"1011","3","116","306","10","10","76","250"
"1041","3","322","96","11","11","40","188"
"1051","3","322","96","12","12","40","188"
"1091","4","-211","294","1","1","-6","272"
"1101","4","-288","92","2","2","129","115"
"1111","4","-288","92","3","3","129","115"
"1121","4","-58","135","4","4","128","174"
"1151","4","143","222","5","5","133","184"
"1161","4","-277","134","6","6","-129","98"
"1171","4","-277","134","7","7","-129","98"
"1211","4","-60","67","8","8","-12","70"
"1221","4","-60","67","9","9","-12","70"
"1231","4","116","132","10","10","-55","185"
"1261","4","-17","93","11","11","-103","89"
"1271","4","-17","93","12","12","-103","89"
"1311","4","232","150","13","13","23","239"
"1391","5","-289","114","1","1","-161","72"
"1401","5","-289","114","2","2","-161","72"
"1411","5","-261","228","3","3","80","248"
"1431","5","-103","223","4","4","-91","211"
"1471","5","-87","186","5","5","95","181"
"1551","5","69","132","6","6","-122","176"
"1561","5","69","132","7","7","-122","176"
"1611","5","54","143","8","8","91","184"
"1641","5","204","211","9","9","45","247"
"1651","5","308","137","10","10","141","167"
"1661","5","282","175","11","11","-46","174"
"1741","6","-252","222","1","1","-11","240"
"1761","6","-19","311","2","2","-96","245"
"1771","6","-46","261","3","3","95","221"
"1781","6","152","166","4","4","83","237"
"1782","6","227","183","5","5","-100","229"
"1811","7","-249","223","1","1","-46","183"
"1881","7","-159","337","2","2","54","247"
"1921","7","30","202","3","3","-70","191"
"1941","7","173","176","4","4","0","215"
"1981","7","292","204","5","5","77","236"
"2001","8","-472","209","1","1","89","254"
"2031","8","-375","250","2","2","-77","282"
"2051","8","-280","241","3","3","110","223"
"2101","8","-148","243","4","4","-85","270"
