a197c4a0f1da3fbc3e73c99cdbed2b65fdedefb1b2e0b92f578ef5657f2e38b9,62b23aac179aeb5d93e8abdf824a9eb7abc1bd6d94b1c5485f8d594c96255a09,dac5cc0151c981bd9ff6bde643fcbe5905c8dd6c9444d3097bbaf2cd31a6208c,24baede0d67ba2945c4df14ce3300e1fd0332ba4f53350fbd8f256e260ef751e,356f906b4d4dfc31b013a8277213bb039345b4964d3cb61b6bd8068929a78a4e,7c458a1eaf3417a6d37dc9b3027206c342649906486afb267f2c945b71eca76d,5e6d1520ad094844b2881a0a7805ec0b01b598b15c7342bed8bdce7cf68defc9,20787f41580f4ee2da70e06502ec63214198984c5760df9494f125f339e990db,fb03091608672bbd0c1dcbf8b8ceb3dd95e6809b93736b7d1df746e1cd907f57,ba56d4fe348780e21ad091f019476b3e668d83f85aa6e7d2adcae387626455b8,5582b28fdd7298c772a9b58696fba65fac8e8774e6a7df98dfe0a781da4bdd7e,32f579cff3d0910ea26825aa4c64e77fec4d941c4b5eee20e53f63fb760db692,744c42b7ef3cf994fe2d9995776a1166adf82340a6855ef06a2f0cb832ea69fb,27bf08deec06bf6cb63bb9371c2bfd910fbafade18b2b03664552ae327c997f1,e0f1af3add3d703d631df9d41cf9ef96181e2c6085429a35c011bdc129b14811,eb9b48e25925f6d32dd7f892168d8fdf40bfa0c00dca0f67d8beef4ef201cb91,dcbb2147ae76d4ef0d52f45eed300d4152c8df6dfe745d570f712a269072bd73,e2946d76ee7173c98a6f4c1e2abe82a7493f16c5a0be21a3aa2d2e756743d617,4ba6df144bd974b9639807213ebe006b981af41e4deef8e388c9be12d1498d1e,cb5d116dd04b2a4513c25f0051dba420ce7150bf69f1ebcdf7496ded6db580c7
"1","1001201","1","1","3100104","2","90006","20","2","20003","5","0","0","0","0","0","0","0","0","0"
"2","1001201","2","3","3100103","2","90006","15","2","20003","4","0","0","0","0","0","0","0","0","0"
"3","1001201","4","10","3100102","2","90006","10","2","20003","3","0","0","0","0","0","0","0","0","0"
"4","1001201","11","30","3100101","2","90006","5","2","20003","1","0","0","0","0","0","0","0","0","0"
"5","1001202","1","1","3100104","2","90006","20","2","20003","5","0","0","0","0","0","0","0","0","0"
"6","1001202","2","3","3100103","2","90006","15","2","20003","4","0","0","0","0","0","0","0","0","0"
"7","1001202","4","10","3100102","2","90006","10","2","20003","3","0","0","0","0","0","0","0","0","0"
"8","1001202","11","30","3100101","2","90006","5","2","20003","1","0","0","0","0","0","0","0","0","0"
"9","1001203","1","1","3100104","2","90006","20","2","20003","5","0","0","0","0","0","0","0","0","0"
"10","1001203","2","3","3100103","2","90006","15","2","20003","4","0","0","0","0","0","0","0","0","0"
"11","1001203","4","10","3100102","2","90006","10","2","20003","3","0","0","0","0","0","0","0","0","0"
"12","1001203","11","30","3100101","2","90006","5","2","20003","1","0","0","0","0","0","0","0","0","0"
"13","1001204","1","1","3100104","2","90006","20","2","20003","5","0","0","0","0","0","0","0","0","0"
"14","1001204","2","3","3100103","2","90006","15","2","20003","4","0","0","0","0","0","0","0","0","0"
"15","1001204","4","10","3100102","2","90006","10","2","20003","3","0","0","0","0","0","0","0","0","0"
"16","1001204","11","30","3100101","2","90006","5","2","20003","1","0","0","0","0","0","0","0","0","0"
"17","1001205","1","1","3100104","2","90006","40","2","20003","10","0","0","0","0","0","0","0","0","0"
"18","1001205","2","3","3100103","2","90006","30","2","20003","8","0","0","0","0","0","0","0","0","0"
