01ef2226e004ce42267537bdc2342baca74b863b7a9db49c2b91f56b402c1ea7,ac3f1e988a0bafd6db29af08e066e63c71469d0735374d419a2349ec5d92c4b2,a12a8591b0dfe809d5a26c48371efedd75ae1371161f7cf8c6989bfd13c2bbfe
"1","美食殿","1"
"2","トゥインクルウィッシュ","1"
"3","ラビリンス","1"
"4","カルミナ","1"
"5","リトルリリカル","1"
"6","フォレスティエ","1"
"7","悪魔偽王国軍（ディアボロス）","1"
"8","王宮騎士団（NIGHTMARE）","1"
"9","サレンディア救護院","1"
"10","自警団（カォン）","1"
"11","牧場（エリザベスパーク）","1"
"12","メルクリウス財団","1"
"13","トワイライトキャラバン","1"
"14","ルーセント学院","1"
"15","ヴァイスフリューゲル ランドソル支部","1"
"16","聖テレサ女学院（なかよし部）","1"
"17","ドラゴンズネスト","1"
"18","レイジ・レギオン","1"
"19","リッチモンド商工会","1"
"20","アルターメイデン","1"
"21","ジオ・テオゴニア","1"
"22","ジオ・ゲヘナ","1"
"23","ジオ・ニヴルヘル","1"
"24","バンディ・シスターズ","1"
"25","アルケス錬金堂","1"
"26","？？？","1"
"31","美食殿","2"
"32","トゥインクルウィッシュ","2"
"33","ラビリンス","2"
"34","カルミナ","2"
"35","リトルリリカル","2"
"36","フォレスティエ","2"
"37","悪魔偽王国軍（ディアボロス）","2"
"38","王宮騎士団（NIGHTMARE）","2"
"39","サレンディア救護院","2"
"40","自警団（カォン）","2"
"41","牧場（エリザベスパーク）","2"
"42","メルクリウス財団","2"
"43","トワイライトキャラバン","2"
"44","ルーセント学院","2"
"45","ヴァイスフリューゲル ランドソル支部","2"
"46","聖テレサ女学院（なかよし部）","2"
"47","ドラゴンズネスト","2"
"48","レイジ・レギオン","2"
"49","リッチモンド商工会","2"
"50","アルターメイデン","2"
"51","ジオ・テオゴニア","2"
"52","ジオ・ゲヘナ","2"
"53","ジオ・ニヴルヘル","2"
"54","バンディ・シスターズ","2"
"55","アルケス錬金堂","2"
"56","？？？","2"
"57","ティア","2"
"58","選ばない","2"
