12e6279ffed2209909f92e16f29bc4cfb483c71bfbce07d1fc2881d42dd257f3,e05c4998217dff5e4a4be2fe1b16fd60c26015bf4d8f55b2f2e363b1579661a2,e53a9a64175c95ee9e26720651c4ec54d1992eaa2b27236b7ef2c2cb3c545b3a,5a20f6ad838cabe497dcff30ea47740ec8150015ab7f037dddbc7958691137d8,a66fe4d389649ae5c61ac061627765b13dfe73a86f2b9928244de9d12fe87801,023dd2a27b75ca8e4ef0384f2da348c0b63f23f143733117333925405a0fcf9c,ce15e8dbf3f73fcbff36e25b618df649b196719b8ed29663c919fded22167606
"1","キャラクターソング\n\n時間 / 01:33\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","bgm_M152","01:33","00:58","bgm_M152","Lost Princess"
"2","キャラクターソング\n\n時間 / 01:56\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹（F.M.F）","bgm_M153","01:56","01:01","bgm_M153","Connecting Happy！！"
"3","メインクエスト\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","bgm_M61","01:48","00:00","bgm_M61_juke","旅の始まり"
"4","メインクエスト\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","bgm_M62","01:35","00:00","bgm_M62_juke","森を駆ける風"
"5","クランバトル\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M90","01:18","00:00","bgm_M90_juke","メサルティム"
"6","ストーリーイベントテーマ\n-｢Smiley Contrast｣アレンジ-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","bgm_M32","01:02","00:00","bgm_M32_juke","ハツネのプレゼント大作戦"
"7","ストーリーイベントボスバトル\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M47","02:34","00:00","bgm_M47_juke","ジズ"
"8","キャラクターソング\n\n時間 / 01:40\n歌　 / ハツネ（大橋彩香）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M149","01:40","00:57","bgm_M149","Smiley Contrast"
"9","クランバトル\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M97","00:59","00:00","bgm_M97_juke","ミノタウロス"
"10","ストーリーイベントテーマ\n-｢リトルアドベンチャー｣アレンジ-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","bgm_M98","01:00","00:00","bgm_M98_juke","リトル・リリカル・アドベンチャーズ"
"11","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M102","02:31","00:00","bgm_M102_juke","アルマ"
"12","キャラクターソング\n\n時間 / 01:22\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","bgm_M145","01:22","00:45","bgm_M145","リトルアドベンチャー"
"13","クランバトル\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","bgm_M139","01:07","00:00","bgm_M139_juke","グラットン"
"14","ストーリーイベントテーマ\n-｢もっと！ふたりのパ～ティ～ナイト｣アレンジ-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","bgm_M135","01:01","00:00","bgm_M135_juke","トリックオアプリン！約束のハロウィンパーティー"
"15","ストーリーイベントボスバトル\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M138","02:26","00:00","bgm_M138_juke","ジャック・オー・プリン"
"16","キャラクターソング\n\n時間 / 01:21\n歌　 / シノブ（大坪由佳）\n　　　ミヤコ（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","bgm_M161","01:21","00:46","bgm_M161","もっと！ふたりのパ～ティ～ナイト"
"17","メインクエスト\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M140","01:31","00:00","bgm_M140_juke","耀う氷の結晶"
"18","キャラクターソング\n\n時間 / 02:01\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","bgm_M150","02:01","01:00","bgm_M150","Shining Future"
"19","キャラクターソング\n\n時間 / 01:31\n歌　 / チカ（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰","bgm_M143","01:31","00:37","bgm_M143","風への誓い"
