abfada9908dd7dfca4cee66d7c8a3256e94e950658a63dfbd96b82cd073cdf30,159ff537829cce1e5834ec2b1d798757879aeffe59be5b29eb4992b67f731220,9fd2b462f5e5e6422dc19377af52c5620a8211fd385f6a00b0e1bceaa721009c,03cf17016a39385a297ce113c68f08f6b6718a79e90434f358a548fd765ab876,04e419c04e0664e44791e87a6d3ac1f75691f16257033d055f4247d7f20a3b79,a3a9645d7286498cb96cc47b53575c0adf98c7532e985f1bffec814956db3231,36edf6c3db0281ff7f46b406fb889dc0c61e3c79fee925425d43d240e0abb7a9,4391a07e8898c8a75443ca3147223bae699f738ce8bcae1428304036194288df,839e39b445c84c8c0b71a6fa175b8bcccd09d764d1baf78b7e0c513df8cde0aa,e0b33f623a58b7efaf8360440d378c447c3f26da4bcdbefbc4d8185ccfa67e7d,8b228e6e3afadc36b17188c1c71aeea3efd4afc858d3f4e53df926c3fe340953,5307080361b944cff0b1cc33027b49f9b345058ddca884b0de148632c1233a5b,78512eff1afbd0e773449242172982c060094c7b230c96880064ce582203890d,93106437cbcf13edbabd42368f0b5f8c20b3b9a4c79b75e85df490419de6a43b,706ecf425439ae32daeef61db4e15fbe1eced5a26624d10dc9c2405394b10b6b,fee580fbd2f835eba26822d884ee2461c1652dfc7404d0134b2e1ed00da5938c
"215","2","980","455","1008201","201","3","-110","70","2","401","501","1","1","101","301"
"215","2","515","230","1008202","202","3","-110","70","2","402","502","1","2","102","302"
"215","2","515","230","1008203","203","3","-110","70","1","403","503","1","3","103","303"
"215","2","515","230","1008204","204","3","-110","70","1","404","504","1","4","104","304"
"233","2","787","355","1008205","205","3","-110","78","2","405","505","1","5","105","305"
"233","2","787","355","1008206","206","3","-110","78","3","406","506","1","6","106","306"
"233","2","777","345","1008207","207","3","-110","88","3","407","507","1","7","107","307"
"233","2","777","345","1008208","208","3","-110","88","1","408","508","1","8","108","308"
"233","2","777","345","1008209","209","3","-110","88","1","409","509","1","9","109","309"
"233","2","810","355","1008210","210","3","-110","88","3","410","510","1","10","110","310"
"233","2","777","345","1008211","211","3","-110","88","2","411","511","1","11","111","311"
"215","2","515","230","1008212","212","3","-110","70","2","412","512","1","12","112","312"
"233","2","810","355","1008213","213","3","-110","78","1","413","513","1","13","113","313"
"215","2","515","230","1008214","214","3","-110","70","1","414","514","1","14","114","314"
"215","2","515","230","1008215","215","3","-110","70","3","415","515","1","15","115","315"
"215","2","655","275","1008216","216","3","-110","70","2","416","516","1","16","116","316"
"215","2","515","230","1008217","217","3","-110","70","3","417","517","1","17","117","317"
"233","2","777","345","1008218","218","3","-110","88","3","418","518","1","18","118","318"
