6ff395917749e21488cf2e61dada554d976fc8f5db98867a598139d6f082e22c,3530ac2302685fa74ebf124b3f028030b5a6d0a5cb00f454175fd7886b07860b,4d2eb99151da9dde0c921348e343a5ae2594a7390116dbf62b559776952c7784,281b9258c7dc62b69814797766994501a8ec7eb02ba084f1cbdafce60f7f7195,f94299e6d389d56eb4c6594b9b257a0d2d256a4b8c2389b2c5edacd2a63a657a,6cc2aa5448f034028d52201551c48e0df8a187c3614e2ac19e96d52977703249,8df971cd8435276a0e272e2a775787ab908cf7835144e76a891f280460245ebc,e7a1c90c2b85dfb224057479ac03dadbd7d225268fb486b10ca83bed8862ca24,1f2c082fcad949befcf67733cdf076bec3482faedc79e9849b2f4e3db2517b02,72afdc0bb388beedead14b1511d4636c41e25e3327818f4c606997081b3aae09,4e005f2c004dba7a5b8d20b3bb650956d973bc5d05f5a2f0df1a9937748bc18e,c82e353ba9f1488477db842bb198e897d2856d031cbe5327e8dcc720240085df,368206db2a72aac963abe0628e015e3faa9be2ede2b59f88dd93ce486a4619bd,22ad194424769148039601bc1d0d9bc2200950d46df945ead170eeaf54fb1d46,122e9020751bbcd3f0115baf549ea10355cbd1bd86d9eb48d734fff57a8ed09c,44c5573ccc7bc23ba6c7af8a6a1eb4480fce72ccf53086b0ce02bc5f3a8a4ebe,dd18420ad3c1224f660b869969de9a52171d80c60849d223ed1d9ef580d4413f,a988c9908f2b5b02d6d5d41ffb568e2e9b24212e692566d70dd609c5945a2e76,3288bf62435481be9f731fff01f7d5d728fefacf6fc8b2ca86dc196640783331,5c87532f79f951a1fcae408233452824f8e888d03f9d67c9a5334889004a7037,c3a7a5819de94c1bcf1ea119fcfb09fdb48ce22f70dcd88053c3568847f9e7af,6300f93e8585bdbb5f37f29a745d40ceaabdf3e7d4eb4055efaf81a9bd33c098,114851e49ffc2198d2acdfdc214a039cc65d3c00fe822b471985d8f471ca4e45,5bc48e3168b30450708135745802a06f50658e95468e59670763956174471a12,79099ba8894c662d9f83c6bc471aa46b8b033798ff18e04b7aa16d87241b8ecb,805bc65a953a3a2cad75eb80d68962b92029e6c755f4d8e6a58b833a428a3d25,4b9605753954808e6dfd760a61e2c66939d96ee3be9f7c51b5f2579633f02398,b1ca992e48a26afa8a163f8a3795ea92ef6a0aae53b345bfd782ccfc3beca336,b4c0b2a70e0c7ceeb185a736894a235a0f599b1f2bd1687cbac1481f36767890,e0ec9d84d94fe1a6e1bfeb0f79924f6a603ce3f7694b58b4e6ab3ae1c40e3628,14bdbea16b76ebeb20bdb1b7d7d1668b690d59d67316f8f1d0ce25c974686fc0,d42f6ab43f04b8ceb4ade97bd20d614a1bf010e7a60bb9bae4a6e6d24f8a855b,8656b42bb8f0396d61ec07e48f85a87333f6251d9ebefaf0f4bfb0fc3d0e0c1d,39ac890921797dac2da75ec9bc434728a7e911280942b78fac02b88f057b2c57
"1060","1075","1805","1376","1383","1059","1118","0","1806","1155","0","美食殿","1279","1211","1253","0","1272","0","1391","0","0","1119","1120","1804","0","1058","1076","0","0","1","1210","1078","1058","特別な飲食店に入店するため、ペコリーヌが結成したギルド。主な目的は食べ歩き。"
"1003","1087","1156","0","1364","1002","1801","0","1224","1226","0","トゥインクルウィッシュ","1357","1287","1289","0","1288","0","0","0","0","1802","1803","1140","0","1001","1088","0","0","2","1225","1089","1001","ヒヨリがギルドマスターとなり、人助けを中心に活動しているギルド。本当の目的は、同じ夢を見てきた３人がともに願う「ソルの塔の頂上への到達」。"
"1011","1091","1337","0","0","1049","1193","0","1365","1379","0","ラビリンス","0","0","0","0","0","0","0","0","0","1212","1200","1811","0","1068","1129","0","0","3","0","1171","1068","謎の人物・ラビリスタが結成した、世界の謎を探究するギルド。クレープ屋を経営し、表向きは平凡なギルドを装う。いわば秘密結社。"
"1054","1116","1322","0","0","1042","1172","0","1344","1348","0","カルミナ","0","0","0","0","0","0","0","0","0","1173","1174","1248","0","1029","1084","0","0","4","0","1139","1029","ソロアイドルだったノゾミが結成した、歌って踊って（日々の悲しい気持ちと）戦うアイドルギルド。ライブなどの興行が主な活動内容。"
"1036","1113","1307","0","0","1004","1808","0","1390","0","0","リトルリリカル","0","0","0","0","0","0","0","0","0","1229","1228","1227","0","1020","1112","0","0","5","0","1111","1020","仲良し３人組による、実は非公認のギルド。ギルドごっこをしながらただ遊ぶことが目的。"
"1040","1107","1284","0","0","1012","1167","0","1346","0","0","フォレスティエ","0","0","0","0","0","0","0","0","0","1221","1807","1246","0","1015","1135","0","0","6","0","1134","1015","エルフ族の森を管理、守護する歴史の長いギルド。エルフの森でしか採れない薬草などの管理や、森のガイドをしている。"
"1006","1031","1199","0","0","1022","1082","0","1137","1138","0","悪魔偽王国軍（ディアボロス）","0","1220","1262","0","1271","0","0","0","0","1117","1241","1240","0","1044","1007","0","0","7","1209","1081","1044","イリヤが魔族の少女たちと結成したギルド。その名はかつてイリヤが率い、神々を相手に闘争を繰り広げた、魔族の最強軍と同じである。"
"1037","1005","1238","0","0","1071","1136","0","1239","1339","0","王宮騎士団（NIGHTMARE）","0","0","0","0","0","0","0","0","0","1236","1141","1143","0","1047","1242","0","0","8","0","1115","1047","ランドソルの国軍であり、活動目的は「王宮」や王族の護衛、および勅命を受けての任務達成。街の治安を守る警察組織としての側面も強い。"
"1023","1021","1121","0","0","1025","1145","0","1213","1809","0","サレンディア救護院","0","1275","1308","0","0","0","0","0","0","1085","1086","1335","0","1028","1103","0","0","9","1232","1077","1028","孤児院であるが、手広く商売なども行っている。王宮の警護という毎日に価値を見いだせずにいたサレンが、人の役に立つことをしたいと思い結成した。"
"1014","1017","1159","0","0","1043","1157","0","1177","1231","0","自警団（カォン）","0","1298","1310","0","1374","0","0","0","0","1105","1122","1160","0","1010","1106","0","0","10","1285","1104","1010","魔物たちの脅威から、同じ【動物苑】の仲間を守る武闘派ギルド。「シャドウ」などの、異変の調査や解決もする。【王宮騎士団】とは犬猿の仲。"
"1038","1026","1192","0","0","1052","1254","0","1235","1388","0","牧場（エリザベスパーク）","0","0","0","0","0","0","0","0","0","1127","1158","1807","0","1033","1123","0","0","11","0","1128","1033","山の上の牧場ギルド。活動内容はいわゆる牧場で、牛や馬などを飼育している。獣人たちが休暇を過ごすピクニック場や病人の静養地でもある。"
"1034","1046","1168","0","0","1048","1268","0","1169","1222","0","メルクリウス財団","0","1251","0","0","0","0","0","0","0","1079","1144","1146","0","1032","1267","0","0","12","1809","1080","1032","莫大な資金を元手に、さまざまな事業への融資や買収を行っているギルド。悪どい稼ぎ方をしている商売人たちをこらしめるのが、裏の活動目的。"
"1027","1013","1175","0","0","1051","1131","0","1208","1247","0","トワイライトキャラバン","0","1237","1276","0","1299","0","0","0","0","1170","1133","1132","0","1056","1009","0","0","13","1219","1090","1056","とある目的の元に結成された、危険な依頼も請け負う何でも屋ギルド。ほとんどのメンバーが二つ名を持つ、ランドソルで最も危険なギルドとのうわさも。"
"1016","1083","1329","0","0","1050","1101","0","0","0","0","ルーセント学院","0","0","0","0","0","0","0","0","0","1190","1214","1273","0","1018","1179","0","0","14","0","1100","1018","ランドソルに存在する学舎の一つ。ギルド管理協会が運営する公立の教育機関。共学で、通学している生徒の年齢、種族、学力もさまざま。"
"1030","1045","1178","0","0","1008","1096","0","1191","1215","0","ヴァイスフリューゲル　ランドソル支部","1332","1263","1371","0","1270","0","0","0","0","1095","1130","1142","0","1053","1055","0","0","15","1252","1176","1053","モニカをギルドマスターとして結成されたギルド。いつも間の抜けた行動で、ピンチを呼び込んではメンバー自らが華麗に解決している。"
"1109","1164","0","0","0","1108","1293","0","0","0","0","聖テレサ女学院（なかよし部）","0","0","0","0","0","0","0","0","0","1294","1295","0","0","1110","1162","0","0","16","0","1163","1110","奨学金審査に通過することを目的として、その達成条件である「親和性の高い共同体」をアピールするためノリで結成された、新感覚の部活風ギルド。"
"1066","1166","0","0","0","1065","1245","0","0","0","0","ドラゴンズネスト","0","0","0","0","0","0","0","0","0","1249","1283","1318","0","1067","1165","0","0","17","0","1216","1067","希少な種族、ドラゴン族の発見と保護を目的に結成。各地の探索などを行なっているが、裏ではギャングとつながっているという黒い噂も絶えないギルド。"
"1400","0","0","0","0","1280","0","0","0","0","0","リッチモンド商工会","0","0","0","0","0","0","0","0","0","0","0","0","0","1180","0","0","0","18","0","0","1180",""
"1233","1269","0","0","0","1182","1343","0","0","0","0","レイジ・レギオン","0","0","0","0","0","0","0","0","0","1363","0","0","0","1181","1312","0","0","19","0","1311","1923",""
"1261","1316","0","0","0","1260","1395","0","0","0","0","アルターメイデン","0","0","0","0","0","0","0","0","0","1396","1397","0","0","1258","1353","0","0","20","0","1352","1258",""
"1302","1387","0","0","0","1301","0","0","0","0","0","バンディ・シスターズ","0","0","0","0","0","0","0","0","0","0","0","0","0","1300","0","0","0","21","0","0","1300",""
"1325","1399","0","0","0","1324","0","0","0","0","0","アルケス錬金堂","0","0","0","0","0","0","0","0","0","0","0","0","0","1323","0","0","0","22","0","0","1323","禁断の秘薬を完成させるため奮闘する錬金術ギルド。妄想爆発な天才錬金術師ルイズマリー。クワガタ推しの美女剣士イロハ。怠惰な子ども店長ソノの３人組。"
"1126","0","0","0","0","1125","0","0","0","0","0","ニュージェネレーションズ","0","0","0","0","0","0","0","0","0","0","0","0","0","1124","0","0","0","100","0","0","1124",""
"0","0","0","0","0","0","0","0","0","0","0","フォレスティエ、牧場（エリザベスパーク）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","0","0","0",""
"0","0","0","0","0","0","0","0","0","0","0","メルクリウス財団、サレンディア救護院","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","501","0","0","0",""
