18f357c27d9832c092e8bc7ebc3d51ca2ca6513aaefbb39e491867d6d34dd450,a74ba2bc657dbccc4644ead9c18d2e9c8f8043beecdc708a8044af0ef0d61674,43af32cb1245c822549895d8faa506d4745e84d18f52a2b8e10b46ad25ac93b9,ab0e94eb4f798ba31315fa03711f03f5e194999c601e4d7e09ec79d24c254e19,8fa29c3a3bcf1b52401b1d55919a80ddc54404b14bb70241c1abd7d18ed7db19,400294b9d4e767d3661961a5e9764b87481892727433564dab75044a82331555,fd927df8d978d4cee9fbe59c872b741bf4ef9722905d0446d681dc2ad145937d
"[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","10004","1","107601","BOSS討伐で解放！\n残り{0}体","71004025"
"[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","10005","2","108001","BOSS討伐で解放！\n残り{0}体","71005025"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10007","3","108201","ボスNORMAL討伐で解放！","71007031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10009","4","108501","ボスNORMAL討伐で解放！","71009031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10010","5","108901","ボスNORMAL討伐で解放！","71010031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10011","6","109001","ボスNORMAL討伐で解放！","71011031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10013","7","109301","ボスNORMAL討伐で解放！","71013031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10017","8","109801","ボスNORMAL討伐で解放！","71017031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10019","9","110101","ボスNORMAL討伐で解放！","71019031"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","10","107601","ボスNORMAL討伐で解放！","72004021"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10021","11","110501","ボスNORMAL討伐で解放！","71021035"
"[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20005","12","108001","ボスNORMAL討伐で解放！","72005021"
