0c36ebcdb4c35410a6477e1d7c3b8a7a8eb96422a1a2a76b1d0510e24930fef9,920b270803dee6f68f5ec5283e56bbdb22b388c940b2ecfeda3d2b49bd5b1cdd,17ba6eebfa62ed8ce5c42ef5c074b96db18953b3d2f67f05789f40235424a6ca,e1abc2d5249fdb4ccd647de1090cf0b918ef19a955565bcc5047b55bf211f074
"1000","1","1","170"
"3000","1","2","175"
"5000","1","3","180"
"7000","1","4","185"
"9000","1","5","190"
"11000","1","6","195"
"13000","1","7","200"
"15000","1","8","205"
"17000","1","9","210"
"19000","1","10","215"
"21000","1","11","220"
"23000","1","12","225"
"25000","1","13","230"
"27000","1","14","232"
"29000","1","15","234"
"31000","1","16","236"
"33000","1","17","238"
"35000","1","18","240"
"37000","1","19","242"
"39000","1","20","244"
"41000","1","21","246"
"43000","1","22","248"
"9999999","1","23","250"
"1000","2","24","170"
"3000","2","25","175"
"5000","2","26","180"
"7000","2","27","185"
"9000","2","28","190"
"11000","2","29","195"
"13000","2","30","200"
"15000","2","31","205"
"17000","2","32","210"
"19000","2","33","215"
"21000","2","34","220"
"23000","2","35","225"
"25000","2","36","230"
"27000","2","37","232"
"29000","2","38","234"
"31000","2","39","236"
"33000","2","40","238"
"35000","2","41","240"
"37000","2","42","242"
"39000","2","43","244"
"41000","2","44","246"
"43000","2","45","248"
"9999999","2","46","250"
"1000","3","47","170"
"3000","3","48","175"
"5000","3","49","180"
"7000","3","50","185"
"9000","3","51","190"
"11000","3","52","195"
"13000","3","53","200"
"15000","3","54","205"
"17000","3","55","210"
"19000","3","56","215"
"21000","3","57","220"
"23000","3","58","225"
"25000","3","59","230"
"27000","3","60","232"
"29000","3","61","234"
"31000","3","62","236"
"33000","3","63","238"
"35000","3","64","240"
"37000","3","65","242"
"39000","3","66","244"
"41000","3","67","246"
"43000","3","68","248"
"9999999","3","69","250"
