bb07a548edae971d9a9dc3a3a3e5997353a3d6a30d9315def7581a4a59f9718a,4c3a195c98b790250653e42e41ffcd0cd2664efd6d3d2b37d5179491a6ff0344,cd00e7f70a12b64780da13788d75bf9baeb1de81679216daaecf6093e725c021,6400417e5b1bca7f3694298c4c46f0fd0967e96432e1287f7bb465a0b7c52039,b24d7dbe515d8ee877456f324ab2f6e47fa5fbe9a2dc7c8dfd166d388cac663b,df52e01d61c271e0b13db76fcca8f37e19c8e76bd0aff5770caa257c11ead95b,9f592e9386e69df289b19894023fbf6d3d0345646062da4af7e3da5f0d77917d,7d46633cde7e3b19de7274a1c761416c28c3b75eb10fa79b317091eb35bdf1c8,e6ab22d82d010e0a01adcccb9e09279bc51be085cc467bdcd5f87146e080e23e,fd494160d5b4d462fb420efeb5473233f147a065b4e786d59f7405d4f64fb0aa,6b7c0e3fdae464c929e6eaa01b2b9413761b17d4ee916e2a510522c42cf7093c,558e0b22689c7bfe724142e119b46f98cd63203ff7ee2b215d15265f27f6f397,2b8340432ca7de8b507b1cce8997a2c510ce8aeb1fb5b78a340d9b650bc4d7c0,f3c04f0358caf97ba125cd1d37c330879f09292a1b1c564fb6fe68532c11904e,7051f27c2a218f2f0bcd883c41adaf9373eacaf314e6e0d18dfe4c58db41bafa
"90110001","90","701000101","1","0","0","1","bgm_M57","1","100113","bgm_M57","100113","0","110001","EASY"
"90110002","90","701000102","2","0","0","1","bgm_M57","1","100113","bgm_M57","100113","0","110001","NORMAL"
"90110003","90","701000103","3","0","0","1","bgm_M57","1","100113","bgm_M57","100113","0","110001","HARD"
"90110004","90","701000104","4","0","0","1","bgm_M57","1","100113","bgm_M57","100113","0","110001","VERY HARD"
"90110005","90","701000105","5","0","0","1","bgm_M57","1","100113","bgm_M57","100113","0","110001","EXTREME"
"90120001","90","701000201","1","0","0","1","bgm_M169","2","103013","bgm_M169","103013","0","120001","EASY"
"90120002","90","701000202","2","0","0","1","bgm_M169","2","103013","bgm_M169","103013","0","120001","NORMAL"
"90120003","90","701000203","3","0","0","1","bgm_M169","2","103013","bgm_M169","103013","0","120001","HARD"
"90120004","90","701000204","4","0","0","1","bgm_M169","2","103013","bgm_M169","103013","0","120001","VERY HARD"
"90120005","90","701000205","5","0","0","1","bgm_M169","2","103013","bgm_M169","103013","0","120001","EXTREME"
"90130001","90","701000301","1","0","0","1","bgm_M64","3","100113","bgm_M64","100113","0","130001","EASY"
"90130002","90","701000302","2","0","0","1","bgm_M64","3","100113","bgm_M64","100113","0","130001","NORMAL"
"90130003","90","701000303","3","0","0","1","bgm_M64","3","100113","bgm_M64","100113","0","130001","HARD"
"90130004","90","701000304","4","0","0","1","bgm_M64","3","100113","bgm_M64","100113","0","130001","VERY HARD"
"90130005","90","701000305","5","0","0","1","bgm_M64","3","100113","bgm_M64","100113","0","130001","EXTREME"
"90140001","90","701000401","1","0","0","1","bgm_M07","4","100113","bgm_M07","100113","0","140001","EASY"
"90140002","90","701000402","2","0","0","1","bgm_M07","4","100113","bgm_M07","100113","0","140001","NORMAL"
"90140003","90","701000403","3","0","0","1","bgm_M07","4","100113","bgm_M07","100113","0","140001","HARD"
"90140004","90","701000404","4","0","0","1","bgm_M07","4","100113","bgm_M07","100113","0","140001","VERY HARD"
"90140005","90","701000405","5","0","0","1","bgm_M07","4","100113","bgm_M07","100113","0","140001","EXTREME"
"90150001","90","701000501","1","0","0","1","bgm_M170","5","103013","bgm_M170","103013","0","150001","EASY"
"90150002","90","701000502","2","0","0","1","bgm_M170","5","103013","bgm_M170","103013","0","150001","NORMAL"
"90150003","90","701000503","3","0","0","1","bgm_M170","5","103013","bgm_M170","103013","0","150001","HARD"
"90150004","90","701000504","4","0","0","1","bgm_M170","5","103013","bgm_M170","103013","0","150001","VERY HARD"
"90150005","90","701000505","5","0","0","1","bgm_M170","5","103013","bgm_M170","103013","0","150001","EXTREME"
