eaa2e7abd8a6d27c4b3d4a8fc696fd221a950d51571bf5dea0270762d1a161fa,9e512455392f14874272458f6e38c85cd02e3db49e2f385da92fab51c641c865,c148195805fa4d33e1a81b53198f338a03653a4058e3d6718af447e8b8566f25,f60a75aab9ca6e56e7bdc10a174890cc6b0feb3d62ef2b77b442176ce9a7256a,03b02cf3a989ff5306f9a7975ee21ba657723e176272c6577779cb2ee36d32fa,fae55e91e2adc7f3a835ecec618870552b29fec36cc9d69522ba42299b141069,1013ef1f769452f7ed52dc53b8d813744fefa044ec9667d02028d9fd3b6b2d36,566a5c114469b1dcd07687f969588e923d464d5492aafa10521f99b8e806556f,3d42c25e63eb673ac01f2e963d0c83be40d363880d97c25e44bd02f1067f5300
"0","0","1101001","21","0","1101002","0","0","600"
"600","0","1101002","22","0","1101003","0","0","2400"
"-1500","50","1101003","20","0","1","0","0","1"
"0","0","1101011","21","0","1101012","0","0","900"
"700","0","1101012","22","0","1101013","0","0","2100"
"-1500","200","1101013","20","0","1","0","0","1"
"0","0","1101021","21","0","1101022","0","0","400"
"500","0","1101022","22","0","1101023","0","0","2000"
"-1500","350","1101023","20","0","1","0","0","1"
"0","0","1101031","21","0","1101032","0","0","1000"
"900","0","1101032","22","0","1101033","0","0","1800"
"-1500","500","1101033","20","0","1","0","0","1"
"0","0","1101041","21","0","1101042","0","0","500"
"800","0","1101042","22","0","1101043","0","0","1600"
"-1500","750","1101043","20","0","1","0","0","1"
"2","2","1101101","1","2","25","0","0","1"
"-2000","-100","1102001","20","0","1","0","0","1"
"2","10","1102101","1","2","20","0","0","1"
"0","0","1102102","10","2","200000","0","0","2"
"0","0","1103001","21","0","1103002","0","0","500"
"0","0","1103002","3","2","1000","0","0","0"
"3000","0","1202001","2","2","-15","0","0","3"
"30000","0","1204001","2","1","15","0","0","3"
"30000","0","1205001","2","1","10","0","0","3"
"30000","0","1206001","2","1","10","0","0","3"
"30000","0","1207001","2","1","10","0","0","3"
"3000","0","1208001","2","1","15","0","0","2"
"3000","0","1209001","2","1","25","0","0","1"
"3000","0","1210001","2","1","10","0","0","2"
"0","0","1210002","21","0","1210003","0","0","3000"
"30000","0","1210003","2","1","15","0","0","1"
"3000","0","1211001","2","1","-10","0","0","2"
"0","0","1211002","21","0","1211003","0","0","3000"
"30000","0","1211003","2","2","-15","0","0","1"
"30000","0","1213001","2","2","-10","0","0","1"
"30000","0","1213002","2","2","-10","0","0","2"
"1500","0","1214001","2","2","-25","0","0","3"
"3000","0","1216001","2","2","-20","0","0","3"
"30000","0","1218001","2","1","20","0","0","3"
"30000","0","1219001","2","1","15","0","0","3"
"30000","0","1220001","2","1","15","0","0","3"
"30000","0","1221001","2","1","15","0","0","3"
"3000","0","1222001","2","1","20","0","0","2"
"3000","0","1223001","2","1","30","0","0","1"
"3000","0","1224001","2","1","15","0","0","2"
"0","0","1224002","21","0","1224003","0","0","3000"
"30000","0","1224003","2","1","20","0","0","1"
"3000","0","1225001","2","1","-10","0","0","2"
"0","0","1225002","21","0","1225003","0","0","3000"
"30000","0","1225003","2","2","-20","0","0","1"
"30000","0","1227001","2","2","-15","0","0","1"
"30000","0","1227002","2","2","-15","0","0","2"
"1500","0","1228001","2","2","-35","0","0","3"
"30000","0","1229001","2","1","20","0","0","3"
"3000","0","1230001","2","1","20","0","0","2"
"0","0","1230002","21","0","1230003","0","0","3000"
"30000","0","1230003","2","1","50","0","0","1"
"3000","0","1232001","2","2","-25","0","0","3"
"30000","0","1234001","2","1","25","0","0","3"
"30000","0","1235001","2","1","20","0","0","3"
"30000","0","1236001","2","1","20","0","0","3"
"30000","0","1237001","2","1","20","0","0","3"
"3000","0","1238001","2","1","25","0","0","2"
"3000","0","1239001","2","1","35","0","0","1"
"3000","0","1240001","2","1","20","0","0","2"
"0","0","1240002","21","0","1240003","0","0","3000"
"30000","0","1240003","2","1","25","0","0","1"
"3000","0","1241001","2","1","-10","0","0","2"
"0","0","1241002","21","0","1241003","0","0","3000"
"30000","0","1241003","2","2","-25","0","0","1"
"30000","0","1242001","2","2","-20","0","0","1"
"30000","0","1242002","2","2","-20","0","0","2"
"1500","0","1244001","2","2","-75","0","0","3"
"30000","0","1246001","2","1","20","0","0","3"
"30000","0","1247001","2","1","30","0","0","3"
"0","0","1247002","21","0","1247003","0","0","3000"
"3000","0","1247003","2","1","25","0","0","1"
"3000","0","1248001","2","1","75","0","0","1"
"1500","0","1249001","2","2","-90","0","0","3"
"30000","0","2101001","2","1","10","0","0","2"
"30000","0","2102001","2","1","10","0","0","2"
"3000","0","2103001","2","2","-15","0","0","2"
"3000","0","2103002","2","2","-15","0","0","3"
"3000","0","2105001","2","2","-25","0","0","3"
"30000","0","2107001","2","1","25","0","0","3"
"30000","0","2108001","2","1","10","0","0","3"
"30000","0","2109001","2","1","10","0","0","3"
"30000","0","2110001","2","1","10","0","0","3"
"3000","0","2111001","2","1","15","0","0","2"
"3000","0","2112001","2","1","25","0","0","1"
"3000","0","2113001","2","1","10","0","0","2"
"0","0","2113002","21","0","2113003","0","0","3000"
"30000","0","2113003","2","1","25","0","0","1"
"3000","0","2114001","2","1","-10","0","0","2"
"0","0","2114002","21","1","2114003","0","0","3000"
"30000","0","2114003","2","2","-25","0","0","1"
"30000","0","2116001","2","2","-10","0","0","1"
"30000","0","2116002","2","2","-10","0","0","2"
"1500","0","2117001","2","2","-50","0","0","3"
"0","0","3301001","21","0","3301002","0","0","300"
"30","20","3301002","20","0","1","0","0","2"
"1","100","3301101","1","2","0","0","0","1"
"1","40","3302001","1","2","0","0","0","1"
"1","60","3302002","1","2","0","0","0","1"
"1","12","3303001","1","2","0","0","0","1"
"1","28","3303002","1","2","0","0","0","1"
"1","40","3304001","1","2","0","0","0","1"
"1","100","3304002","1","2","0","0","0","1"
"0","0","3305001","21","0","3305011","0","0","200"
"0","0","3305002","21","0","3305012","0","0","200"
"0","0","3305003","21","0","3305013","0","0","200"
"0","0","3305004","21","0","3305014","0","0","200"
"0","0","3305005","21","0","3305015","0","0","200"
"0","0","3305006","21","0","3305016","0","0","200"
"26","15","3305011","20","0","1","30","0","2"
"29","8","3305012","20","0","1","15","0","2"
"30","0","3305013","20","0","1","0","0","2"
"29","-8","3305014","20","0","1","-15","0","2"
"26","-15","3305015","20","0","1","-30","0","2"
"180","0","3305016","10","1","30000","0","0","1"
"1","20","3305101","1","2","0","0","0","1"
"274","29","3402001","20","0","1","0","0","2"
"0","0","3402101","11","3","500000","0","0","2000"
"0","0","3403001","21","0","3403002","0","0","200"
"0","0","3403002","10","1","200000","0","0","1"
"0","0","4001001","4","3","0","0","0","0"
"0","0","4001002","1","3","99999","0","0","0"
"9","9","4002001","1","3","99999","9","9","9"
