6f71e438ebc148ff5099b9b068cc38e92f9a2b9c2ec6f7220bccd98d0bb855c2,48b06bc461c9807a1d0e5226564c08a5202c04910d5f4af139908588ffbfb657,5fbf9dfa9fcb89cc8a94c4d99b1003767ae5f167acd9a3619d9c786dcd7cf1cf,2c01edb56337f3bf912b320d96505d5aed3ad42b7127aca2d184ad8e08e19836,4c56ac8912236b0cf05f632db4914b1845f5a785c1079b53d7794a014cc0acfa,6e10c500727738c64486ee18868d0d92f35937830ab1ef310b6f5d38bd944d9a,eeb0bce951e852d3f0bd4218e95f3889e87d51294e7fbba45c67f539c15032d6,4e8edd86500376f3ce2b52227e06dc63e2e137bd7ca109f57c9783214c058752,6452abb6dc7f924bb25d0b29cf54a3e01c1b38b81db6d1408b3d6f5bb7c296e9,2f745765219d3027e4112c3315d17f36d227718cec7d0e23ac546f7ac1e02837,fbefe1a258a1f0ddcb5788906964e251a63ba1ac195c47270b6a55ebbd98a121,f69cf1ef23ac2493818a1f93a2523d19a93c0daacb37d5bc297c32a3c5e51728
"0.8","0","0","0","0","1","4","1005801","0","1","0","100580101"
"0","0","vo_ske","0","0","2","2","1005801","0","0","vo_ske_0101","100580102"
"0","0","0","0.705","1","3","1","1005801","60","0","0","100580103"
"1.549","0","0","0","0","4","4","1005801","0","1","0","100580104"
"0","60","0","1.807","1","5","1","1005801","304","0","0","100580105"
"3.027","0","0","0","0","6","4","1005801","0","1","0","100580106"
"0","0","0","1.141","2","7","1","1005801","140","0","0","100580107"
"1.9","0","0","0","0","8","4","1005801","0","1","0","100580108"
"0","140","0","1.78","2","9","1","1005801","380","0","0","100580109"
"4.544","0","0","0","0","10","4","1005801","0","1","0","100580110"
"0","0","vo_ske","0","0","11","2","1005801","0","0","vo_ske_0102","100580111"
"0","0","0","1.322","3","12","1","1005801","195","0","0","100580112"
"2.917","0","0","0","0","13","4","1005801","0","1","0","100580113"
"0","0","vo_ske","0","0","14","2","1005801","0","0","vo_ske_0103","100580114"
"0","0","0","1.932","4","15","1","1005801","228","0","0","100580115"
"2.582","0","0","0","0","16","4","1005801","0","1","0","100580116"
"0","228","0","0.996","4","17","1","1005801","367","0","0","100580117"
"3.856","0","0","0","0","18","4","1005801","0","1","0","100580118"
"0","0","vo_ske","0","0","19","2","1005801","0","0","vo_ske_0104","100580119"
"0","0","0","0.67","5","20","1","1005801","102","0","0","100580120"
"1.785","0","0","0","0","21","4","1005801","0","1","0","100580121"
"0","102","0","2.253","5","22","1","1005801","364","0","0","100580122"
"2.253","0","0","0","0","23","4","1005801","0","1","0","100580123"
"0","0","0","0.962","6","24","1","1005801","120","0","0","100580124"
"2.244","0","0","0","0","25","4","1005801","0","1","0","100580125"
"0","120","0","1.707","6","26","1","1005801","334","0","0","100580126"
"4.225","0","0","0","0","27","4","1005801","0","1","0","100580127"
"0","0","vo_ske","0","0","28","2","1005801","0","0","vo_ske_0105","100580128"
"0","0","0","1.256","7","29","1","1005801","168","0","0","100580129"
"3.119","0","0","0","0","30","4","1005801","0","1","0","100580130"
"0","0","vo_ske","0","0","31","2","1005801","0","0","vo_ske_0106","100580131"
"0","0","0","0.702","8","32","1","1005801","89","0","0","100580132"
"1.386","0","0","0","0","33","4","1005801","0","1","0","100580133"
"0","89","0","1.352","8","34","1","1005801","278","0","0","100580134"
"2.053","0","0","0","0","35","4","1005801","0","1","0","100580135"
"0","278","0","0.733","8","36","1","1005801","383","0","0","100580136"
"1.868","0","0","0","0","37","4","1005801","0","1","0","100580137"
"0","0","0","1.764","9","38","1","1005801","195","0","0","100580138"
"2.905","0","0","0","0","39","4","1005801","0","1","0","100580139"
"0","195","0","0.969","9","40","1","1005801","314","0","0","100580140"
"0.969","0","0","0","0","41","4","1005801","0","1","0","100580141"
"0","0","0","0.808","10","42","1","1005801","115","0","0","100580142"
"2.8","0","0","0","0","43","4","1005801","0","1","0","100580143"
"0","0","vo_ske","0","0","44","2","1005801","0","0","vo_ske_0107","100580144"
"0","0","0","0.25","11","45","1","1005801","52","0","0","100580145"
"0.25","0","0","0","0","46","4","1005801","0","1","0","100580146"
"0","52","0","1.817","11","47","1","1005801","280","0","0","100580147"
"3.312","0","0","0","0","48","4","1005801","0","1","0","100580148"
"0","280","0","0.666","11","49","1","1005801","372","0","0","100580149"
"1.17","0","0","0","0","50","4","1005801","0","1","0","100580150"
"0","0","0","1.616","12","51","1","1005801","217","0","0","100580151"
"4.15","0","0","0","0","52","4","1005801","0","1","0","100580152"
"0","0","vo_ske","0","0","53","2","1005801","0","0","vo_ske_0108","100580153"
"0","0","0","1.198","13","54","1","1005801","142","0","0","100580154"
"2.442","0","0","0","0","55","4","1005801","0","1","0","100580155"
"0","0","0","1.934","14","56","1","1005801","267","0","0","100580156"
"4.434","0","0","0","0","57","4","1005801","0","1","0","100580157"
"0.8","0","0","0","0","1","4","1005802","0","1","0","100580201"
"0","0","vo_ske","0","0","2","2","1005802","0","0","vo_ske_0201","100580202"
"0","0","0","1.122","1","3","1","1005802","130","0","0","100580203"
"1.689","0","0","0","0","4","4","1005802","0","1","0","100580204"
"0","130","0","1.13","1","5","1","1005802","327","0","0","100580205"
"2.883","0","0","0","0","6","4","1005802","0","1","0","100580206"
"0","0","vo_ske","0","0","7","2","1005802","0","0","vo_ske_0202","100580207"
"0","0","0","1.057","2","8","1","1005802","119","0","0","100580208"
"1.962","0","0","0","0","9","4","1005802","0","1","0","100580209"
"0","119","0","1.166","2","10","1","1005802","266","0","0","100580210"
"1.747","0","0","0","0","11","4","1005802","0","1","0","100580211"
"0","266","0","1.216","2","12","1","1005802","389","0","0","100580212"
"1.216","0","0","0","0","13","4","1005802","0","1","0","100580213"
"0","0","0","1.868","3","14","1","1005802","272","0","0","100580214"
"3.78","0","0","0","0","15","4","1005802","0","1","0","100580215"
"0","0","vo_ske","0","0","16","2","1005802","0","0","vo_ske_0203","100580216"
"0","0","0","0.655","4","17","1","1005802","90","0","0","100580217"
"1.632","0","0","0","0","18","4","1005802","0","1","0","100580218"
"0","90","0","1.586","4","19","1","1005802","270","0","0","100580219"
"2.357","0","0","0","0","20","4","1005802","0","1","0","100580220"
"0","270","0","0.386","4","21","1","1005802","336","0","0","100580221"
"0.386","0","0","0","0","22","4","1005802","0","1","0","100580222"
"0","0","0","0.872","5","23","1","1005802","110","0","0","100580223"
"3.189","0","0","0","0","24","4","1005802","0","1","0","100580224"
"0","0","vo_ske","0","0","25","2","1005802","0","0","vo_ske_0204","100580225"
"0","110","0","1.065","5","26","1","1005802","241","0","0","100580226"
"1.882","0","0","0","0","27","4","1005802","0","1","0","100580227"
"0","241","0","0.888","5","28","1","1005802","359","0","0","100580228"
"0.888","0","0","0","0","29","4","1005802","0","1","0","100580229"
"0","0","0","0.607","6","30","1","1005802","66","0","0","100580230"
"1.21","0","0","0","0","31","4","1005802","0","1","0","100580231"
"0","66","0","0.933","6","32","1","1005802","158","0","0","100580232"
"2.332","0","0","0","0","33","4","1005802","0","1","0","100580233"
"0","158","0","1.649","6","34","1","1005802","360","0","0","100580234"
"4.223","0","0","0","0","35","4","1005802","0","1","0","100580235"
"0","0","vo_ske","0","0","36","2","1005802","0","0","vo_ske_0205","100580236"
"0","0","0","0.349","7","37","1","1005802","102","0","0","100580237"
"1.46","0","0","0","0","38","4","1005802","0","1","0","100580238"
"0","102","0","1.532","7","39","1","1005802","285","0","0","100580239"
"2.11","0","0","0","0","40","4","1005802","0","1","0","100580240"
"0","285","0","0.341","7","41","1","1005802","336","0","0","100580241"
"0.341","0","0","0","0","42","4","1005802","0","1","0","100580242"
"0","0","0","1.202","8","43","1","1005802","176","0","0","100580243"
"3.101","0","0","0","0","44","4","1005802","0","1","0","100580244"
"0","0","vo_ske","0","0","45","2","1005802","0","0","vo_ske_0206","100580245"
"0","0","0","0.706","9","46","1","1005802","85","0","0","100580246"
"1.796","0","0","0","0","47","4","1005802","0","1","0","100580247"
"0","85","0","1.854","9","48","1","1005802","331","0","0","100580248"
"2.709","0","0","0","0","49","4","1005802","0","1","0","100580249"
"0","0","0","1.202","10","50","1","1005802","139","0","0","100580250"
"3.52","0","0","0","0","51","4","1005802","0","1","0","100580251"
"0","0","vo_ske","0","0","52","2","1005802","0","0","vo_ske_0207","100580252"
"0","139","0","0.754","10","53","1","1005802","228","0","0","100580253"
"1.291","0","0","0","0","54","4","1005802","0","1","0","100580254"
"0","228","0","0.505","10","55","1","1005802","293","0","0","100580255"
"2.624","0","0","0","0","56","4","1005802","0","1","0","100580256"
"0","0","vo_ske","0","0","57","2","1005802","0","0","vo_ske_0208","100580257"
"0","0","0","1.061","11","58","1","1005802","130","0","0","100580258"
"1.6","0","0","0","0","59","4","1005802","0","1","0","100580259"
"0","130","0","1.645","11","60","1","1005802","310","0","0","100580260"
"2.3","0","0","0","0","61","4","1005802","0","1","0","100580261"
"0","0","0","1.616","12","62","1","1005802","240","0","0","100580262"
"3.913","0","0","0","0","63","4","1005802","0","1","0","100580263"
"0","0","vo_ske","0","0","64","2","1005802","0","0","vo_ske_0209","100580264"
"0","0","0","1.258","13","65","1","1005802","128","0","0","100580265"
"3.579","0","0","0","0","66","4","1005802","0","1","0","100580266"
"0","0","vo_ske","0","0","67","2","1005802","0","0","vo_ske_0210","100580267"
"0","0","0","1.496","14","68","1","1005802","250","0","0","100580268"
"3.996","0","0","0","0","69","4","1005802","0","1","0","100580269"
"0.8","0","0","0","0","1","4","1005803","0","1","0","100580301"
"0","0","vo_ske","0","0","2","2","1005803","0","0","vo_ske_0301","100580302"
"0","0","0","1.797","1","3","1","1005803","200","0","0","100580303"
