fea99a7b43e47d322425dcddc0b898940988f5d8619cad3de61457c324272e9e,fa074528af87e882dbe3a2515fc1bbeabd0eb2780724c0ebcb87332d6d99aac3,0a2e01de4a23ac910da39ae922452b1566167c730f217e485cad08664930ee62,36327493d3adb7a0b9cdd7e17c33886b71fa0f3344415c9ef89cb7795faf72a1,46a657d6085fe83787190cdd1fb8c461a3ca0dedf614cb58e333065a30df993e,55f57a2728763c890bfa8cbb898f3ad6e47f2b33061cce117f070c9a9edf7d14,c4bf2d8dfda843fa68779eec9df9ebe26cf9fc1d1300187c72188d32a94170d0,2bc28721605a7aa1b76ca2f3019f37739fbba09602a2ecf1c762b6938cd407b1,2bbd3b8bdb4f388ba22d6922f86d0634fb69b3d0b1b3b6ad231ee79c03c09e8f,5f91c1dc773ca3da4ccd96c1d864b60196a07ae4de52916467fad311e793e7d6,1a9f759335f565dc020d7c473b9b3673d9e2d936db54643174b5bd8f99b94b45,a30216de4234ac9e3b7d78d2c49679219057d9a25e0b8c9cca227b759a948e1a,810aa118d1d640917a1a78e0820b34c0ebd56f92c3661f3a43e0386456bbf292,0ca0e45771d613165e116d43afd10702f553e374ecd9854d10abc1d261af25d0,bc17f6dc1363bf830cd3696c948193331026b40c09dce572e87684016e3ef643
"1001001","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100101","90","？？？"
"1001002","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100102","90","？？？"
"1001003","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100103","90","？？？"
"1001004","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100101","90","？？？"
"1001005","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100102","90","？？？"
"1001006","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100103","90","？？？"
"1002001","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100201","90","？？？"
"1002002","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100202","90","？？？"
"1002003","350","2","1","0","100584","-30","-75","bgm_M220","bgm_M220","100584","100000","800100203","90","？？？"
"1002004","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100201","90","？？？"
"1002005","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100202","90","？？？"
"1002006","350","2","1","0","100584","-30","-75","bgm_M221","bgm_M221","100584","100000","800100203","90","？？？"
