e1571716eafc9d3ef88b5c82af86765c617790c5ac0860036f510f5a12fe5e13,e3bf0ed6f4eb7a898abe02ea1ef43c2567d8fd3f29c70538ba2bbe552177b318,9f2a65d8e6832f6dce59b876a7ce72d990600f1d01143744a56016d9ebcce2fe,6d32eb771713c0eb31154f4d8de916a521bf10e1920881c2ba98e3b94e9f5f9d,f0dae6a776e7868b6ac9003cb055a2d31a71c18940087b9a159232746a932f30,9336b9aee2c78a81ae976d762241e2f6c7c908c12a1bd8e0c2439899dd95596e,2bf51409c9a8c54e11e60a2cddd1da0e4ffeb45ce9b901dc20cea57dea7fb576,3725f4138ea810000be4123ce01f2731278440ad731c071e0ff61d9a8db00ed0,28a43ccb3420627ef4cefd65a37f508476521cdea04831dbddbaaef72cd449c9,f95834096775ebec94065f061e5e488a96cccaadf48f532cab9f714989c7f97e,92d5540386b62a2db6a60a34e15a6bbc6fe22a94fba2f850f2812a8445bfe8c0,06b3436f136c40a59dc1a8daf8c05fb552925035c76105608bcb12f0954fd6ea,1431a32ed952a9c7839a2bcad59b7ce5d803671a1a4a2dfe664d6a6963cf4f28,7337d09104fb3d94f5d7c30653d63d6cf071057569a76710596f3fedcafa71cf,24993f5aafb2c8b5d750f41d6e2a758628fedf3dec100405003bd0387b4ee2bc
"112","1","100","0","540","113","0","2816","1","111","0","0","0","2022/02/15 5:00:00","11"
"212","2","100","0","493","213","0","2816","1","211","0","0","0","2022/02/16 5:00:00","21"
"312","3","100","0","458","313","0","2816","1","311","0","0","0","2022/02/17 5:00:00","31"
"412","4","100","0","420","413","0","2816","1","411","0","0","0","2022/02/18 5:00:00","41"
"512","5","100","0","380","513","0","2816","1","511","0","0","0","2022/02/19 5:00:00","51"
"612","6","100","0","340","613","0","2816","1","611","0","0","0","2022/02/20 5:00:00","61"
"712","7","100","0","430","713","0","2816","1","711","0","1","0","2022/02/21 5:00:00","71"
"812","8","100","0","402","813","0","2816","1","811","0","1","0","2022/02/22 5:00:00","81"
"912","9","100","0","302","913","0","2816","1","911","0","1","0","2022/02/23 5:00:00","91"
"1012","10","100","0","264","1013","0","2816","1","1011","0","1","0","2022/02/24 5:00:00","101"
"1112","11","100","0","225","1113","0","2816","1","1111","0","1","0","2022/02/25 5:00:00","111"
"1212","12","100","0","328","1213","0","2816","1","1211","0","1","0","2022/02/26 5:00:00","121"
"1312","13","100","0","280","1313","0","2816","1","1311","0","1","0","2022/02/27 5:00:00","131"
"1412","14","100","0","269","1413","0","2816","1","1411","0","1","0","2022/02/28 5:00:00","141"
"1512","15","100","0","180","1513","0","2816","1","1511","0","1","0","2022/03/01 5:00:00","151"
"1612","16","100","0","138","1613","0","2816","1","1611","0","1","0","2022/03/02 5:00:00","161"
"1712","17","100","0","97","1713","0","2816","1","1711","0","1","0","2022/03/03 5:00:00","171"
"1812","18","100","0","56","1813","0","2816","1","1811","0","1","0","2022/03/04 5:00:00","181"
"1912","19","100","0","150","1913","0","2816","1","1911","0","1","0","2022/03/05 5:00:00","191"
"2012","20","100","0","100","2013","0","2816","1","2011","0","1","0","2022/03/06 5:00:00","201"
