7022568a1df12fb71e8b5db8cfdf1040c24ffe4158f2a6ae784b16631b0f4d1a,7566529b8f2e39dcd1a065becb8dbcc86ead9c5a63c97f8cd0565bec334ee77f,508ac565669867f84b346c4be0cbeb6cbe6ce8ce2c6882d732c9b024468ac1cd,12cb385589a7715559f69eb9ee209d122d00811dd615ea21bd455a357a7dedb3,530f32db29bdc8280b5d5d3706ffd19d3d73b6db47782cfe9082bb0acf834c14,69dfce25442b32cb3664e7fc45b4e69aa316f4c4dd92cdc783e180fefcaeb556,0403b593a9a5f9ffb8729b7439da6794b5d69569d5f23aa70dce322e69937ca0
"0.8","-10","300900","31001","0","100721","0.8"
"0.7","-40","302300","31002","0","100722","0.7"
"0.8","-40","302400","31003","0","100261","0.8"
"0.9","-20","302500","31004","0","100283","0.9"
"0.9","-10","301700","31005","0","101611","0.9"
"0.7","-40","310100","31006","0","102174","0.7"
"0.3","-60","399800","31007","-80","102751","0.3"
"0.9","20","314901","31008","-20","103001","0.9"
"0.7","-110","318405","31009","30","103232","0.7"
"1","-10","320100","31010","0","103371","1"
