c518d63fc74ae42f2fe2092800a36a4b49d03ae6e4b2b81fa0208e3e9c119b26,32d9bf24e2e89a6466d926afd04750027754a63d75241b117bc0578fbfe5235e,c9db0d2330fc892cfa5fb3d93f90b3957b80edc568e9168deae91294811075af,609b5eb5c1f90f91a9060119dcabd0f6470d3cbae51ec2ddbd85bf6282d92c53,5b3211fabb0a6dfd4a812277f3abe79d7472aa95bdffe92fc30ca432c277f470,ef430d737b187193223447c8a64901ba8e7480f3198d22519b14a3553f69401b
"118001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00","1013206","1"
"118001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00","1013206","2"
"118001","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00","1013206","3"
"105801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00","1013206","4"
"105801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00","1013206","5"
"105801","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00","1013206","6"
"107501","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00","1013206","7"
"107501","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00","1013206","8"
"107501","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00","1013206","9"
"111801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00","1013206","10"
"111801","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00","1013206","11"
"121001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00","1013206","13"
"121001","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00","1013206","14"
"180401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00","1013206","16"
"180401","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00","1013206","17"
"180401","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00","1013206","18"
"127901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/11/30 12:00:00","1013206","19"
"127901","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00","1013206","20"
"106601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","21"
"106601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00","1013406","22"
"101401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","23"
"101401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00","1013406","24"
"101201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","25"
"101201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00","1013406","26"
"116501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","27"
"116501","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00","1013406","28"
"121601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","29"
"121601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00","1013406","30"
"128301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/12/31 12:00:00","1013406","31"
"128301","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00","1013406","32"
"112201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","33"
"112201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00","1013406","34"
"115701","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","35"
"115701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00","1013406","36"
"113401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","37"
"113401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00","1013406","38"
"128401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/01/03 19:00:00","1013406","39"
"128401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/03 19:00:00","1013406","40"
"180701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00","1013406","41"
