179ced4ad14e85564dcdfc66a731e89830e7e5c88eb7b5cfc5f9327671263479,508dca029d6c6b14fa3c56ab95d58e74aa8c2da5fbcd38315a9a60fb88db960c,fd001fefba0c7737ca7a657165bd542b433d9baa29f8a53d9584660cb7fb8a79,dca2e47b7036debe4cab796afb9a55628f2a6e6cfd9214c827b506d2e0c06587,01cfd715a3426d222c9ecf99f2f0773c0463924df43e6dfef7674b2fd16cb036,205a5f2f0c26db180f3656ead43a9acafd085e11096f46ac50fd37b7e640ef92,e7465ab91c716a11cf694098d5999bb03748d13c2668f80f46fe2b172b2d0719,855d34d9b51ec0b38802b3604bb4f1de017dce8a7fb15eefce1f0238cedcf452,12881aea8ae5e63359419cadd0eba08c1430950ca1869aa3d6b41fa6251327b2,bdd5059dc841e5b5bee3894c56e808cf8000e65f36fbdcd5ebb3f9747136f278,baa5911e764e2130061f8909d81dc8ae93b4f7df1dae544f1ad9c9bb37544a0c
"-120","100","1","1010001","1","850","1","5","102611","ttk_idle_def","1"
"1","0","1","1010002","2","0","1","31","2","",""
"1","-120","1","1010003","1","-80","1","31","1","",""
"","","","1010004","1","","1","93","","",""
"","0","","1010005","vo_minigame_1005","0","1","21","vo_minigame_1005_top_000","",""
"1","ttk_idle_doya","0.3","1010006","102611","0","1","3","ttk_doya","","0.3"
"","","0","1010007","102611","8","1","11","任された仕事は\nきちんとやるよ","","0"
"","","","1010008","0","","1","91","","",""
"-120","100","1","1020001","1","850","2","5","102611","ttk_idle_def","1"
"1","0","1","1020002","2","0","2","31","2","",""
"1","-120","1","1020003","1","-80","2","31","1","",""
"","","","1020004","1","","2","93","","",""
"","0","","1020005","vo_minigame_1005","0","2","21","vo_minigame_1005_top_001","",""
"1","ttk_idle_def","0.3","1020006","102611","0","2","3","ttk_idle_smile","","0.3"
"","","0","1020007","102611","8","2","11","あたしの前に\n現れたこと\n後悔させてあげる","","0"
"","","","1020008","0","","2","91","","",""
"-120","100","1","1030001","1","850","3","5","102611","ttk_idle_def","1"
"1","0","1","1030002","2","0","3","31","2","",""
"1","-120","1","1030003","1","-80","3","31","1","",""
"","","","1030004","1","","3","93","","",""
"","0","","1030005","vo_minigame_1005","0","3","21","vo_minigame_1005_top_002","",""
"1","ttk_idle_joy","0.1","1030006","102611","0","3","3","ttk_joy","","0.3"
"","","0","1030007","102611","8","3","11","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","0"
"","","","1030008","2.2","","3","93","","",""
"","","0.3","1030009","102611","1","3","3","ttk_talk_sad","","0.3"
"","","","1030010","3","","3","93","","",""
"","","0.3","1030011","102611","1","3","3","ttk_idle_def","","0.3"
"","","","1030012","0","","3","91","","",""
"-120","100","1","1040001","1","850","4","5","102611","ttk_idle_def","1"
"1","0","1","1040002","2","0","4","31","2","",""
"1","-120","1","1040003","1","-80","4","31","1","",""
"","","","1040004","1","","4","93","","",""
"","0","","1040005","vo_minigame_1005","0","4","21","vo_minigame_1005_top_003","",""
"1","ttk_idle_shock","0.3","1040006","102611","0","4","3","ttk_shock","","0.3"
"","","0","1040007","102611","8","4","11","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","0"
"","","","1040008","5","","4","93","","",""
"","","0.3","1040009","102611","1","4","3","ttk_idle_def","","0.3"
"","","","1040010","0.7","","4","93","","",""
"-120","100","1","1050001","1","850","5","5","102611","ttk_idle_def","1"
"1","0","1","1050002","2","0","5","31","2","",""
"1","-120","1","1050003","1","-80","5","31","1","",""
"","","","1050004","1","","5","93","","",""
"","0","","1050005","vo_minigame_1005","0","5","21","vo_minigame_1005_top_004","",""
"","","0.3","1050006","102611","0","5","3","ttk_surprise","","0.3"
"","","0","1050007","102611","8","5","11","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","0"
"","","","1050008","0.9","","5","93","","",""
"","","0.3","1050009","102611","1","5","3","ttk_talk_anger","","0.3"
"","","","1050010","0.8","","5","93","","",""
"1","ttk_talk_sad","0.3","1050011","102611","0","5","3","ttk_sad","","0.3"
"","","","1050012","5","","5","93","","",""
"","","0.3","1050013","102611","1","5","3","ttk_idle_def","","0.3"
"","","","1050014","0","","5","91","","",""
"-120","100","1","1060001","1","850","6","5","102611","ttk_idle_def","1"
"1","0","1","1060002","2","0","6","31","2","",""
"1","-120","1","1060003","1","-80","6","31","1","",""
"","","","1060004","1","","6","93","","",""
"","0","","1060005","vo_minigame_1005","0","6","21","vo_minigame_1005_top_005","",""
"","","0.3","1060006","102611","1","6","3","ttk_idle_worry","","0.3"
"","","0","1060007","102611","8","6","11","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","0"
"","","","1060008","7","","6","93","","",""
"1","ttk_idle_def","0.3","1060009","102611","0","6","3","ttk_amz","","0.3"
"","","","1060010","0","","6","91","","",""
