7c418477f372f7ba9e5f72bd2158f43f5004537ad1abf927d1ea4ecc817178ab,9c716892401b44210933a504dc2fc4354d690454ae933bf977a11d79fa622483,7662e3d067549608b0cac8d2f143827a3b9694eb6c191d9a1c50e38df66024df,92d311ef1e7e6f61f199db9690ff34640881413483983e0dfc3c502e7dc1ffea,ddc3c4d58097a569d6137652c88f7646ad76a47727deb36f080fa4cb6c991b4e,a388874b12c735120b21959ba6a7f372332a3495ef22120fb6415b555940dad5
"0","1","1","10009106","1","10009101"
"0","1","2","10009112","1","10009101"
"0","1","3","10010110","1","10010101"
"0","2","4","1001901","1","10019101"
"0","1","5","10021112","1","10021101"
"0","1","6","10025109","1","10025101"
"500810","3","7","5025001","2","10025"
"0","1","8","20009106","1","20009101"
"0","1","9","20009112","1","20009101"
"0","1","10","20010110","1","20010101"
"501001","3","12","5042001","2","10042"
"0","2","13","2001501","1","20015101"
"501031","3","14","5044001","2","10044"
"0","1","15","20016112","1","20016101"
"501103","3","16","5046002","2","10046"
"0","1","17","10049109","1","10049101"
"0","1","19","10066112","1","10066101"
"501291","3","20","5066005","2","10066"
"501001","3","21","5042001","2","10069"
"501031","3","22","5044001","2","10071"
"501341","3","23","5068001","2","10068"
"501353","3","24","5070004","2","10070"
"500016","3","25","5070005","2","10070"
"501364","3","26","5072004","2","10072"
"501365","3","27","5072006","2","10072"
"501103","3","28","5046002","2","10073"
"501383","3","29","5074001","2","10074"
"0","1","30","10076112","1","10076101"
"505036","3","31","5076005","2","10076"
"501451","3","32","5078004","2","10078"
"501463","3","33","5080005","2","10080"
"0","1","34","10082105","1","10082101"
"0","1","35","10082108","1","10082102"
"0","1","36","10082111","1","10082103"
"501160","3","37","5082002","2","10082"
"501031","3","38","5082004","2","10082"
"501483","3","39","5082005","2","10082"
"500368","3","40","5084001","2","10084"
"510306","3","41","5084002","2","10084"
"500039","3","42","5084003","2","10084"
"500368","3","43","5085002","2","10085"
"510203","3","44","5085003","2","10085"
"500272","3","45","5085004","2","10085"
"501501","3","46","5085005","2","10085"
"501810","3","47","5088005","2","10088"
"501001","3","50","5042001","2","20025"
"501541","3","51","5090002","2","10090"
"501031","3","55","5044001","2","20026"
"0","1","56","10093112","1","10093101"
"501291","3","57","5066005","2","10093"
"501103","3","58","5046002","2","20027"
"501031","3","59","5092001","2","10092"
"501551","3","60","5092004","2","10092"
"501593","3","61","5094001","2","10094"
"501341","3","62","5068001","2","10095"
"500810","3","67","5025001","2","20018"
"501613","3","68","5096002","2","10096"
"501353","3","73","5070004","2","10097"
"500016","3","74","5070005","2","10097"
"501031","3","75","5098000","2","10098"
"0","1","76","10098104","1","10098101"
"0","1","77","10098111","1","10098102"
"501364","3","78","5072004","2","10099"
"501365","3","79","5072006","2","10099"
"500837","3","80","5100003","2","10100"
"501383","3","82","5074001","2","10101"
"501383","3","83","5074001","2","10101"
"501873","3","84","5102002","2","10102"
"0","1","85","10103112","1","10103101"
"505036","3","86","5076005","2","10103"
"501911","3","88","5108002","2","10108"
"500133","3","89","5104003","2","10104"
"501451","3","90","5078004","2","10105"
"501931","3","93","5110005","2","10110"
"500013","3","94","5111005","2","10111"
"501463","3","95","5080005","2","10107"
"0","1","96","10109105","1","10109101"
"0","1","97","10109108","1","10109102"
"0","1","98","10109111","1","10109103"
"501160","3","99","5082002","2","10109"
"501031","3","100","5082004","2","10109"
"501483","3","101","5082005","2","10109"
"500368","3","103","5084001","2","10112"
"510306","3","104","5084002","2","10112"
"500039","3","105","5084003","2","10112"
"500368","3","106","5085002","2","10113"
"510203","3","107","5085003","2","10113"
"500272","3","108","5085004","2","10113"
"501501","3","109","5085005","2","10113"
"0","2","110","1011001","1","10110101"
"0","1","111","20037112","1","20037101"
"501291","3","112","5066005","2","20037"
"501810","3","113","5088005","2","10115"
"500016","3","114","5114000","2","10114"
"501952","3","115","5114003","2","10114"
"501341","3","116","5068001","2","20038"
"501541","3","117","5090002","2","10117"
"501353","3","121","5070004","2","20039"
"500016","3","122","5070005","2","20039"
"500837","3","123","5116004","2","10116"
"501031","3","124","5092001","2","10119"
"501551","3","125","5092004","2","10119"
"500133","3","126","5118002","2","10118"
"500810","3","127","5118003","2","10118"
