598f9895445b8457a048438ff87b3265d683fe684745e0825c0eb19260a9e9cf,4bc9cc89519973a5ab34224ed45574baf99415d2c0568fedd322468b757d8348,0a2c9928bedf5d0de6cc4ed2d32648b0e7c7c7bbfb7afd66f8e904f419062fd9,c0f28cace9e6294d9b4df9e4b90b2e8557b819b5cfdfb574e56197601bf7c0f9,9273c73606b0418cca9f8964fe340632e90e06ae286c8068a95b6bf0378e415f,96db02531abeb26760ba5ab2d5831065b70c30f26c43aaec7911236a37203929,a31dfa97abc0d38a62e20a2e98e119a75a51aecb2e0523f0b4970f751707dd7f,e379cff6e6b022c89afa224c018d000a4b1540f27b0f83195855da86f2f82e72,c60836b32b674045b12e814948e657f85ebab02dce53f41485265d8ca6cb6526,33b30c7a68fb9d14a7c9c6607fdc237e0046e04aa81067a67316ff895b3ed799,153738cd1ba3aa99f0aea9d6f3265712574648fefe9bb5fc401a0ef5955b9855,46397894a594da60951551f9873f5ac6d1602167beaba4183325d3c88d97aff0,b786ed2fdcae9fdb6fdee2307d99fb4ccd178611023c7b29640dee4736c49428,128d9fcd4b6e58225d746b240b3d3edcc4b23da8aa0633c46ca477a13f9c65c1,31426f215c38984bf1d335d2269900e07ff27c47e1c9603554691b3b1664c0e8,bd865101fade9982c7173082ef6e35fd5c0cf2b4cbb95665788bede6ca49f504
"275000001","0","0","80000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000002","0","0","85000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000003","0","0","90000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000004","0","0","95000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000005","0","0","100000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000006","0","0","105000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000007","0","0","110000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000008","0","0","115000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000009","0","0","120000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000010","0","0","125000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000011","0","0","130000","0","0","26202","0","0","0","0","0","0","2","0","0"
"275000012","0","0","135000","0","0","26202","0","0","0","0","0","0","2","0","0"
"276010001","0","0","50000","90013","2","26202","18","4109501","400","1","0","0","2","0","0"
"276010002","0","0","50000","90013","2","26202","0","0","425","0","0","0","2","0","0"
"276010003","0","0","50000","90013","2","26202","0","0","450","0","0","0","2","0","0"
"276010004","0","0","100000","90013","2","26202","0","0","475","0","0","0","2","0","0"
"276010005","0","0","100000","90013","2","26202","2","26203","500","1","0","0","2","0","0"
"276010006","0","0","150000","90013","2","26202","18","4110501","525","1","0","0","2","0","0"
"276010007","0","0","150000","90013","2","26202","0","0","550","0","0","0","2","0","0"
"276010008","0","0","200000","90013","2","26202","0","0","575","0","0","0","2","0","0"
"276010009","0","0","200000","90013","2","26202","0","0","600","0","0","0","2","0","0"
"276010010","0","0","200000","90013","2","26202","2","26203","625","1","0","0","2","0","0"
"276020001","0","0","50000","90013","2","26202","18","4101501","400","1","0","0","2","0","0"
"276020002","0","0","50000","90013","2","26202","0","0","425","0","0","0","2","0","0"
"276020003","0","0","50000","90013","2","26202","0","0","450","0","0","0","2","0","0"
"276020004","0","0","100000","90013","2","26202","0","0","475","0","0","0","2","0","0"
"276020005","0","0","100000","90013","2","26202","2","26203","500","1","0","0","2","0","0"
"276020006","0","0","150000","90013","2","26202","18","4102501","525","1","0","0","2","0","0"
"276020007","0","0","150000","90013","2","26202","0","0","550","0","0","0","2","0","0"
"276020008","0","0","200000","90013","2","26202","0","0","575","0","0","0","2","0","0"
"276020009","0","0","200000","90013","2","26202","0","0","600","0","0","0","2","0","0"
"276020010","0","0","200000","90013","2","26202","2","26203","625","1","0","0","2","0","0"
"276030001","0","0","50000","90013","2","26202","18","4201501","400","1","0","0","2","0","0"
"276030002","0","0","50000","90013","2","26202","0","0","425","0","0","0","2","0","0"
"276030003","0","0","50000","90013","2","26202","0","0","450","0","0","0","2","0","0"
"276030004","0","0","100000","90013","2","26202","0","0","475","0","0","0","2","0","0"
"276030005","0","0","100000","90013","2","26202","2","26203","500","1","0","0","2","0","0"
"276030006","0","0","150000","90013","2","26202","18","4203501","525","1","0","0","2","0","0"
"276030007","0","0","150000","90013","2","26202","0","0","550","0","0","0","2","0","0"
"276030008","0","0","200000","90013","2","26202","0","0","575","0","0","0","2","0","0"
"276030009","0","0","200000","90013","2","26202","0","0","600","0","0","0","2","0","0"
"276030010","0","0","200000","90013","2","26202","2","26203","625","1","0","0","2","0","0"
"276040001","0","0","50000","90013","2","26202","18","4301601","400","1","0","0","2","0","0"
"276040002","0","0","50000","90013","2","26202","0","0","425","0","0","0","2","0","0"
"276040003","0","0","50000","90013","2","26202","0","0","450","0","0","0","2","0","0"
"276040004","0","0","100000","90013","2","26202","0","0","475","0","0","0","2","0","0"
"276040005","0","0","100000","90013","2","26202","2","26203","500","1","0","0","2","0","0"
