a451bae11854f33d85af16e19ca4922acb89a2ad8aaa27ec9c4538af07d94d53,460875f515fd01961c0b8c26837687d8adfbfcaea5cc08a25ff497abb5768f96,ac48f6c510edbb80e8b0e2e9c959a1aa5106f8ea81dcc35e644fb7e0e0b2a188,7de332839d89b7f885e0e1b12bd9cc1d93ed0fc4c4b388c32671096b322f8c2e
"4301511","1","1","18"
"4301512","2","1","18"
"4301513","3","1","18"
"4301514","4","1","18"
"4301515","5","1","18"
"26202","6","1","2"
"4302511","1","2","18"
"4302512","2","2","18"
"4302513","3","2","18"
"4302514","4","2","18"
"4302515","5","2","18"
"26202","6","2","2"
"4303511","1","3","18"
"4303512","2","3","18"
"4303513","3","3","18"
"4303514","4","3","18"
"4303515","5","3","18"
"26202","6","3","2"
"4304511","1","4","18"
"4304512","2","4","18"
"4304513","3","4","18"
"4304514","4","4","18"
"4304515","5","4","18"
"26202","6","4","2"
"4305511","1","5","18"
"4305512","2","5","18"
"4305513","3","5","18"
"4305514","4","5","18"
"4305515","5","5","18"
"26202","6","5","2"
