3edb05547600cc3f0ac014fcca6b4834d98203200a52e6dbd432525dfad49554,233e7f1cf5396f1c4f04a5f2c4c7194d2fda6369b122c2971572391f84533110,6c08a0aa69dfe779e61796192eca8e1bb096acec336f7c1f813cf5238581a888
"1","1","0"
"1","1","1"
"1","1","2"
"1","1","5"
"1","2","0"
"1","2","1"
"1","2","2"
"1","2","5"
"1","3","0"
"1","3","1"
"1","3","2"
"1","3","5"
"1","4","0"
"1","4","1"
"1","4","2"
"1","4","5"
"1","5","0"
"1","5","1"
"1","5","2"
"1","5","5"
"1","6","0"
"1","6","1"
"1","6","2"
"1","6","5"
"1","7","0"
"1","7","1"
"1","7","2"
"1","7","5"
"1","8","0"
"1","8","1"
"1","8","2"
"1","8","5"
"1","9","0"
"1","9","1"
"1","9","2"
"1","9","5"
"1","10","0"
"1","10","1"
"1","10","2"
"1","10","5"
