ec40d1248cca88c2914cdeb92fae82ef954278bfbbee07d1528d127c3632a4e3,aa6e6a377f8f57a379f518dffb64de2339dac8cbed5e04aa3844872e3514c16b,4f175f5e424f6e6413c1a2127b24fc0b7214a8b2cee28116ebf920d5d03443ef,824ff9db219af600a9058db32048af602c8c92cbae42c2a1394217a23e2b394c,bf27f30af8efa2d78c0b308f2880ca4cc86243dfa2f70e559cad1530a0db1bba,8e97f6da13ef20510fef9f9654dd56657b5a053e172857a54df33b3fe64a0cba,3b3c5de3c4afc8aacd223dd01367710e704535dc57eccacc8dd9011e1dfcae3d,4c82c09931a80e6a256880e4787723c21e51a6174f9cc71c2433593bcff8a208,7ae82b6edeaa463b973b2a9c8ac0f9f75da4bc7b12e4b00ba240b1ea3ed172a3,7283757b64c62d41cba17eff3da0e707b39edda8585ee0efe6f4b853a0f5c4ab,bf01cc652f8dda8e0bc81893cbaa954467aeb1fa03c6f6d03deec4ab116b7f3d
"1","1","1013","難易度1以上で1回クリアしよう","2","3","1","1","1","0","1"
"1","2","1013","難易度2以上で1回クリアしよう","2","5","2","2","1","0","2"
"1","3","1013","難易度3以上で1回クリアしよう","2","5","3","3","1","0","3"
"1","4","1013","難易度4以上で1回クリアしよう","2","5","4","4","1","0","4"
"1","5","1013","難易度5で1回クリアしよう","2","5","5","5","1","0","5"
"10","6","1013","迷宮遺物を累計10個集めよう","3","0","6","0","1","0","6"
"50","7","1013","迷宮遺物を累計50個集めよう","3","0","7","0","1","0","7"
"100","8","1013","迷宮遺物を累計100個集めよう","3","0","8","0","1","0","8"
"10","9","1013","キャラを累計で10人勧誘しよう","4","0","9","0","1","0","9"
"50","10","1013","キャラを累計で50人勧誘しよう","4","0","10","0","1","0","10"
"100","11","1013","キャラを累計で100人勧誘しよう","4","0","11","0","1","0","11"
"150","12","1013","キャラを累計で150人勧誘しよう","4","0","12","0","1","0","12"
"1","13","1013","アルファ強化でノードを1個解放しよう","5","0","13","0","1","0","13"
"5","14","1013","アルファ強化でノードを5個解放しよう","5","0","14","0","1","0","14"
"10","15","1013","アルファ強化でノードを10個解放しよう","5","0","15","0","1","0","15"
"15","16","1013","アルファ強化でノードを15個解放しよう","5","0","16","0","1","0","16"
"20","17","1013","アルファ強化でノードを20個解放しよう","5","0","17","0","1","0","17"
"25","18","1013","アルファ強化でノードを25個解放しよう","5","0","18","0","1","0","18"
"30","19","1013","アルファ強化でノードを30個解放しよう","5","0","19","0","1","0","19"
"40","20","1013","アルファ強化でノードを40個解放しよう","5","0","20","0","1","0","20"
"3","21","1013","難易度2以上で3回クリアしよう（スキップを除く）","2","5","21","2","1","0","21"
"5","22","1013","難易度2以上で5回クリアしよう（スキップを除く）","2","5","22","2","1","0","22"
"10","23","1013","難易度2以上で10回クリアしよう（スキップを除く）","2","5","23","2","1","0","23"
"12","24","1013","難易度2以上で12回クリアしよう（スキップを除く）","2","5","24","2","1","0","24"
"14","25","1013","難易度2以上で14回クリアしよう（スキップを除く）","2","5","25","2","1","0","25"
"16","26","1013","難易度2以上で16回クリアしよう（スキップを除く）","2","5","26","2","1","0","26"
"18","27","1013","難易度2以上で18回クリアしよう（スキップを除く）","2","5","27","2","1","0","27"
"20","28","1013","難易度2以上で20回クリアしよう（スキップを除く）","2","5","28","2","1","0","28"
"1","29","1013","キャラを20人以上勧誘した状態でクリアしよう","6","20","29","0","1","0","29"
"1","30","1013","キャラを25人以上勧誘した状態でクリアしよう","6","25","30","0","1","0","30"
"1","31","1013","キャラを30人以上勧誘した状態でクリアしよう","6","30","31","0","1","0","31"
"1","32","1013","迷宮遺物を15個以上所持した状態でクリアしよう","8","15","32","0","1","0","32"
"1","33","1013","迷宮遺物を20個以上所持した状態でクリアしよう","8","20","33","0","1","0","33"
"1","34","1013","迷宮遺物を25個以上所持した状態でクリアしよう","8","25","34","0","1","0","34"
"1","35","1014","【美食殿】難易度3以上で1回クリアしよう","2","5","35","3","2","1","35"
"1","36","1014","【美食殿】難易度4以上で1回クリアしよう","2","5","36","4","2","1","36"
"1","37","1014","【美食殿】難易度5で1回クリアしよう","2","5","37","5","2","1","37"
"1","38","1014","【トゥインクルウィッシュ】難易度3以上で1回クリアしよう","2","5","38","3","2","2","38"
"1","39","1014","【トゥインクルウィッシュ】難易度4以上で1回クリアしよう","2","5","39","4","2","2","39"
"1","40","1014","【トゥインクルウィッシュ】難易度5で1回クリアしよう","2","5","40","5","2","2","40"
"1","41","1014","【サレンディア救護院】難易度3以上で1回クリアしよう","2","5","41","3","2","3","41"
"1","42","1014","【サレンディア救護院】難易度4以上で1回クリアしよう","2","5","42","4","2","3","42"
"1","43","1014","【サレンディア救護院】難易度5で1回クリアしよう","2","5","43","5","2","3","43"
"1","44","1014","【王宮騎士団（NIGHTMARE）】難易度3以上で1回クリアしよう","2","5","44","3","2","4","44"
"1","45","1014","【王宮騎士団（NIGHTMARE）】難易度4以上で1回クリアしよう","2","5","45","4","2","4","45"
"1","46","1014","【王宮騎士団（NIGHTMARE）】難易度5で1回クリアしよう","2","5","46","5","2","4","46"
"1","47","1014","【ラビリンス】難易度3以上で1回クリアしよう","2","5","47","3","2","5","47"
"1","48","1014","【ラビリンス】難易度4以上で1回クリアしよう","2","5","48","4","2","5","48"
"1","49","1014","【ラビリンス】難易度5で1回クリアしよう","2","5","49","5","2","5","49"
