811627d7e89e42d2601183341d41c1fcc047396e0f5a1782076cf5c9fc6830da,b62eec9525d4db83424b8f8d90f1d9b65763779bcc940de1d639d6124ba3d3b3,6817020d9dd9520741827695f39e4ba0c7074fed2d64f5ec681761740b7b2edd,4b7833219acfb086532a82803ace2f9f3fb6a2c2ef3029ae9ae93ed7853591c2,910d91b6786b441236798cfbf0f64c0f8559e064d4da9020baa181462f935904,11b2bcdd3280afb6c10cb1fb9d72887c08811b74e217c719180bcfc4fb64a902,ec60d4c237d2562333bed603816733d06eb99e7a3f5e54b3985377a97404e9f6,7aff26a766d604750c85e97796186ab4f6ce719d216f8224cf423bd46c3fe586,95affcbfe5e939e7992b99856d0c5a671dbfbd9db0a53da63616a897f1767206,cf8c7f56f406764a7733636d7e45bc88be5dcebc44919148643519e771723a4f,c6cab19cb3eced5e0950ee1fb2b1a719c39070370a4ad2b58c04a58eaafd352a,275b6ee105de4a25cdf9156ad20ce09e4226ebb8e249056ddd64cd947b78b1f6,6545c2c60314e627b32b124a19f35b33c7c7384f95a0dc730a83d7821468ff09,4b3a31c50cedcd14168d0bf2fe779b894f61f27a8013c8a22f0c8c3c6825a221,4f575394dc8f02cc10d4888f7fd6ee5391ac5daee440ec1c9b0c3ca4f2599674,75a8360dedcf39eb192edff53a2b938c9c4f54fe81b1ab8dfe63e98c50e98766,160f9d865917c396aab29a9bf2891806ae1bd7eb5d69a3650a7b64c9df712394,096a27b23cf8ab39de623a5d7b7a72f8fe8d77e2d8a5a23ae0b400d28f49029c,ce5b27950f19bae506c5f00ebe01620019065bc574b7b81a10fd153b8ff8b0de
"0","0","10010","610010401","1.5","5","610010004","0","2","0","5010321","0","0","0","0","90","0","","1"
"0","0","10010","610010402","1.5","5","610010005","108","3","0","5010322","0","0","0","0","90","0","","2"
"0","0","10010","0","1.5","5","610010006","0","1","0","0","0","0","0","0","90","0","","3"
"5011321","0","10011","0","1.5","5","610011004","0","1","0","5011322","70","0","0","0","90","0","","1"
"0","0","10011","0","1.5","5","610011005","0","1","0","5011323","40","0","0","0","90","0","","2"
"0","0","10011","0","1.5","5","610011006","0","1","0","0","0","0","0","0","90","0","","3"
"0","1","10012","610012401","1.5","5","610012004","0","2","600","5012321","0","0","0","0","90","3","","1"
"0","1","10012","0","1.5","5","610012005","0","1","0","5012322","51","0","0","0","90","0","","2"
"0","1","10012","0","1.5","5","610012006","0","1","0","0","0","0","0","0","90","0","","3"
"0","1","10013","610013401","1.5","5","610013004","0","2","600","5013321","0","0","0.9","50","90","3","","1"
"0","0","10013","0","1.5","5","610013005","0","1","0","5013322","50","0","1","84","90","0","","2"
"0","0","10013","0","1.5","5","610013006","0","1","0","0","0","0","1","84","90","0","","3"
"0","1","10015","610015401","1.5","5","610015004","0","2","600","5015321","0","0","0.9","1","90","3","","1"
"0","1","10015","0","1.5","5","610015005","0","1","0","5015322","50","0","1.3","-50","90","0","","2"
"0","1","10015","0","1.5","5","610015006","0","1","0","0","0","0","1.3","-50","90","0","","3"
"0","1","10017","610017401","1.5","5","610017004","0","2","600","5017321","0","0","0.9","50","90","3","","1"
"0","1","10017","0","1.5","5","610017005","0","1","0","5017322","50","0","1","84","90","0","","2"
