55710bfec4c79a6d5355c57e83c2fe7b875cc6282fb2b37e764a29ea7c86f536,914f37210d9ec7da1af248e42ed6ada3eb5197d4d3cd50c8eeb40dcebf34eb6c,7157d47cf51827fc637da780ff20ac8be33312c94fbe78ddafa81f94a7f31815,e8e477322e01f2eca5418bbf2063381d7859131ce6e02d77edbb2ff716a0e037
"10000","1","1","ＨＰ"
"10000","1","2","物理攻撃力"
"10000","1","3","物理防御力"
"10000","1","4","魔法攻撃力"
"10000","1","5","魔法防御力"
"10000","1","6","物理クリティカル"
"10000","1","7","魔法クリティカル"
"1","0","8","回避"
"1","0","9","ＨＰ吸収"
"1","0","10","ＨＰ自動回復"
"1","0","11","ＴＰ自動回復"
"1","0","12","物理貫通ダメージ"
"1","0","13","魔法貫通ダメージ"
"1","0","14","ＴＰ上昇"
"1","0","15","回復量上昇"
"1","0","16","ＴＰ消費軽減"
"1","0","17","命中"
"100","1","100","物理クリティカルダメージ"
"100","1","101","魔法クリティカルダメージ"
"100","1","102","物理与ダメージ"
"100","1","103","魔法与ダメージ"
"10000","1","104","属性ボーナス"
