ef04a6ac6ed8311efdcf7a3894a576dc499e0e809c9349c50c65fda08252bd60,14ad8825dbd6d5b9352ea989b8bb35a2885a372729143287fe7a5257ab3761a6,9449d7b1f4fa0733479b2c0faf3577fea94abe7ee62c24b3f1a1af503c3c22b6,e16d10f5d8e32f1da7e4fe987786886aa702f63e20217880d403fb3b43717439,ca51b526697a7c68f2b10de276a54c30f93b3df82be96406e85093b16aecc8f8,23b0f032047995c7f52c5989a8599f3c7470064b722879b1f0de2f64138b15bd,d7d8f4171b142cf0e9abf01fabf9e94284a7e012833dc0c45fc6075b0469bf00,9f643e279848ee6730dc943a57653a06169b19d649a88e438104f3c23f5a056c
"30050237","0","10050640","3000","0","0","10050650","30050236"
"30050414","0","10050659","3000","0","0","10050670","30050413"
"30050422","0","10050723","3000","30050423","0","10050735","30050421"
"30050425","0","10050818","3000","30050426","0","10050360","30050424"
"30060188","30060190","10060402","3000","30060189","0","10060413","30060187"
"30060192","0","10060480","3000","30060193","0","10060492","30060191"
"30060195","30060197","10060542","3000","30060196","0","10060545","30060194"
"30060209","30060211","10060591","3000","30060210","30060212","10060606","30060208"
"30070187","30070189","10070608","3000","30070188","0","10070626","30070186"
"30070199","30070201","10070914","3000","30070200","30070202","10070926","30070198"
"30070207","30070209","10071038","3000","30070208","30070210","10071052","30070206"
"30070194","30070196","10071117","3000","30070195","0","10071131","30070193"
"30080237","0","10080640","3000","0","0","10080650","30080236"
"30080414","0","10080659","3000","0","0","10080670","30080413"
"30080422","0","10080723","3000","30080423","0","10080735","30080421"
"30080425","0","10080818","3000","30080426","0","10080360","30080424"
