e0b70d4c090645342fb324a1ec58cac03ea6dff48ee1e0d283dcba909532caeb,27f8fff6eedb351d09a3d60defbc68d7d2551278086655d4cedd7ffae669183f,45c8adf9b8729159f51bf1e05f0fb0dc8fa340acb6449c78a0406cd313daa572,93f7b5bc71c77de6742eb836110f604f6d5036e562bf239ca66670e0f405b055,5a24c2ce3f375fb37b3add15a5339b11bae4d48036b0dc7199e3c4c0aaac1ec0
"9105801","31058","2","10","1"
"9102001","31020","2","10","2"
"9100201","31002","2","10","3"
"9105501","31055","2","10","4"
"9101601","31016","2","10","5"
"9112401","31124","2","10","6"
"9104401","31044","2","10","7"
"9102301","31023","2","10","8"
"9105901","31059","2","10","9"
"9104201","31042","2","10","10"
"9104001","31040","2","10","11"
"9102101","31021","2","10","12"
"9106301","31063","2","10","13"
"9106501","31065","2","10","14"
"9100901","31009","2","10","15"
"9101701","31017","2","10","16"
"9105601","31056","2","10","17"
"9105301","31053","2","10","18"
"9102701","31027","2","10","19"
"9110801","31108","2","10","20"
"9104301","31043","2","10","21"
"9112501","31125","2","10","22"
"9100401","31004","2","10","23"
"9103701","31037","2","10","24"
"9106101","31061","2","10","25"
"9101801","31018","2","10","26"
"9101301","31013","2","10","27"
"9101101","31011","2","10","28"
"9100101","31001","2","10","29"
"9103001","31030","2","10","30"
"9106001","31060","2","10","31"
"9101501","31015","2","10","32"
"9105401","31054","2","10","33"
"9110901","31109","2","10","34"
"9101001","31010","2","10","35"
"9106601","31066","2","10","36"
"9102801","31028","2","10","37"
"9100801","31008","2","10","38"
"9104901","31049","2","10","39"
"9104701","31047","2","10","40"
"9101401","31014","2","10","41"
"9109401","31094","2","10","42"
"9103801","31038","2","10","43"
"9104801","31048","2","10","44"
"9104501","31045","2","10","45"
"9100601","31022","2","10","46"
"9100601","31006","2","10","47"
"9100501","31005","2","10","48"
"9112601","31126","2","10","49"
"9109201","31092","2","10","50"
"9102501","31025","2","10","51"
"9103101","31031","2","10","52"
"9101201","31012","2","10","53"
"9102601","31026","2","10","54"
"9105001","31050","2","10","55"
"9100301","31003","2","10","56"
"9100701","31007","2","10","57"
"9102901","31029","2","10","58"
"9103601","31036","2","10","59"
"9109301","31093","2","10","60"
"9107101","31071","2","10","61"
"9111001","31110","2","10","62"
"9104601","31046","2","10","63"
"9103301","31033","2","10","64"
"9105101","31051","2","10","65"
"9105701","31057","2","10","66"
"9103201","31032","2","10","67"
"9105201","31052","2","10","68"
"9103401","31034","2","10","69"
"9107001","31070","2","10","70"
"9105802","31058","2","10","71"
"9102002","31020","2","10","72"
"9100202","31002","2","10","73"
"9105502","31055","2","10","74"
"9101602","31016","2","10","75"
"9104402","31044","2","10","77"
"9102302","31023","2","10","78"
"9105902","31059","2","10","79"
"9104202","31042","2","10","80"
"9104002","31040","2","10","81"
"9102102","31021","2","10","82"
"9106302","31063","2","10","83"
"9106502","31065","2","10","84"
"9100902","31009","2","10","85"
"9101702","31017","2","10","86"
"9105602","31056","2","10","87"
"9106802","31068","2","10","88"
"9105302","31053","2","10","89"
"9102702","31027","2","10","90"
"9110802","31108","2","10","91"
"9104302","31043","2","10","92"
"9100402","31004","2","10","94"
"9103702","31037","2","10","95"
"9106102","31061","2","10","96"
"9101802","31018","2","10","97"
"9101302","31013","2","10","98"
"9101102","31011","2","10","99"
"9100102","31001","2","10","100"
"9103002","31030","2","10","101"
"9106002","31060","2","10","102"
"9101502","31015","2","10","103"
"9105402","31054","2","10","104"
"9110902","31109","2","10","105"
"9118002","31180","2","10","106"
"9101002","31010","2","10","107"
"9106602","31066","2","10","108"
"9102802","31028","2","10","109"
"9100802","31008","2","10","110"
"9104902","31049","2","10","111"
"9104702","31047","2","10","112"
"9101402","31014","2","10","113"
"9109402","31094","2","10","114"
"9103802","31038","2","10","115"
"9104802","31048","2","10","116"
"9104502","31045","2","10","117"
"9100602","31022","2","10","118"
"9100602","31006","2","10","119"
"9100502","31005","2","10","120"
"9109202","31092","2","10","122"
"9102502","31025","2","10","123"
"9103102","31031","2","10","124"
"9101202","31012","2","10","125"
"9102602","31026","2","10","126"
"9105002","31050","2","10","127"
"9100302","31003","2","10","128"
"9100702","31007","2","10","129"
"9102902","31029","2","10","130"
"9103602","31036","2","10","131"
"9109302","31093","2","10","132"
"9107102","31071","2","10","133"
"9111002","31110","2","10","134"
"9104602","31046","2","10","135"
"9103302","31033","2","10","136"
"9105102","31051","2","10","137"
"9105702","31057","2","10","138"
"9103202","31032","2","10","139"
"9105202","31052","2","10","140"
"9103402","31034","2","10","141"
"9107002","31070","2","10","142"
"9105803","31058","2","10","143"
"9102003","31020","2","10","144"
"9100203","31002","2","10","145"
"9105503","31055","2","10","146"
"9101603","31016","2","10","147"
"9106703","31067","2","10","148"
"9104403","31044","2","10","149"
"9102303","31023","2","10","150"
"9105903","31059","2","10","151"
"9104203","31042","2","10","152"
"9104003","31040","2","10","153"
"9102103","31021","2","10","154"
"9106303","31063","2","10","155"
"9106503","31065","2","10","156"
"9100903","31009","2","10","157"
"9101703","31017","2","10","158"
"9105603","31056","2","10","159"
"9106803","31068","2","10","160"
"9105303","31053","2","10","161"
"9102703","31027","2","10","162"
"9110803","31108","2","10","163"
"9104303","31043","2","10","164"
"9100403","31004","2","10","165"
"9103703","31037","2","10","166"
"9106103","31061","2","10","167"
"9101803","31018","2","10","168"
"9101303","31013","2","10","169"
"9101103","31011","2","10","170"
"9100103","31001","2","10","171"
"9103003","31030","2","10","172"
"9106003","31060","2","10","173"
"9101503","31015","2","10","174"
