b5e8cb91c5a6bc445e9cf7186e3a375b66e4a313bf0adb90393b4f863e7d4a22,3363ff1118a63def350539585e3c83d4b61822758d897edca58a4a05d60b9fe2,7c23dafadc0c133b3055f771017aa1b1e6ab0f40a907344a4276e9adb93141dc,ac93ac65cbdb88bc23152988b90f17cc065fd3d3fb4ad4d74a311c91f6375b04,bc974dcd1b0057a5b0e813aa10512ff47dba91900d0aeaae64750b623f5f193e
"0","0","1","0","0"
"0","0","2","0","0"
"0","0","3","0","0"
"2","0","4","0","0"
"2","0","5","0","0"
"2","0","6","0","0"
"3","0","7","0","0"
"3","0","8","0","0"
"3","0","9","0","0"
"4","0","10","0","0"
"4","0","11","0","0"
"4","0","12","0","0"
"0","0","13","0","0"
"0","0","14","0","0"
"0","0","15","0","0"
"0","2","16","0","0"
"0","2","17","0","0"
"0","2","18","0","0"
"0","3","19","0","0"
"0","3","20","0","0"
"0","3","21","0","0"
"3","0","22","0","0"
"3","0","23","0","0"
"2","0","24","0","0"
"2","0","25","0","0"
"0","2","26","0","0"
"0","2","27","0","0"
"2","0","28","3","0"
"2","0","29","3","0"
"3","2","30","0","0"
"3","2","31","0","0"
"3","3","32","0","0"
"0","3","33","0","0"
"3","0","34","4","0"
"0","0","35","0","0"
"2","2","36","0","0"
"2","2","37","0","0"
"4","3","38","0","0"
