550b04bd0d69bab349c7254b4fd97afbfaedde378893668c7d55852b19f2832b,19db807e9fb0d3e8cc5e93d11ceda1c88e2aef2a351e2355cffbac84eb2cde7a,2280f691dfdbdb22024a720100b2742d02d87ecdfbbb55c207f0ad234d91f229,4092b2d1610102ea577d7464950bca25692090c252071ad8a8aca6db7d0d3e0b
"1","1004601","5046601","1004601"
"1","1004801","5048007","1004801"
"2","1004802","1004801","1004802"
"1","1005601","5056601","1005601"
"1","1006101","5061601","1006101"
"3","1006102","5061602","1006102"
"1","1006103","5061601","1006103"
"4","1006601","5027704","1006601"
"5","1007001","0","1007001"
"1","1007301","5046601","1007301"
"1","1007501","5048007","1007501"
"2","1007502","1004801","1007502"
"6","1008201","0","1008201"
"1","1008301","5056601","1008301"
"1","1008901","5061601","1008901"
"3","1008902","5061602","1008902"
"1","1008903","5061601","1008903"
"3","1009201","5092601","1009201"
"3","1010001","5100601","1010001"
"3","1010201","5100601","1010201"
"6","1010901","0","1010901"
"3","1011901","5092601","1011901"
"3","1012701","5100601","1012701"
"1","2003201","5056601","2003201"
