abfecaa8aa49249fa86405406196291b7c56c37225162a62f0c7edef2d30e3c3,5609327f265cf74097e8fe1c5f3073c14a74af14616d0a081fde164d47049775,43df7f45b41368eb630d3d8ae39694ced27da5992e76d2ee80e432afb23e713c
"180701","118301","20114"
"180701","118301","20115"
"180701","118401","20116"
"180701","118401","20117"
"180701","118401","20118"
"180801","120501","20123"
"180801","120401","20124"
"180801","120601","20125"
"180801","120401","20126"
"180801","120501","20127"
"180801","120601","20128"
"180801","120601","30157"
"180901","121801","20129"
"180901","121801","20130"
"180901","121701","20131"
"180901","121801","20132"
"180901","121701","20133"
"180901","121701","20134"
"180901","121701","20135"
"181001","124301","20148"
"181001","124301","20149"
"181001","124401","20150"
"181001","124401","20151"
"181101","128101","20167"
"181101","128101","20168"
"181101","128101","20169"
"181101","128101","20170"
"181101","128201","20171"
"181101","128201","20172"
"181101","128101","20175"
