182fa8b9ecca1a3dd87d546bc16f1c632ad55d7fbe82f4fd6f6ba83a3d6a94e5,d48d9fafa8c1077f7f21caf3ddcdd14a22235e3960163dbe25163be30baa285f,a62d40f0f6fa87fd0b56f604950ee7f8244dad9e470d9253503201aa7c0dbe6a
"icon_unit_sort_physics","1","物理"
"icon_unit_sort_magic","2","魔法"
"icon_unit_role_001","100","アタッカー"
"icon_unit_role_002","101","ブレイカー"
"icon_unit_role_003","102","バッファー"
"icon_unit_role_004","103","デバッファー"
"icon_unit_role_005","104","ブースター"
"icon_unit_role_006","105","ヒーラー"
"icon_unit_role_007","106","タンク"
"icon_unit_role_008","107","ジャマー"
"icon_unit_sort_single_attack","200","単体"
"icon_unit_sort_range_attack","201","範囲"
"icon_unit_sort_slip_attack","203","継続ダメージ"
"icon_status_13","301","物攻ダウン"
"icon_status_15","302","魔攻ダウン"
"icon_status_14","311","物防ダウン"
"icon_status_16","312","魔防ダウン"
"icon_status_22","321","速度ダウン"
"icon_status_19","331","ＴＰ上昇ダウン"
"icon_status_19","332","ＴＰダウン"
"icon_status_24","401","物理無効"
"icon_status_25","402","魔法無効"
"icon_status_26","403","物理吸収"
"icon_status_27","404","魔法吸収"
"icon_status_28","405","物理魔法無効"
"icon_status_29","406","物理魔法吸収"
"icon_status_01","501","物攻アップ"
"icon_status_03","502","魔攻アップ"
"icon_status_02","511","物防アップ"
"icon_status_04","512","魔防アップ"
"icon_status_09","521","速度アップ"
"icon_status_152","522","加算速度アップ"
"icon_status_06","531","物クリアップ"
"icon_status_06","532","魔クリアップ"
"icon_status_67","533","物クリダメアップ"
"icon_status_69","534","魔クリダメアップ"
"icon_status_07","541","ＴＰ上昇アップ"
"common_unit_icon_front","700","前衛"
"common_unit_icon_middle","701","中衛"
"common_unit_icon_back","702","後衛"
"icon_status_08","800","ＨＰ回復"
"icon_status_07","801","ＴＰ回復"
"icon_status_08","802","継続ＨＰ回復"
"icon_status_07","803","継続ＴＰ回復"
"icon_status_43","901","行動不能"
"icon_status_36","902","魅了・混乱"
"icon_status_37","903","挑発"
"icon_status_132","904","飛行"
"icon_status_203","905","調和"
"icon_status_75","906","ダメージカット"
"icon_status_129","907","行動不能無効"
"","10001","タンク"
"","10002","前衛"
"","10003","中衛"
"","10004","後衛"
"","10005","物理攻撃"
"","10006","魔法攻撃"
"","10007","範囲攻撃"
"","10008","継続ダメージ"
"","10009","物防ダウン"
"","10010","魔防ダウン"
"","10011","物攻ダウン"
"","10012","魔攻ダウン"
"","10013","物防アップ"
"","10014","魔防アップ"
"","10015","TPダウン"
"","10016","回復"
"","10017","バリア"
"","10018","挑発"
"","10019","行動不能"
"","10020","召喚"
