b7d4f6e0442a07e41570a60ad8ee4ded7b9c2e343a04d2b4c2da85f6e0c932c9,30714ef53e5fe42b522abeaf5fcdb298a3dee322dbca2382dc42583ecb1fd114,151f48aef205953f040c46bd368ecf90c34d6e4e21e8aaf9b0505602bab25d61,5d5be588e49d1ef99906607dcc67a16cb194c5192940fe53bffdac360049e191,42aa93d262e3584ed4b22c8e67706fc4e56cb15a182e9b12efc16011cdbb8a8c,a8e61e3931a7997caedba16fa43c4014f2b02c4d32adda154afc3e90de51d475,b4a31598053ba45c37dc144c832569e812327594f43b5eedf739a52810845dab,6735ff7bdee0a932951b3b5e5ac309aebb49b516ec3dc00a376512f58fb58d75
"11001","1.ジュノー平野","101","2030/12/17 14:59:59","bgm_M61","bgm_M61","2015/12/17 15:00:00","1.ジュノー平野"
"11002","2.パラス高原","101","2030/12/17 14:59:59","bgm_M61_02","bgm_M61","2015/12/17 15:00:00","2.パラス高原"
"11003","3.ヘーベ丘陵","101","2030/12/17 14:59:59","bgm_M61_03","bgm_M61","2015/12/17 15:00:00","3.ヘーベ丘陵"
"11004","4.ベスタ渓谷","101","2030/12/17 14:59:59","bgm_M61_04","bgm_M61","2015/12/17 15:00:00","4.ベスタ渓谷"
"11005","5.ケレス森林","101","2030/12/17 14:59:59","bgm_M62_01","bgm_M62","2015/12/17 15:00:00","5.ケレス森林"
"11006","6.フローラ湖畔","101","2030/12/17 14:59:59","bgm_M62_02","bgm_M62","2015/12/17 15:00:00","6.フローラ湖畔"
"11007","7.メティス大瀑布","101","2030/12/17 14:59:59","bgm_M62_03","bgm_M62","2015/12/17 15:00:00","7.メティス大瀑布"
"11008","8.イリス樹海","101","2030/12/17 14:59:59","bgm_M42_02","bgm_M42","2015/12/17 15:00:00","8.イリス樹海"
"11009","9.フリガ雪原","101","2030/12/17 14:59:59","bgm_M58","bgm_M58","2015/12/17 15:00:00","9.フリガ雪原"
"11010","10.ロレッタ海岸","101","2030/12/17 14:59:59","bgm_M101","bgm_M101","2015/12/17 15:00:00","10.ロレッタ海岸"
"11011","11.ゲヌア砂漠","101","2030/12/17 14:59:59","bgm_M93","bgm_M93","2015/12/17 15:00:00","11.ゲヌア砂漠"
"11012","12.ボノニア砂丘","101","2030/12/17 14:59:59","bgm_M94","bgm_M94","2015/12/17 15:00:00","12.ボノニア砂丘"
"11013","13.ドロテア湿地","101","2030/12/17 14:59:59","bgm_M118","bgm_M118","2015/12/17 15:00:00","13.ドロテア湿地"
"11014","14.ウジェニア熱地","101","2030/12/17 14:59:59","bgm_M95","bgm_M95","2015/12/17 15:00:00","14.ウジェニア熱地"
"11015","15.タリア火山","101","2030/12/17 14:59:59","bgm_M96","bgm_M96","2015/12/17 15:00:00","15.タリア火山"
"11016","16.テミス銀嶺","101","2030/12/17 14:59:59","bgm_M140","bgm_M140","2015/12/17 15:00:00","16.テミス銀嶺"
"11017","17.フィデス氷原","101","2030/12/17 14:59:59","bgm_M141","bgm_M141","2015/12/17 15:00:00","17.フィデス氷原"
"11018","18.ファエトン\n　　　　　原野・北部","102","2030/12/17 14:59:59","bgm_M179","bgm_M179","2015/12/17 15:00:00","18.ファエトン原野・北部"
"11019","19.ファエトン\n　　　　　原野・南部","102","2030/12/17 14:59:59","bgm_M179","bgm_M179","2015/12/17 15:00:00","19.ファエトン原野・南部"
"11020","20.カスタリア\n　　　　　樹林・西部","102","2030/12/17 14:59:59","bgm_M180","bgm_M180","2015/12/17 15:00:00","20.カスタリア樹林・西部"
"11021","21.カスタリア\n　　　　　樹林・東部","102","2030/12/17 14:59:59","bgm_M180","bgm_M180","2015/12/17 15:00:00","21.カスタリア樹林・東部"
"11022","22.マティルド\n　　　　　岩峯・南部","102","2030/12/17 14:59:59","bgm_M232","bgm_M232","2015/12/17 15:00:00","22.マティルド岩峯・南部"
"11023","23.マティルド\n　　　　　岩峯・北部","102","2030/12/17 14:59:59","bgm_M232","bgm_M232","2015/12/17 15:00:00","23.マティルド岩峯・北部"
"11024","24.レディウス\n　　　　　群峰・西麓","102","2030/12/17 14:59:59","bgm_M233","bgm_M233","2015/12/17 15:00:00","24.レディウス群峰・西麓"
