8d8bdff7d72209dc03e9c59d35e7a267a4051a9680dcee32b5fe644ab4884930,00233e2285cbe431664b73fc559502f2ae5e0a513d5f6afab2aa9566fbdf01b5,ab9c3436b4f6712464ae2e4d181c7dc45f884d41c4d9a9d4e78edc5b0974fd0d,c75a41313204ee54295c980964ae84c41d43c0246fa2790720dceb2daa9f61f7,44da06de12fca9f9ec194cd4d57c976773436d3951369d1c96adce7105b0d4d3,fb7a23656367aa047ef79f35719640c4760e06c3a22dfe0b71261f6d35754e1c,085aaf4d884009b4fa492b0b623c7c08fda9cb5576a89c05f7bddb550e7c283d,cf3ff6d850feaa15ccbf2d1258313e9a4a4f800f133e5e2d42a8c64a10facea0,3439df703e9b75c6304354e85662acb1ad7b475704a42b1d1d385befc982b378,b18ede92b2828f314c856d5a9292ff81b4d0ba78d7df3a1f2ed51e4a7c961984,ee05b74da744a1ef27d0242894abc9ea3594f2d9e6336f5062610269a55a6830
"1","110","-209.3","-421","0","1","101","1.35","110931","11010001","nyx_idle_normal"
"1","110","-182.5","121.8","0","1","101","1.35","104831","11010002","nyx_idle_normal"
"1","110","-182.5","227.7","0","1","101","1.35","104631","11010003","nyx_idle_normal"
"1","110","-182.5","340.3","1","1","101","1.35","103231","11010004","nyx_talk_normal"
"1","110","-182.5","449.6","1","1","101","1.35","103431","11010005","nyx_idle_normal"
"2","120","-209.3","-421","0","5","101","1.35","2","11010006","NoItem"
"1","0","1","0","","31","101","1","1","11010007",""
"15","-300","1","0","","31","101","0","3","11010008",""
"15","-300","1.5","0","","31","101","0","4","11010009",""
"bgm_M347","","","","","25","101","","bgm_M347","11010010",""
"2","","","","","93","101","","","11010011",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010012",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010013",""
"110931","10","","","","11","101","","ちぇる～ん♪\n最初はとにかく\nインパクト！","11010014",""
"0.4","","","","","93","101","","","11010015",""
"3","","","","","32","101","","0","11010016",""
"3","","","","","32","101","","1","11010017",""
"11010014","","","","","91","101","","","11010018",""
"110931","10","","","","11","101","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","11010019",""
"1","","","","","93","101","","","11010020",""
"103231","1","","","","3","101","0.2","nyx_idle_joy1","11010021",""
"104631","1","","","","3","101","0.2","nyx_cmn_05","11010022",""
"11010019","","","","","91","101","","","11010023",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010024",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010025",""
"110931","7","","","","11","101","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","11010026",""
"0.4","","","","","93","101","","","11010027",""
"3","","","","","32","101","","0","11010028",""
"3","","","","","32","101","","1","11010029",""
"0.6","","","","","93","101","","","11010030",""
"103431","1","","","","3","101","0.2","nyx_talk_bitter","11010031",""
"104631","1","","","","3","101","0.2","nyx_cmn_04","11010032",""
"2","","","","","93","101","","","11010033",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010034",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010035",""
"0.4","","","","","93","101","","","11010036",""
"3","","","","","32","101","","0","11010037",""
"4","","","","","32","101","","1","11010038",""
"11010026","","","","","91","101","","","11010039",""
"103431","1","","","","3","101","0.2","nyx_idle_bitter","11010040",""
"104831","1","","","","3","101","0.2","nyx_talk_sad","11010041",""
"104831","10","","","","11","101","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","11010042",""
"0","","","","","91","101","","","11010043",""
"110931","","","","","4","101","","1","11010044",""
"2","","","","","4","101","","1","11010045",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010046",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010047",""
"104831","1","","","","3","101","0.2","nyx_idle_sad","11010048",""
"104631","1","","","","3","101","0.2","nyx_talk_sad","11010049",""
"104631","10","","","","11","101","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","11010050",""
"0","","","","","91","101","","","11010051",""
"104631","1","","","","3","101","0.2","nyx_idle_sad","11010052",""
"103431","1","","","","3","101","0.2","nyx_talk_sad","11010053",""
"103431","10","","","","11","101","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","11010054",""
"0","","","","","91","101","","","11010055",""
