34d54fe727a9e71cddec19b2cd49933bdab16117f2eb6da34027460a7cf6d495,a21732077bb1f541b8dab4524d4a87acae4ed9e2c269c057ef84756fe00c1784,aa12baa8fc1c86e9816e7c2be055e5fcb992c0235206fcb6a7da60427a92e99a,7515dff258cb6fd7c0e8db1a06469ead102e38af6f98c04469cc41f4a41c3564,a5f7692240d22291f1fe5bb4a4c2bad02227ae6122f13522413dcf9741582505,6f257b81da16ea1e74d3edd969c79315c64b90f278c722cdb95a1314038c8b21,d94687b63f9052f7bd5dea5dc90a3cfa6e3e02108bb9ceb8625f7c354a0c9722,748218922917accea092e59644e1cb4b739f60e9c4cde992839bb5b26605f9b2,8d645052a52c59ac2bf01e7d0db59a6f4d02baa6b92d9b51344012938253c54d,cfbf87298170995c93388b318fa68e12244f58095976bf814c6821cd5b51a84f,e90c7b6f2c616efc565d165830680c0d85d495cfdbd107702b009ad68f016208,8577cb184f0f6e88025e937455fa93eea854643cc069f2cba9808f37a8fca746,246b78e0a3ca895118002a7dbb3d686fb2aa9ad0349ad7236255755aca9b1cee,f73124371909b3c6d2f1770d4a8b8786a0059ffeb94c1885b227284d52fa8fb0,683d0814292c6cd3a502669a96471967b6ccfd4f516799ea20d019e76731f9d0
"2001","0","1","1","0","0","0","0","0","20011","20012","1","2","7","40001"
"2002","0","1","1","0","0","0","0","0","20021","20022","1","2","7","40001"
"2003","0","1","1","0","0","0","0","0","20031","20032","1","2","7","40001"
"2004","0","1","1","0","0","0","0","0","20041","20042","1","2","7","40001"
"2005","0","1","1","0","0","0","0","0","20051","20052","1","2","7","40001"
"2006","0","1","1","0","0","0","0","0","20061","20062","1","2","7","40001"
"2007","0","1","1","0","0","0","0","0","20071","20072","1","2","7","40001"
"2008","0","1","1","0","0","0","0","0","20081","20082","1","2","7","40001"
"2009","0","1","1","0","0","0","0","0","20091","20092","1","2","7","40001"
"2010","0","1","1","0","0","0","0","0","20101","20102","1","2","7","40001"
"2011","0","1","1","0","0","0","0","0","20111","20112","1","2","7","40001"
"2012","0","1","1","0","0","0","0","0","20121","20122","1","2","7","40001"
"2013","0","1","1","0","0","0","0","0","20131","20132","1","2","7","40001"
"2014","0","1","1","0","0","0","0","0","20141","20142","1","2","7","40001"
"2015","0","1","1","0","0","0","0","0","20151","20152","1","2","7","40001"
"2016","0","1","1","0","0","0","0","0","20161","20162","1","2","7","40001"
"2017","0","1","1","0","0","0","0","0","20171","20172","1","2","7","40001"
"2018","0","1","1","0","0","0","0","0","20181","20182","1","2","7","40001"
"2019","0","1","1","0","0","0","0","0","20191","20192","1","2","7","40001"
"2020","0","1","1","0","0","0","0","0","20201","20202","1","2","7","40001"
"2021","0","1","1","0","0","0","0","0","20211","20212","1","2","7","40001"
"2022","0","1","1","0","0","0","0","0","20221","20222","1","2","7","40001"
"2023","0","1","1","0","0","0","0","0","20231","20232","1","2","7","40001"
"2024","0","1","1","0","0","0","0","0","20241","20242","1","2","7","40001"
"2025","0","1","1","0","0","0","0","0","20251","20252","1","2","7","40001"
"2026","0","1","1","0","0","0","0","0","20261","20262","1","2","7","40001"
"2027","0","1","1","0","0","0","0","0","20271","20272","1","2","7","40001"
"2028","0","1","1","0","0","0","0","0","20281","20282","1","2","7","40001"
"3001","0","1","1","0","0","40","0","0","30011","30012","1","1","7","40001"
"3002","0","1","1","0","0","40","0","0","30021","30022","5","1","7","40001"
"3003","0","1","1","0","0","40","0","0","30031","30032","6","1","7","40001"
"3004","0","1","2","0","0","-58","0","0","30041","30042","6","1","0","40001"
"3005","0","1","1","0","0","-42","0","0","30051","30052","1","1","-20","40001"
"3006","0","1","1","0","0","-42","0","0","30061","30062","5","1","-20","40001"
"3007","0","1","1","0","0","0","0","0","30071","30072","1","1","40","40001"
"3008","0","1","1","0","0","0","0","0","30081","30082","5","1","40","40001"
"3009","0","1","1","0","0","0","0","0","30091","30092","6","1","40","40001"
"4001","0","2","1","0","0","0","0","0","40011","40012","1","1","0","40001"
"4002","0","2","1","0","0","0","0","0","40021","40022","5","1","0","40001"
"4005","0","2","1","0","0","0","0","0","40051","40052","1","1","0","40001"
"4006","0","2","1","0","0","0","0","0","40061","40062","5","1","0","40001"
"4007","0","2","2","0","0","0","0","0","40071","40072","6","1","0","40001"
"4009","0","2","2","0","0","0","0","0","40091","40092","6","1","0","40004"
"4010","0","2","1","0","0","0","0","0","40101","40102","1","1","0","40004"
"4011","0","2","1","0","0","0","0","0","40111","40112","5","1","0","40004"
"4012","0","2","1","0","0","0","0","0","40121","40122","6","1","0","40001"
"4013","0","2","1","0","0","0","0","0","40131","40132","1","1","0","40004"
"4014","0","2","1","0","0","0","0","0","40141","40142","5","1","0","40004"
"4015","0","2","1","0","0","0","0","0","40151","40152","6","1","0","40001"
"4016","0","2","1","0","0","0","0","0","40161","40162","1","1","0","40004"
"4017","0","2","1","0","0","0","0","0","40171","40172","5","1","0","40004"
"4018","0","2","1","0","0","0","0","0","40181","40182","6","1","0","40001"
