7a2d95141abf168af29ea00d5dec1d24f3bbea4c5a5107dab7394a4796c79856,61deacef6ddb7c4d861a9534b1167c96dc1b85aa476996253b6d6c4a84b3e22b,1a0882b3ac90addeb6e9d17e61d29636f8e51ed2c14a0d84e69e3c155ee39a89,9d4dbce4dc27051ab1126b2d58d3fb211cee0f12c5c2a443ca64fac2f26caf86,847511f2c94a88a98d36c90b76f7002be95b8d8b361f446a38bd552b38ef73d7,ee63a0d14264af35d3660738a28d822829364821f0243c598c22ba4bae9558a9,e99569b65b78caa3de6d67590b52a26a2a88b5d92c9bc9e38c0c47838efc05d0,756a35dc06d2c2262eb3f24a91e157eb89332e4e3b12b7789b1a863d0329827c,60881060a5a9a3258350fd3772f63a19a63ca1094a333ecf4193847fbae19788,0de5eaf961ba9d7a6a0aa0e3612d6d76800eb5733fdf4c3b9d50006a966c43f1,84191da84db76310833d72960596b076179511f7ff383b475592c42e065ed8bb
"105811","-278","61001","idle_normal","5146061","1.8","1","100","-225","0","1"
"1058","-278","61002","idle_normal","5146061","1.8","5","101","-225","0","6"
"105911","-288","61003","kokkoro_idle_normal","5146061","1.8","1","103","-385","0","1"
"1059","-288","61004","kokkoro_idle_normal","5146061","1.8","5","104","-385","0","3"
"106011","-278","61005","idle_normal","5146061","1.8","1","106","290","1","1"
"1060","-278","61006","idle_normal","5146061","1.8","5","107","290","1","4"
"200","","61007","","5146061","","13","","","","105811"
"203","","61008","","5146061","","13","","","","105911"
"206","","61009","","5146061","","13","","","","106011"
"7","-174","61010","idle","5146061","0.85","5","15","0","0","7"
"201","8","61011","empty","5146061","1","5","210","290","0","20"
"202","-78","61012","empty","5146061","1","5","211","0","0","20"
"203","16","61013","empty","5146061","1","5","210","-315","0","20"
"21","153","61014","empty","5146061","1","5","60","0","0","21"
"1","1","61015","","5146061","1","31","0","0","","1"
"2","1","61016","","5146061","0","31","0","-57.7","","2"
"10","1","61017","","5146061","0","31","0","0","","10"
"11","1","61018","","5146061","0","31","0","0","","11"
"0","","61019","","5146061","","91","","","","0"
"0","","61020","","5146061","","102","0","","","0"
"0","","61021","","5146061","","93","","","","1"
"doya_in_shy","1","61022","","5146061","0.2","3","0","doya_talk_shy","0","106011"
"doya_in_shy","1","61023","","5146061","0.2","3","0","doya_talk_shy","0","1060"
"vo_apg_0101","","61024","","5146061","","21","0","0","","vo_apg"
"ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1","61025","0","5146061","0","11","10","1","0","106011"
"","","61026","","5146061","","91","","","","0"
"1","","61027","","5146061","","32","","","","2"
"fade105_in","","61028","","5146061","","37","","","","2"
"0","","61029","","5146061","","4","","","","106011"
"0","","61030","","5146061","","4","","","","1060"
"sad_idle_dere_shy","","61031","","5146061","0.5","3","1","","","106011"
"sad_idle_dere_shy","","61032","","5146061","0.5","3","1","","","1060"
"vo_apg_0102","","61033","","5146061","","21","0","0","","vo_apg"
"0102_in","","61034","","5146061","0","3","0","","","201"
"1","","61035","","5146061","","93","","","","4.6"
