de113f306540ff0a11a7e8ccddfcd272f7bec3c4b2705772a35ac4e5a2bd783e,a33270577dc944ae2a8e4073f41fb88a9301a52e4d68c32b92823489b7a954f1,1910a31743437f33ed4f3ea32c2ffd3e46787819cbda006c36f82e830b8eb681,66699c472d803a6e6c0af411b9fdc9a52bc04161b7f5951aa938445acdd00933,c9ea7b19ff2677b1f1d009f8ab42630323fb4441e24ad482630aeefa63e75f4b,9817b5c9557199b362615a528d4dedc044e7a2b515bdf5fc63d17292b6660f6a,f1b670843ab98abb38b732cc8b6f10f21b38768e25a4f7b9cf5814977bf53325,3a182f5e1afe01b4a7b0ede022249b9969e977f16a2e66e2d1a1a172ac2df53e,480cbc16b56f860db1f3795a9606c19a86e1a437cf1d2b8a7b3f799fbcfce916,39dd5d0e8dc1df1059d56669defa04b1615687c5060c9cae9313cfbf834346c8,070d1f3e417731b4cb68a4d9f4f697215e27027fc50c4fcd2ea82f245986eb86
"","se_travel_start_1pt","","23","","0","se_travel","","111","101110001",""
"1","10010","","31","","0","10010","1","111","101110002","0"
"1","10011","","31","","0","10011","1","111","101110003","0"
"0","10020","","31","","0","10020","1","111","101110004","0"
"0.68","1001001","0","1","<weapon>_idle","62","2","-150","111","101110005","-150"
"0.68","1001002","0","1","<weapon>_idle","61","2","-75","111","101110006","-250"
"0.68","1001003","0","1","<weapon>_idle","63","2","-180","111","101110007","-350"
"0.68","1001004","0","1","<weapon>_idle","61","2","-75","111","101110008","-450"
"0.68","1001005","0","1","<weapon>_idle","62","2","-150","111","101110009","-550"
"1","1001001","0","31","","-150","10012","0.68","111","101110010","-150"
"1","1001002","0","31","","-250","10012","0.68","111","101110011","-75"
"1","1001003","0","31","","-350","10012","0.68","111","101110012","-180"
"1","1001004","0","31","","-450","10012","0.68","111","101110013","-75"
"1","1001005","0","31","","-550","10012","0.68","111","101110014","-150"
"0","10030","","31","","0","10030","1","111","101110015","0"
"0","10031","","31","","0","10031","1","111","101110016","0"
"","0","","91","","","","","111","101110017",""
"","1","","32","","","10030","","111","101110018",""
"","0","","91","","","0","","111","101110019",""
"0","<weapon>_run","","3","","1","1001001","0","111","101110020",""
"0","<weapon>_run","","3","","1","1001002","0","111","101110021",""
"0","<weapon>_run","","3","","1","1001003","0","111","101110022",""
"0","<weapon>_run","","3","","1","1001004","0","111","101110023",""
"0","<weapon>_run","","3","","1","1001005","0","111","101110024",""
"","800","","2","","-150","1001001","0","111","101110025","3"
"","700","","2","","-75","1001002","0","111","101110026","3"
"","600","","2","","-180","1001003","0","111","101110027","3"
"","500","","2","","-75","1001004","0","111","101110028","3"
"","400","","2","","-150","1001005","0","111","101110029","3"
"","800","","33","","-150","1001001","0","111","101110030","3"
"","700","","33","","-75","1001002","0","111","101110031","3"
"","600","","33","","-180","1001003","0","111","101110032","3"
"","500","","33","","-75","1001004","0","111","101110033","3"
"","400","","33","","-150","1001005","0","111","101110034","3"
"","1","","32","","","10020","","111","101110035",""
"","0","","93","","","2.5","","111","101110036",""
"","1","","32","","","10031","","111","101110037",""
"","0","","93","","","0.4","","111","101110038",""
"","0","","91","","","0","","111","101110039",""
"","se_travel_start_2pt","","23","","0","se_travel","","211","102110001",""
"1","10010","","31","","0","10010","1","211","102110002","0"
"1","10011","","31","","0","10011","1","211","102110003","0"
"0","10020","","31","","0","10020","1","211","102110004","0"
"0.68","1001001","0","1","<weapon>_idle","62","2","-90","211","102110005","-100"
"0.68","1001002","0","1","<weapon>_idle","61","2","-15","211","102110006","-170"
"0.68","1001003","0","1","<weapon>_idle","63","2","-105","211","102110007","-240"
"0.68","1001004","0","1","<weapon>_idle","61","2","-15","211","102110008","-310"
"0.68","1001005","0","1","<weapon>_idle","62","2","-90","211","102110009","-380"
"1","1001001","0","31","","-100","10012","0.68","211","102110010","-90"
"1","1001002","0","31","","-170","10012","0.68","211","102110011","-15"
"1","1001003","0","31","","-240","10012","0.68","211","102110012","-105"
"1","1001004","0","31","","-310","10012","0.68","211","102110013","-15"
"1","1001005","0","31","","-380","10012","0.68","211","102110014","-90"
"0.68","1002001","0","1","<weapon>_idle","52","2","-240","211","102110015","-500"
"0.68","1002002","0","1","<weapon>_idle","51","2","-165","211","102110016","-570"
"0.68","1002003","0","1","<weapon>_idle","53","2","-255","211","102110017","-640"
"0.68","1002004","0","1","<weapon>_idle","51","2","-165","211","102110018","-710"
"0.68","1002005","0","1","<weapon>_idle","52","2","-240","211","102110019","-780"
"1","1002001","0","31","","-500","10012","0.68","211","102110020","-240"
"1","1002002","0","31","","-570","10012","0.68","211","102110021","-165"
"1","1002003","0","31","","-640","10012","0.68","211","102110022","-255"
"1","1002004","0","31","","-710","10012","0.68","211","102110023","-165"
"1","1002005","0","31","","-780","10012","0.68","211","102110024","-240"
"0","10030","","31","","0","10030","1","211","102110025","0"
"0","10031","","31","","0","10031","1","211","102110026","0"
"","0","","91","","","","","211","102110027",""
"","1","","32","","","10030","","211","102110028",""
"","0","","91","","","0","","211","102110029",""
"0","<weapon>_run","","3","","1","1001001","0","211","102110030",""
"0","<weapon>_run","","3","","1","1001002","0","211","102110031",""
"0","<weapon>_run","","3","","1","1001003","0","211","102110032",""
"0","<weapon>_run","","3","","1","1001004","0","211","102110033",""
"0","<weapon>_run","","3","","1","1001005","0","211","102110034",""
"","850","","2","","-90","1001001","0","211","102110035","3"
"","780","","2","","-15","1001002","0","211","102110036","3"
"","710","","2","","-105","1001003","0","211","102110037","3"
"","640","","2","","-15","1001004","0","211","102110038","3"
"","570","","2","","-90","1001005","0","211","102110039","3"
"","850","","33","","-90","1001001","0","211","102110040","3"
"","780","","33","","-15","1001002","0","211","102110041","3"
"","710","","33","","-105","1001003","0","211","102110042","3"
"","640","","33","","-15","1001004","0","211","102110043","3"
"","570","","33","","-90","1001005","0","211","102110044","3"
"0","<weapon>_run","","3","","1","1002001","0","211","102110045",""
"0","<weapon>_run","","3","","1","1002002","0","211","102110046",""
"0","<weapon>_run","","3","","1","1002003","0","211","102110047",""
"0","<weapon>_run","","3","","1","1002004","0","211","102110048",""
"0","<weapon>_run","","3","","1","1002005","0","211","102110049",""
"","450","","2","","-240","1002001","0","211","102110050","3"
"","380","","2","","-165","1002002","0","211","102110051","3"
"","310","","2","","-255","1002003","0","211","102110052","3"
"","240","","2","","-165","1002004","0","211","102110053","3"
"","170","","2","","-240","1002005","0","211","102110054","3"
"","450","","33","","-240","1002001","0","211","102110055","3"
"","380","","33","","-165","1002002","0","211","102110056","3"
"","310","","33","","-255","1002003","0","211","102110057","3"
"","240","","33","","-165","1002004","0","211","102110058","3"
"","170","","33","","-240","1002005","0","211","102110059","3"
"","1","","32","","","10020","","211","102110060",""
"","0","","93","","","2.5","","211","102110061",""
"","1","","32","","","10031","","211","102110062",""
"","0","","93","","","0.4","","211","102110063",""
"","0","","91","","","0","","211","102110064",""
"","se_travel_start_3pt","","23","","0","se_travel","","311","103110001",""
"1","10010","","31","","0","10010","1","311","103110002","0"
"1","10011","","31","","0","10011","1","311","103110003","0"
"0","10020","","31","","0","10020","1","311","103110004","0"
"0.68","1001001","0","1","<weapon>_idle","62","2","-240","311","103110005","0"
"0.68","1001002","0","1","<weapon>_idle","61","2","-165","311","103110006","-70"
"0.68","1001003","0","1","<weapon>_idle","63","2","-255","311","103110007","-140"
"0.68","1001004","0","1","<weapon>_idle","61","2","-165","311","103110008","-210"
"0.68","1001005","0","1","<weapon>_idle","62","2","-240","311","103110009","-280"
"1","1001001","0","31","","0","10012","0.68","311","103110010","-240"
"1","1001002","0","31","","-70","10012","0.68","311","103110011","-165"
"1","1001003","0","31","","-140","10012","0.68","311","103110012","-255"
"1","1001004","0","31","","-210","10012","0.68","311","103110013","-165"
"1","1001005","0","31","","-280","10012","0.68","311","103110014","-240"
"0.68","1002001","0","1","<weapon>_idle","52","2","-60","311","103110015","-250"
"0.68","1002002","0","1","<weapon>_idle","51","2","15","311","103110016","-320"
"0.68","1002003","0","1","<weapon>_idle","53","2","-75","311","103110017","-390"
"0.68","1002004","0","1","<weapon>_idle","51","2","15","311","103110018","-460"
"0.68","1002005","0","1","<weapon>_idle","52","2","-60","311","103110019","-530"
"1","1002001","0","31","","-250","10012","0.68","311","103110020","-60"
"1","1002002","0","31","","-320","10012","0.68","311","103110021","15"
"1","1002003","0","31","","-390","10012","0.68","311","103110022","-75"
"1","1002004","0","31","","-460","10012","0.68","311","103110023","15"
"1","1002005","0","31","","-530","10012","0.68","311","103110024","-60"
"0.68","1003001","0","1","<weapon>_idle","62","2","-250","311","103110025","-500"
"0.68","1003002","0","1","<weapon>_idle","61","2","-175","311","103110026","-570"
"0.68","1003003","0","1","<weapon>_idle","63","2","-265","311","103110027","-640"
"0.68","1003004","0","1","<weapon>_idle","61","2","-175","311","103110028","-710"
"0.68","1003005","0","1","<weapon>_idle","62","2","-250","311","103110029","-780"
"1","1003001","0","31","","-500","10012","0.68","311","103110030","-250"
"1","1003002","0","31","","-570","10012","0.68","311","103110031","-175"
"1","1003003","0","31","","-640","10012","0.68","311","103110032","-265"
"1","1003004","0","31","","-710","10012","0.68","311","103110033","-175"
"1","1003005","0","31","","-780","10012","0.68","311","103110034","-250"
"0","10030","","31","","0","10030","1","311","103110035","0"
"0","10031","","31","","0","10031","1","311","103110036","0"
"","0","","91","","","","","311","103110037",""
"","1","","32","","","10030","","311","103110038",""
"","0","","91","","","0","","311","103110039",""
"0","<weapon>_run","","3","","1","1001001","0","311","103110040",""
"0","<weapon>_run","","3","","1","1001002","0","311","103110041",""
"0","<weapon>_run","","3","","1","1001003","0","311","103110042",""
"0","<weapon>_run","","3","","1","1001004","0","311","103110043",""
"0","<weapon>_run","","3","","1","1001005","0","311","103110044",""
"","950","","2","","-240","1001001","0","311","103110045","3"
"","880","","2","","-165","1001002","0","311","103110046","3"
"","810","","2","","-255","1001003","0","311","103110047","3"
