169e2830361e4626c13c3bc41a67e9544596eff669a1b8eb27380b0649ec97d1,1396efe0479dc90a0f07fa3aed3d7c54fa0c7fe05fe4d61489d114ccdac7c0dd,496a42d746a770c9d9adb25d393a1d3d44df7d677c07372cb8c91538ae178a49,cd917eb22f7e138625918aed327765a747ed0558d674ff974501b85c9b76149b,876e06bd374b7b1fe702f6860b9a49aa0eee537b534efb5780f3a471c9d8c809
"1","1","1","0","2700"
"2","2","1","0","3600"
"3","3","1","0","5400"
"1","4","1","1","3600"
"2","5","1","1","5400"
"3","6","1","1","7200"
"1","7","2","0","1800"
"2","8","2","0","2700"
"3","9","2","0","3600"
"1","10","2","1","2700"
"2","11","2","1","4050"
"3","12","2","1","5400"
"1","13","3","0","1800"
"2","14","3","0","2700"
"3","15","3","0","3600"
"1","16","3","1","2700"
"2","17","3","1","4050"
"3","18","3","1","5400"
"1","19","4","0","1800"
"2","20","4","0","2700"
"3","21","4","0","3600"
"1","22","4","1","2700"
"2","23","4","1","4050"
"3","24","4","1","5400"
