d4c2dfe5f9c343a79b078939003f7f2b2a25fdb97087189d3ba5eb48d91a90b9,cf9626c5a863ead699025551eeccf807afe853816fd9b23aeb6001c151db335e,46cef0102acf84fa7c42dac50f15e6b78d058518d3b21c504ed7e0835b56862c,2799f3ab27e9297c7a70e881cf23b9ab7fc4fc0f919ba433b8396e8308f46c27,7db40c4ae09f8a92600b47eaff5ea78c4043041802cb922c5f96fa76e7015cd4,02dc65da3d96324736a3aa03511e962727ac8df09d8b238de13a1243b1a34f93
"10009106","1","10009101","1","1","0"
"10009112","1","10009101","1","2","0"
"10010110","1","10010101","1","3","0"
"1001901","1","10019101","2","4","0"
"10021112","1","10021101","1","5","0"
"10025109","1","10025101","1","6","0"
"5025001","2","10025","3","7","500810"
"20009106","1","20009101","1","8","0"
"20009112","1","20009101","1","9","0"
"20010110","1","20010101","1","10","0"
"5042001","2","10042","3","12","501001"
"2001501","1","20015101","2","13","0"
"5044001","2","10044","3","14","501031"
"20016112","1","20016101","1","15","0"
"5046002","2","10046","3","16","501103"
"10049109","1","10049101","1","17","0"
"10066112","1","10066101","1","19","0"
"5066005","2","10066","3","20","501291"
"5042001","2","10069","3","21","501001"
"5044001","2","10071","3","22","501031"
"5068001","2","10068","3","23","501341"
"5070004","2","10070","3","24","501353"
"5070005","2","10070","3","25","500016"
"5072004","2","10072","3","26","501364"
"5072006","2","10072","3","27","501365"
"5046002","2","10073","3","28","501103"
"5074001","2","10074","3","29","501383"
"10076112","1","10076101","1","30","0"
"5076005","2","10076","3","31","505036"
"5078004","2","10078","3","32","501451"
"5080005","2","10080","3","33","501463"
"10082105","1","10082101","1","34","0"
"10082108","1","10082102","1","35","0"
"10082111","1","10082103","1","36","0"
"5082002","2","10082","3","37","501160"
"5082004","2","10082","3","38","501031"
"5082005","2","10082","3","39","501483"
"5084001","2","10084","3","40","500368"
"5084002","2","10084","3","41","510306"
"5084003","2","10084","3","42","500039"
"5085002","2","10085","3","43","500368"
"5085003","2","10085","3","44","510203"
"5085004","2","10085","3","45","500272"
"5085005","2","10085","3","46","501501"
"5088005","2","10088","3","47","501810"
"5042001","2","20025","3","50","501001"
"5090002","2","10090","3","51","501541"
"5044001","2","20026","3","55","501031"
"10093112","1","10093101","1","56","0"
"5066005","2","10093","3","57","501291"
"5046002","2","20027","3","58","501103"
"5092001","2","10092","3","59","501031"
"5092004","2","10092","3","60","501551"
"5094001","2","10094","3","61","501593"
"5068001","2","10095","3","62","501341"
"5025001","2","20018","3","67","500810"
"5096002","2","10096","3","68","501613"
"5070004","2","10097","3","73","501353"
"5070005","2","10097","3","74","500016"
"5098000","2","10098","3","75","501031"
"10098104","1","10098101","1","76","0"
"10098111","1","10098102","1","77","0"
"5072004","2","10099","3","78","501364"
"5072006","2","10099","3","79","501365"
"5100003","2","10100","3","80","500837"
"5074001","2","10101","3","82","501383"
"5074001","2","10101","3","83","501383"
"5102002","2","10102","3","84","501873"
"10103112","1","10103101","1","85","0"
"5076005","2","10103","3","86","505036"
"5108002","2","10108","3","88","501911"
"5104003","2","10104","3","89","500133"
"5078004","2","10105","3","90","501451"
"5110005","2","10110","3","93","501931"
"5111005","2","10111","3","94","500013"
"5080005","2","10107","3","95","501463"
"10109105","1","10109101","1","96","0"
"10109108","1","10109102","1","97","0"
"10109111","1","10109103","1","98","0"
"5082002","2","10109","3","99","501160"
"5082004","2","10109","3","100","501031"
"5082005","2","10109","3","101","501483"
"5084001","2","10112","3","103","500368"
"5084002","2","10112","3","104","510306"
"5084003","2","10112","3","105","500039"
"5085002","2","10113","3","106","500368"
"5085003","2","10113","3","107","510203"
"5085004","2","10113","3","108","500272"
"5085005","2","10113","3","109","501501"
"1011001","1","10110101","2","110","0"
"20037112","1","20037101","1","111","0"
"5066005","2","20037","3","112","501291"
"5088005","2","10115","3","113","501810"
"5114000","2","10114","3","114","500016"
"5114003","2","10114","3","115","501952"
"5068001","2","20038","3","116","501341"
"5090002","2","10117","3","117","501541"
"5070004","2","20039","3","121","501353"
"5070005","2","20039","3","122","500016"
"5116004","2","10116","3","123","500837"
"5092001","2","10119","3","124","501031"
"5092004","2","10119","3","125","501551"
"5118002","2","10118","3","126","500133"
"5118003","2","10118","3","127","500810"
"5118007","2","10118","3","128","500133"
"5072004","2","20040","3","129","501364"
"5072006","2","20040","3","130","501365"
"5124003","2","10124","3","132","501614"
"5074001","2","20041","3","133","501383"
"5094001","2","10121","3","135","501593"
"5122000","2","10122","3","136","502003"
"5122002","2","10122","3","137","502015"
"5096002","2","10123","3","138","501613"
"5076005","2","20042","3","139","505036"
"5078004","2","20043","3","140","501451"
"5098000","2","10125","3","141","501031"
"5100003","2","10127","3","143","500837"
"5080005","2","20044","3","144","501463"
"5128001","2","10128","3","145","502063"
"5102002","2","10129","3","146","501873"
"20045105","1","20045101","1","147","0"
"20045108","1","20045102","1","148","0"
"20045111","1","20045103","1","149","0"
"5082002","2","20045","3","150","501160"
"5082004","2","20045","3","151","501031"
"5082005","2","20045","3","152","501483"
"5084001","2","20046","3","153","500368"
"5084002","2","20046","3","154","510306"
"5084003","2","20046","3","155","500039"
"5085002","2","20047","3","156","500368"
"5085003","2","20047","3","157","510203"
"5085004","2","20047","3","158","500272"
"5085005","2","20047","3","159","501501"
"5130001","2","10130","3","160","500016"
"5130007","2","10130","3","161","500133"
"5104003","2","10131","3","162","500133"
"5136002","2","10136","3","163","500143"
"5136004","2","10136","3","164","500175"
"5137002","2","10137","3","165","501622"
"5137005","2","10137","3","166","500133"
"5088005","2","20048","3","167","501810"
"5134007","2","10134","3","168","500553"
"5108002","2","10135","3","169","501911"
"5110005","2","10138","3","170","501931"
"5111005","2","10139","3","171","500013"
"5090002","2","20049","3","172","501541"
"1013801","1","10138101","2","173","0"
"5114000","2","10141","3","174","500016"
"5114003","2","10141","3","175","501952"
"5140002","2","10140","3","180","502224"
"5092001","2","20050","3","181","501031"
"5092004","2","20050","3","182","501551"
"5142001","2","10142","3","183","501683"
"5116004","2","10143","3","184","500837"
"5118002","2","10145","3","185","500133"
"5118003","2","10145","3","186","500810"
"5118007","2","10145","3","187","500133"
"5094001","2","20051","3","188","501593"
"5096002","2","20052","3","189","501613"
"5146001","2","10146","3","1014601","502283"
"5122000","2","10149","3","1014901","502003"
"5122002","2","10149","3","1014902","502015"
"5124003","2","10151","3","1015101","501614"
"5154007","2","10154","3","1015401","502373"
"5156001","2","10156","3","1015601","502074"
"5156002","2","10156","3","1015602","502394"
"5128001","2","10157","3","1015701","502063"
"5158003","2","10158","3","1015801","500880"
"5130001","2","10159","3","1015901","500016"
"5130007","2","10159","3","1015902","500133"
"5134007","2","10163","3","1016301","500553"
"5136002","2","10164","3","1016401","500143"
"5136004","2","10164","3","1016402","500175"
"5137002","2","10165","3","1016501","501622"
"5137005","2","10165","3","1016502","500133"
"5140002","2","10166","3","1016601","502224"
"5142001","2","10167","3","1016701","501683"
"5146001","2","10169","3","1016901","502283"
"5098000","2","20053","3","2005301","501031"
"5100003","2","20054","3","2005401","500837"
"5102002","2","20055","3","2005501","501873"
"5104003","2","20056","3","2005601","500133"
"5108002","2","20058","3","2005801","501911"
"5110005","2","20059","3","2005901","501931"
"5111005","2","20060","3","2006001","500013"
"5114000","2","20061","3","2006101","500016"
"5114003","2","20061","3","2006102","501952"
"5116004","2","20062","3","2006201","500837"
"5118002","2","20063","3","2006301","500133"
"5118003","2","20063","3","2006302","500810"
"5118007","2","20063","3","2006303","500133"
"5122000","2","20065","3","2006501","502003"
"5122002","2","20065","3","2006502","502015"
"5124003","2","20066","3","2006601","501614"
"5136002","2","20067","3","2006701","500143"
"5136004","2","20067","3","2006702","500175"
"5137002","2","20068","3","2006801","501622"
"5137005","2","20068","3","2006802","500133"
"5128001","2","20070","3","2007001","502063"
