8059d4986edb23fcfb17985a85e899883c0ac450c8d32dd2ac2eebc5a0097853,544272977e14c275d8c98fbf20d9997a4d4f4887791e31726d390f6411d47442,e0ff90754c5e217e7c8b9f4eb31af81b0ce8a2322e2d111205e0a3f339659e5f,bc2efb399b86737e68ab21607ff5dac5cac0ab72cc2e1ec406e11974d97e5a3a,ba054b0d29f2b4f8f03c53a2aa53920c48d5265a9f8d9659bd0c70455bbfc614,685f641daccd35f238ab87a3ef720a028dc99b12c704f7a83631a2b2393380d5
"0","1","20025","0","1","1101"
"0","1","20025","0","1","1102"
"1","0","20025","5042002","1","1103"
"0","1","20025","0","1","1104"
"1","0","20025","5042003","1","1105"
"0","1","20025","0","1","1106"
"2","0","20025","5042005","1","1107"
"1","0","20025","5042007","2","1201"
"2","0","20025","5042007","2","1202"
"0","1","20025","0","2","1203"
"0","1","20025","0","2","1204"
"0","0","20025","0","1","1301"
