2f228c866d0b6a59cf421466e4fd3b6a6d23b912637d69f34119efbc813d87de,03ea442fc2d9e2838aedd758db329797f1dc15da00dd98b05b0c4195b1369487,b6f0ee7323e0d9b4f0414b2359250cfac291fd8af655117bf388b253ed66d89e,df9278ebb44acd3cd80f10545e2b0bb4ae05bc24b3b39f71e3a735c2f41be3b6,0fcec7c5a261a2cab4b677385f54560315876829217baef5d8fca04b93a2a092
"10101","1","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10102","1","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10201","2","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10202","2","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10203","2","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10204","2","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10205","2","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10301","3","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10302","3","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10303","3","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10304","3","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10305","3","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10306","3","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10401","4","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10402","4","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10403","4","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10404","4","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10405","4","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10406","4","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10407","4","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10501","5","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
"10502","5","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10503","5","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10504","5","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10505","5","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10506","5","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10507","5","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10508","5","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10509","5","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"10510","5","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"10601","6","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
